raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Junaid Siddique to Carlyon, no run",0.1,0,0.0,"Junaid Siddique to Carlyon, no run",Junaid Siddique,Carlyon,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Junaid Siddique to Carlyon, no run",0.2,0,0.0,"Junaid Siddique to Carlyon, no run",Junaid Siddique,Carlyon,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Junaid Siddique to Carlyon, no run",0.3,0,0.0,"Junaid Siddique to Carlyon, no run",Junaid Siddique,Carlyon,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Junaid Siddique to Carlyon, no run",0.4,0,0.0,"Junaid Siddique to Carlyon, no run",Junaid Siddique,Carlyon,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Junaid Siddique to Carlyon, no run",0.5,0,0.0,"Junaid Siddique to Carlyon, no run",Junaid Siddique,Carlyon,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Junaid Siddique to Carlyon, no run 
end of over 1Maiden 
JER: 0/0CRR: 0.00 • RRR: 5.81 
Harrison Carlyon0 (6b) 
Nick Greenwood0 (0b) 
Junaid Siddique 1-1-0-0",0.6,0,0.0,"Junaid Siddique to Carlyon, no run",Junaid Siddique,Carlyon,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Sharma to Greenwood, 1 run",1.1,1,1.0,"Sharma to Greenwood, 1 run",Sharma,Greenwood,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Sharma to Carlyon, no run",1.2,0,0.0,"Sharma to Carlyon, no run",Sharma,Carlyon,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Sharma to Carlyon, no run",1.3,0,0.0,"Sharma to Carlyon, no run",Sharma,Carlyon,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Sharma to Carlyon, no run",1.4,0,0.0,"Sharma to Carlyon, no run",Sharma,Carlyon,0.0,0,0,1,1,0.0,0,,0
"1.5 
4 
Sharma to Carlyon, FOUR runs",1.5,4,4.0,"Sharma to Carlyon, FOUR runs",Sharma,Carlyon,4.0,1,0,1,1,4.0,0,,1
