raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Osinde to Ouma, no run 
starts off very wide of off stump, back of a length and moving away further, left alone, 
not much bounce",0.1,0,0.0,"Osinde to Ouma, no run  .starts off very wide of off stump, back of a length and moving away further, left alone,  .not much bounce",Osinde,Ouma,0.0,0,0,1,1,0.0,0,,0
"0.2 
W 
Osinde to Ouma, OUT 
and right away, Osinde strikes, bowled it fuller this time and much closer to off stumps, 
Ouma looked to leave it tentatively, there was sharp away movement which took the 
outside edge even as he looked to pull his bat away, and the ball settled in the palms of 
second slip 
Morris Ouma c Baidwan b Osinde 0 (2b 0x4 0x6 2m) SR: 0 
Collins Obuya, who made a half-century against Sri Lanka, comes in",0.2,W,0.0,"Osinde to Ouma, OUT  .and right away, Osinde strikes, bowled it fuller this time and much closer to off stumps,  .Ouma looked to leave it tentatively, there was sharp away movement which took the  .outside edge even as he looked to pull his bat away, and the ball settled in the palms of  .second slip  .Morris Ouma c Baidwan b Osinde 0 (2b 0x4 0x6 2m) SR: 0",Osinde,Ouma,0.0,0,0,1,1,0.0,1,c Baidwan b Osinde,0
"0.3 
• 
Osinde to C Obuya, no run 
ooh, almost another one, it was on a length outside off stump again, straightened after 
pitching, Obuya went half-poking at it, but got nowhere near it",0.3,0,0.0,"Osinde to C Obuya, no run  .ooh, almost another one, it was on a length outside off stump again, straightened after  .pitching, Obuya went half-poking at it, but got nowhere near it",Osinde,C Obuya,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Osinde to C Obuya, no run 
this one is wider outside off stump, and moving further away, left alone this time",0.4,0,0.0,"Osinde to C Obuya, no run  .this one is wider outside off stump, and moving further away, left alone this time",Osinde,C Obuya,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Osinde to C Obuya, no run 
shortens the length a tad, and it goes away after pitching, he leaves it alone",0.5,0,0.0,"Osinde to C Obuya, no run  .shortens the length a tad, and it goes away after pitching, he leaves it alone",Osinde,C Obuya,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Osinde to C Obuya, no run 
more away movement from close to off stump, not much bounce this time as it dies on 
its way to Bagai, Obuya pushed at it and was beaten 
end of over 1Wicket maiden 
KENYA: 0/1CRR: 0.00  
Collins Obuya0 (4b) 
Seren Waters0 (0b) 
Henry Osinde 1-1-0-1 
Baidwan from the other end",0.6,0,0.0,"Osinde to C Obuya, no run  .more away movement from close to off stump, not much bounce this time as it dies on  .its way to Bagai, Obuya pushed at it and was beaten",Osinde,C Obuya,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Baidwan to Waters, no run 
bowls it very full on the stumps, he digs it out back to the bowler",1.1,0,0.0,"Baidwan to Waters, no run  .bowls it very full on the stumps, he digs it out back to the bowler",Baidwan,Waters,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Baidwan to Waters, no run 
keeping it full around off stump, he gets forward and pushes it on the off side",1.2,0,0.0,"Baidwan to Waters, no run  .keeping it full around off stump, he gets forward and pushes it on the off side",Baidwan,Waters,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Baidwan to Waters, no run 
he drops it shorter this time and gets it to move away wide outside off stump, left alone",1.3,0,0.0,"Baidwan to Waters, no run  .he drops it shorter this time and gets it to move away wide outside off stump, left alone",Baidwan,Waters,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Baidwan to Waters, no run 
good delivery, makes Waters go searching for it, and moves away from his bat after 
pitching on a length close to off",1.4,0,0.0,"Baidwan to Waters, no run  .good delivery, makes Waters go searching for it, and moves away from his bat after  .pitching on a length close to off",Baidwan,Waters,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Baidwan to Waters, no run 
again the low bounce in the wicket reveals itself, another one outside off goes low to 
Bagai, left alone",1.5,0,0.0,"Baidwan to Waters, no run  .again the low bounce in the wicket reveals itself, another one outside off goes low to  .Bagai, left alone",Baidwan,Waters,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Baidwan to Waters, no run 
the two opening bowlers have been very consistent in their first overs, another one 
moves away from a length outside off, and is left alone 
end of over 2Maiden 
KENYA: 0/1CRR: 0.00  
Seren Waters0 (6b) 
Collins Obuya0 (4b) 
Harvir Baidwan 1-1-0-0 
Henry Osinde 1-1-0-1",1.6,0,0.0,"Baidwan to Waters, no run  .the two opening bowlers have been very consistent in their first overs, another one  .moves away from a length outside off, and is left alone",Baidwan,Waters,0.0,0,0,1,1,0.0,0,,0
"2.1 
1 
Osinde to C Obuya, 1 run 
Kenya are away, in the third over, it was wide and shortish outside off, he went for the 
cut but mistimed it, there was time though for a run as the ball went to the left of 
backward point",2.1,1,1.0,"Osinde to C Obuya, 1 run  .Kenya are away, in the third over, it was wide and shortish outside off, he went for the  .cut but mistimed it, there was time though for a run as the ball went to the left of  .backward point",Osinde,C Obuya,1.0,0,0,1,1,1.0,0,,1
"2.2 
1 
Osinde to Waters, 1 run 
this one comes in with the angle from a length, he remains in the crease and works it 
away in front of square leg",2.2,1,1.0,"Osinde to Waters, 1 run  .this one comes in with the angle from a length, he remains in the crease and works it  .away in front of square leg",Osinde,Waters,1.0,0,0,1,1,1.0,0,,1
"2.3 
• 
Osinde to C Obuya, no run 
making him push out at one that came in late from a length, it was very close to off 
stump, and just about missed the outside edge",2.3,0,0.0,"Osinde to C Obuya, no run  .making him push out at one that came in late from a length, it was very close to off  .stump, and just about missed the outside edge",Osinde,C Obuya,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Osinde to C Obuya, no run 
more uncertain prodding outside off stump, he is caught on the crease, and is reaching 
out to the ones moving away outside off stump, beaten again",2.4,0,0.0,"Osinde to C Obuya, no run  .more uncertain prodding outside off stump, he is caught on the crease, and is reaching  .out to the ones moving away outside off stump, beaten again",Osinde,C Obuya,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Osinde to C Obuya, no run 
gets a fuller one outside off stump, and looks to thump it down the ground, but 
mistimes it to mid on",2.5,0,0.0,"Osinde to C Obuya, no run  .gets a fuller one outside off stump, and looks to thump it down the ground, but  .mistimes it to mid on",Osinde,C Obuya,0.0,0,0,1,1,0.0,0,,0
"2.6 
1 
Osinde to C Obuya, 1 run 
the one that comes in with the angle, good stuff from Osinde, he gets an inside edge 
through square leg as he pushes at it from the crease 
end of over 33 runs  
KENYA: 3/1CRR: 1.00  
Collins Obuya2 (9b) 
Seren Waters1 (7b) 
Henry Osinde 2-1-3-1 
Harvir Baidwan 1-1-0-0 
Mark: ""I fear that even against Canada, Kenya's confidence is so low now that they may 
not remember how to win""",2.6,1,1.0,"Osinde to C Obuya, 1 run  .the one that comes in with the angle, good stuff from Osinde, he gets an inside edge  .through square leg as he pushes at it from the crease",Osinde,C Obuya,1.0,0,0,1,1,1.0,0,,1
"3.1 
• 
Baidwan to C Obuya, no run 
what is happening here? another play and miss outside off stump, it was just around a 
length, and he went looking for the drive without moving his feet, beaten again",3.1,0,0.0,"Baidwan to C Obuya, no run  .what is happening here? another play and miss outside off stump, it was just around a  .length, and he went looking for the drive without moving his feet, beaten again",Baidwan,C Obuya,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Baidwan to C Obuya, no run 
lovely delivery, straightening outside off stump, drawing the batsman forward who 
pushes at it, it zips past the outside edge",3.2,0,0.0,"Baidwan to C Obuya, no run  .lovely delivery, straightening outside off stump, drawing the batsman forward who  .pushes at it, it zips past the outside edge",Baidwan,C Obuya,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Baidwan to C Obuya, no run 
no movement on this one, comes straight on the stumps, blocked hurriedly",3.3,0,0.0,"Baidwan to C Obuya, no run  .no movement on this one, comes straight on the stumps, blocked hurriedly",Baidwan,C Obuya,0.0,0,0,1,1,0.0,0,,0
"3.4 
2 
Baidwan to C Obuya, 2 runs 
charges down the track this time, how long can one push and poke, gets it in front of 
square leg",3.4,2,2.0,"Baidwan to C Obuya, 2 runs  .charges down the track this time, how long can one push and poke, gets it in front of  .square leg",Baidwan,C Obuya,2.0,0,0,1,1,2.0,0,,1
"3.5 
1 
Baidwan to C Obuya, 1 run 
short and wide, he goes hard at it, and gets it down to third man",3.5,1,1.0,"Baidwan to C Obuya, 1 run  .short and wide, he goes hard at it, and gets it down to third man",Baidwan,C Obuya,1.0,0,0,1,1,1.0,0,,1
"3.6 
1 
Baidwan to Waters, 1 run 
opens the face of the bat to a length ball and runs it down to third man 
end of over 44 runs  
KENYA: 7/1CRR: 1.75  
Seren Waters2 (8b) 
Collins Obuya5 (14b) 
Harvir Baidwan 2-1-4-0 
Henry Osinde 2-1-3-1 
Our man from the ground Nagraj Gollapudi: ""firstly, i can't believe the press box is full for 
this contest. I can't imagine what would be scenes day after when india play.""",3.6,1,1.0,"Baidwan to Waters, 1 run  .opens the face of the bat to a length ball and runs it down to third man",Baidwan,Waters,1.0,0,0,1,1,1.0,0,,1
"4.1 
• 
Osinde to Waters, no run 
clipped away off the pads towards midwicket",4.1,0,0.0,"Osinde to Waters, no run  .clipped away off the pads towards midwicket",Osinde,Waters,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Osinde to Waters, no run 
another mistimes shot, the ball came slowly off the pitch, he cut it hard in the ground 
and the ball rolled away to point",4.2,0,0.0,"Osinde to Waters, no run  .another mistimes shot, the ball came slowly off the pitch, he cut it hard in the ground  .and the ball rolled away to point",Osinde,Waters,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
Osinde to Waters, no run 
gets the timing on this one, cuts it off the back foot, but it is placed on the bounce to 
point",4.3,0,0.0,"Osinde to Waters, no run  .gets the timing on this one, cuts it off the back foot, but it is placed on the bounce to  .point",Osinde,Waters,0.0,0,0,1,1,0.0,0,,0
"4.4 
• 
Osinde to Waters, no run 
normal service resumes, one more play and miss, full and there for the drive, moves 
away slightly from the attempted one from Waters, and beats him",4.4,0,0.0,"Osinde to Waters, no run  .normal service resumes, one more play and miss, full and there for the drive, moves  .away slightly from the attempted one from Waters, and beats him",Osinde,Waters,0.0,0,0,1,1,0.0,0,,0
"4.5 
W 
Osinde to Waters, OUT 
and the one that comes in as a surprise delivery gets him, Osinde likes it, it was pitched 
fuller and went on with the angle, Waters was tentative in pushing forward with all that 
away movement, and pushed outside the line, the ball raced through the gap between 
bat and pad, off the back pad and on to off stump which was uprooted out of the 
ground 
Seren Waters b Osinde 2 (13b 0x4 0x6 22m) SR: 15.38 
David comes in for the Obuya & Obuya show. gully comes in",4.5,W,0.0,"Osinde to Waters, OUT  .and the one that comes in as a surprise delivery gets him, Osinde likes it, it was pitched  .fuller and went on with the angle, Waters was tentative in pushing forward with all that  .away movement, and pushed outside the line, the ball raced through the gap between  .bat and pad, off the back pad and on to off stump which was uprooted out of the  .ground  .Seren Waters b Osinde 2 (13b 0x4 0x6 22m) SR: 15.38",Osinde,Waters,0.0,0,0,1,1,0.0,1,b Osinde,0
"4.6 
• 
Osinde to Obuya, no run 
139.4 kph delivery that goes on with the angle, makes him block it in a hurry 
end of over 5Wicket maiden 
KENYA: 7/2CRR: 1.40  
David Obuya0 (1b) 
Collins Obuya5 (14b) 
Henry Osinde 3-2-3-2 
Harvir Baidwan 2-1-4-0 
Our man Nagraj is still surprised: ""more bizaarre is about 1000 people are ascattered in 
the stands.""",4.6,0,0.0,"Osinde to Obuya, no run  .139.4 kph delivery that goes on with the angle, makes him block it in a hurry",Osinde,Obuya,0.0,0,0,1,1,0.0,0,,0
"5.1 
4 
Baidwan to C Obuya, FOUR runs 
almost another one, gets the outside edge as he pushes hard off the back foot, but it 
falls well short of first slip",5.1,4,4.0,"Baidwan to C Obuya, FOUR runs  .almost another one, gets the outside edge as he pushes hard off the back foot, but it  .falls well short of first slip",Baidwan,C Obuya,4.0,1,0,1,1,4.0,0,,1
"5.2 
• 
Baidwan to C Obuya, no run 
defended back to the bowler off the front foot",5.2,0,0.0,"Baidwan to C Obuya, no run  .defended back to the bowler off the front foot",Baidwan,C Obuya,0.0,0,0,1,1,0.0,0,,0
"5.3 
1 
Baidwan to C Obuya, 1 run 
guided away wide of third man off the back foot",5.3,1,1.0,"Baidwan to C Obuya, 1 run  .guided away wide of third man off the back foot",Baidwan,C Obuya,1.0,0,0,1,1,1.0,0,,1
"5.4 
• 
Baidwan to Obuya, no run 
hustles this one from a length down to mid on, cannot get the placement right",5.4,0,0.0,"Baidwan to Obuya, no run  .hustles this one from a length down to mid on, cannot get the placement right",Baidwan,Obuya,0.0,0,0,1,1,0.0,0,,0
"5.5 
1 
Baidwan to Obuya, 1 run 
squeezes out this very full and wide ball outside off stumps, and sends it down to third 
man",5.5,1,1.0,"Baidwan to Obuya, 1 run  .squeezes out this very full and wide ball outside off stumps, and sends it down to third  .man",Baidwan,Obuya,1.0,0,0,1,1,1.0,0,,1
