raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bhudia to Palekar, no run",0.1,0,0.0,"Bhudia to Palekar, no run",Bhudia,Palekar,0.0,0,0,1,1,0.0,0,,0
"0.2 
W 
Bhudia to Palekar, OUT 
Bakthiyar Palekar lbw b Bhudia 0 (2b 0x4 0x6) SR: 0",0.2,W,0.0,"Bhudia to Palekar, OUT  .Bakthiyar Palekar lbw b Bhudia 0 (2b 0x4 0x6) SR: 0",Bhudia,Palekar,0.0,0,0,1,1,0.0,1,lbw b Bhudia,0
"0.3 
• 
Bhudia to Anwar, no run",0.3,0,0.0,"Bhudia to Anwar, no run",Bhudia,Anwar,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Bhudia to Anwar, no run",0.4,0,0.0,"Bhudia to Anwar, no run",Bhudia,Anwar,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Bhudia to Anwar, 1 run",0.5,1,1.0,"Bhudia to Anwar, 1 run",Bhudia,Anwar,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Bhudia to Arshad Ali, no run 
end of over 11 run • 1 wicket 
UAE: 1/1CRR: 1.00 • RRR: 4.28 
Arshad Ali0 (1b) 
Shaiman Anwar1 (3b) 
Rajesh Bhudia 1-0-1-1",0.6,0,0.0,"Bhudia to Arshad Ali, no run",Bhudia,Arshad Ali,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Wesonga to Anwar, no run",1.1,0,0.0,"Wesonga to Anwar, no run",Wesonga,Anwar,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Wesonga to Anwar, no run",1.2,0,0.0,"Wesonga to Anwar, no run",Wesonga,Anwar,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Wesonga to Anwar, no run",1.3,0,0.0,"Wesonga to Anwar, no run",Wesonga,Anwar,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Wesonga to Anwar, no run",1.4,0,0.0,"Wesonga to Anwar, no run",Wesonga,Anwar,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Wesonga to Anwar, no run",1.5,0,0.0,"Wesonga to Anwar, no run",Wesonga,Anwar,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Wesonga to Anwar, no run 
end of over 2Maiden 
UAE: 1/1CRR: 0.50 • RRR: 4.37 
Shaiman Anwar1 (9b) 
Arshad Ali0 (1b) 
Dominic Wesonga 1-1-0-0 
Rajesh Bhudia 1-0-1-1",1.6,0,0.0,"Wesonga to Anwar, no run",Wesonga,Anwar,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Bhudia to Arshad Ali, no run",2.1,0,0.0,"Bhudia to Arshad Ali, no run",Bhudia,Arshad Ali,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Bhudia to Arshad Ali, no run",2.2,0,0.0,"Bhudia to Arshad Ali, no run",Bhudia,Arshad Ali,0.0,0,0,1,1,0.0,0,,0
"2.3 
1w 
Bhudia to Arshad Ali, 1 wide",2.3,1w,1.0,"Bhudia to Arshad Ali, 1 wide",Bhudia,Arshad Ali,0.0,0,0,0,0,1.0,0,,1
"2.3 
• 
Bhudia to Arshad Ali, no run",2.3,0,0.0,"Bhudia to Arshad Ali, no run",Bhudia,Arshad Ali,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Bhudia to Arshad Ali, no run",2.4,0,0.0,"Bhudia to Arshad Ali, no run",Bhudia,Arshad Ali,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Bhudia to Arshad Ali, no run",2.5,0,0.0,"Bhudia to Arshad Ali, no run",Bhudia,Arshad Ali,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Bhudia to Arshad Ali, no run 
end of over 31 run  
UAE: 2/1CRR: 0.66 • RRR: 4.44 
Arshad Ali0 (7b) 
Shaiman Anwar1 (9b) 
Rajesh Bhudia 2-0-2-1 
Dominic Wesonga 1-1-0-0",2.6,0,0.0,"Bhudia to Arshad Ali, no run",Bhudia,Arshad Ali,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Wesonga to Anwar, no run",3.1,0,0.0,"Wesonga to Anwar, no run",Wesonga,Anwar,0.0,0,0,1,1,0.0,0,,0
"3.2 
4 
Wesonga to Anwar, FOUR runs",3.2,4,4.0,"Wesonga to Anwar, FOUR runs",Wesonga,Anwar,4.0,1,0,1,1,4.0,0,,1
"3.3 
• 
Wesonga to Anwar, no run",3.3,0,0.0,"Wesonga to Anwar, no run",Wesonga,Anwar,0.0,0,0,1,1,0.0,0,,0
