raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Arora to Mhatre, no run 
back of a length just outside off. Mhatre hangs back, covers the slight away-swing and 
taps it gently into the off side",0.1,0,0.0,"Arora to Mhatre, no run  .back of a length just outside off. Mhatre hangs back, covers the slight away-swing and  .taps it gently into the off side",Arora,Mhatre,0.0,0,0,1,1,0.0,0,,0
"0.2 
W 
Arora to Mhatre, OUT 
soft, soft dismissal! Oh, to be 17 and to feel this game's keen and sometimes cruel 
sting! Back of a length outside off, and this just sticks in the surface. Mhatre has 
designs to go over cover point but the lack of pace off the surface means he scuffs his 
shot completely. Floats it through to Rana in the ring and he makes no mistake. The 
perfect start for KKR, and CSK under immediate pressure! 
Ayush Mhatre c Harshit Rana b Arora 0 (2b 0x4 0x6 2m) SR: 0 
See all photos 
Urvil Patel, on debut, in at 3. He has a reputation of giving the ball a tonk",0.2,W,0.0,"Arora to Mhatre, OUT  .soft, soft dismissal! Oh, to be 17 and to feel this game's keen and sometimes cruel  .sting! Back of a length outside off, and this just sticks in the surface. Mhatre has  .designs to go over cover point but the lack of pace off the surface means he scuffs his  .shot completely. Floats it through to Rana in the ring and he makes no mistake. The  .perfect start for KKR, and CSK under immediate pressure!  .Ayush Mhatre c Harshit Rana b Arora 0 (2b 0x4 0x6 2m) SR: 0",Arora,Mhatre,0.0,0,0,1,1,0.0,1,c Harshit Rana b Arora,0
"0.3 
• 
Arora to Urvil Patel, no run 
short and wide outside off. Urvil throws his hands at it but only swishes at thin air",0.3,0,0.0,"Arora to Urvil Patel, no run  .short and wide outside off. Urvil throws his hands at it but only swishes at thin air",Arora,Urvil Patel,0.0,0,0,1,1,0.0,0,,0
"0.4 
6 
Arora to Urvil Patel, SIX runs 
oh, hello, and goodbye! This is the in-swinger and seems like Urvil has read this very 
early. Moves across his stumps a little to this fullish ball on middle and off, and whips it 
over the deep square leg fence! 
See all photos",0.4,6,6.0,"Arora to Urvil Patel, SIX runs  .oh, hello, and goodbye! This is the in-swinger and seems like Urvil has read this very  .early. Moves across his stumps a little to this fullish ball on middle and off, and whips it  .over the deep square leg fence!  .See all photos",Arora,Urvil Patel,6.0,0,1,1,1,6.0,0,,1
"0.5 
1w 
Arora to Urvil Patel, 1 wide 
full and swinging further down leg. Urvil does not get bat on this and the umpire has to 
indulge in some more exercise",0.5,1w,1.0,"Arora to Urvil Patel, 1 wide  .full and swinging further down leg. Urvil does not get bat on this and the umpire has to  .indulge in some more exercise",Arora,Urvil Patel,0.0,0,0,0,0,1.0,0,,1
"0.5 
1 
Arora to Urvil Patel, 1 run 
just short! Dug into the track just outside off. Urvil stands up tall and hacks at it. Clinks 
it off the bottom part of the bat and that nearly carries to Rahane at mid wicket",0.5,1,1.0,"Arora to Urvil Patel, 1 run  .just short! Dug into the track just outside off. Urvil stands up tall and hacks at it. Clinks  .it off the bottom part of the bat and that nearly carries to Rahane at mid wicket",Arora,Urvil Patel,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Arora to Conway, no run 
full and shaping away just outside off. Conway gets onto the front foot and pushes it 
towards extra cover 
end of over 18 runs • 1 wicket 
CSK: 8/1CRR: 8.00 • RRR: 9.05 • Need 172 runs from 114b 
Devon Conway0 (1b) 
Urvil Patel7 (3b 1x6) 
Vaibhav Arora 1-0-8-1 
Arnesh: ""Both of India's talented teenagers, Vaibhav and Mhatre, have now followed up 
their massive knocks with second ball ducks!"" -- That is indeed how this sport rolls... 
Spin from the other end. Moeen to bowl",0.6,0,0.0,"Arora to Conway, no run  .full and shaping away just outside off. Conway gets onto the front foot and pushes it  .towards extra cover",Arora,Conway,0.0,0,0,1,1,0.0,0,,0
"1.1 
6 
Moeen Ali to Urvil Patel, SIX runs 
and Moeen gets welcomed with a maximum! Tossed up into the slot just outside off. 
Urvil gets down on one knee and whacks it over deep mid wicket!",1.1,6,6.0,"Moeen Ali to Urvil Patel, SIX runs  .and Moeen gets welcomed with a maximum! Tossed up into the slot just outside off.  .Urvil gets down on one knee and whacks it over deep mid wicket!",Moeen Ali,Urvil Patel,6.0,0,1,1,1,6.0,0,,1
"1.2 
4 
Moeen Ali to Urvil Patel, FOUR runs 
thumped on the up now! This is a drag-down outside off, a clear byproduct of what 
happened the previous ball. Urvil waits for it and slaps it over mid off! 
Deep mid wicket and deep backward square leg on the fence",1.2,4,4.0,"Moeen Ali to Urvil Patel, FOUR runs  .thumped on the up now! This is a drag-down outside off, a clear byproduct of what  .happened the previous ball. Urvil waits for it and slaps it over mid off!  .Deep mid wicket and deep backward square leg on the fence",Moeen Ali,Urvil Patel,4.0,1,0,1,1,4.0,0,,1
"1.3 
6 
Moeen Ali to Urvil Patel, SIX runs 
but neither can do anything, because Urvil has climbed into this too! Slower but 
another slot ball on middle and leg. Urvil swings at it with abandon and smears it over 
deep mid wicket! 
See all photos",1.3,6,6.0,"Moeen Ali to Urvil Patel, SIX runs  .but neither can do anything, because Urvil has climbed into this too! Slower but  .another slot ball on middle and leg. Urvil swings at it with abandon and smears it over  .deep mid wicket!  .See all photos",Moeen Ali,Urvil Patel,6.0,0,1,1,1,6.0,0,,1
