raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Starc to Gurbaz, FOUR runs 
A bit of swing in but overpitched, it's on off-stump. Gurbaz didn't take much of a stride, 
was in front of leg stump - beside the ball's line - and drove with the full face. Races 
past the bowler",0.1,4,4.0,"Starc to Gurbaz, FOUR runs  .A bit of swing in but overpitched, it's on off-stump. Gurbaz didn't take much of a stride,  .was in front of leg stump - beside the ball's line - and drove with the full face. Races  .past the bowler",Starc,Gurbaz,4.0,1,0,1,1,4.0,0,,1
"0.2 
• 
Starc to Gurbaz, no run 
Confusion in running, both batters a third of the way down before Narine sends Gurbaz 
back. No danger in the end. Was a shortish ball at the hip that beat the pull and popped 
towards square leg 
 
Mitchell Starc in Powerplay overs (in T20s) 
BALLS 
1715 
WKTS 
75 
4s/6s 
277/48 
ECON 
7.42 
AVE 
28.30",0.2,0,0.0,"Starc to Gurbaz, no run  .Confusion in running, both batters a third of the way down before Narine sends Gurbaz  .back. No danger in the end. Was a shortish ball at the hip that beat the pull and popped  .towards square leg  .  .Mitchell Starc in Powerplay overs (in T20s)  .BALLS  .1715  .WKTS  .75  .4s/6s  .277/48  .ECON  .7.42  .AVE  .28.30",Starc,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Starc to Gurbaz, no run 
Cut nicely, that's reassuring for the batters. The 141ks ball came on nicely off a length, 
had width too. Gurbaz timed it well but found point 
Slip's out already",0.3,0,0.0,"Starc to Gurbaz, no run  .Cut nicely, that's reassuring for the batters. The 141ks ball came on nicely off a length,  .had width too. Gurbaz timed it well but found point  .Slip's out already",Starc,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Starc to Gurbaz, no run 
Length around fourth, defended towards point. Fielder swoops in to deny the single 
Ananya: ""Where is QDK? has he left...?"" Dropped. He's been out of form",0.4,0,0.0,"Starc to Gurbaz, no run  .Length around fourth, defended towards point. Fielder swoops in to deny the single",Starc,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Starc to Gurbaz, no run 
Bumper beats pull. Starc smiles. That was above middle stump, around shoulder-height; 
Gurbaz went back in the crease and looked to go square. Beaten for pace",0.5,0,0.0,"Starc to Gurbaz, no run  .Bumper beats pull. Starc smiles. That was above middle stump, around shoulder-height;  .Gurbaz went back in the crease and looked to go square. Beaten for pace",Starc,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Starc to Gurbaz, FOUR runs 
Starc goes back in search of swing and gets square driven through point. The seventh-
stump ball didn't swing and was overpitched, was smothered into the ground on one 
knee by Gurbaz 
Srividya : ""Horses for courses should be the way to go for teams. Applies to a 
combination which is venue specific, including impact players also. Let us not conclude 
that the impact rule hasn't yielded dividends, we are just seeing the IPL take shape now"" 
end of over 18 runs  
KKR: 8/0CRR: 8.00  
Rahmanullah Gurbaz8 (6b 2x4) 
Sunil Narine0 (0b) 
Mitchell Starc 1-0-8-0 
Chameera in with deep square and deep point",0.6,4,4.0,"Starc to Gurbaz, FOUR runs  .Starc goes back in search of swing and gets square driven through point. The seventh- .stump ball didn't swing and was overpitched, was smothered into the ground on one  .knee by Gurbaz",Starc,Gurbaz,4.0,1,0,1,1,4.0,0,,1
"1.1 
6 
Chameera to Narine, SIX runs 
Narine slides leg side and pumps it over the bowler. 140ks full ball just down leg, no 
swing. Too full and Narine was able to get underneath and drive through the line. Didn't 
look like Chameera was looking to follow Narine. 
 
Sunil Narine in IPL, 2025 
INNS 
9 
RUNS 
157 
SR 
180.45 
AVE 
22.42 
HS 
44",1.1,6,6.0,"Chameera to Narine, SIX runs  .Narine slides leg side and pumps it over the bowler. 140ks full ball just down leg, no  .swing. Too full and Narine was able to get underneath and drive through the line. Didn't  .look like Chameera was looking to follow Narine.  .  .Sunil Narine in IPL, 2025  .INNS  .9  .RUNS  .157  .SR  .180.45  .AVE  .22.42  .HS  .44",Chameera,Narine,6.0,0,1,1,1,6.0,0,,1
"1.2 
1w 
Chameera to Narine, 1 wide 
This time Chameera does try to cramp Narine as he makes room, but the overpitched 
ball is well down leg. Narine, with the front leg cleared, lets it pass",1.2,1w,1.0,"Chameera to Narine, 1 wide  .This time Chameera does try to cramp Narine as he makes room, but the overpitched  .ball is well down leg. Narine, with the front leg cleared, lets it pass",Chameera,Narine,0.0,0,0,0,0,1.0,0,,1
"1.2 
2 
Chameera to Narine, 2 runs 
At the ankles again, Narine clears the front leg and clips it through wide mid-on 
RiwajAdhikari: ""Why is Porel keeping today and not Rahul? Any insights?"" Nothing's been 
said about it. Porel was marked as the keeper though. He is a specialist 
Deep square and long-on out",1.2,2,2.0,"Chameera to Narine, 2 runs  .At the ankles again, Narine clears the front leg and clips it through wide mid-on",Chameera,Narine,2.0,0,0,1,1,2.0,0,,1
"1.3 
4 
Chameera to Narine, FOUR runs 
Chipped just over the leaping midwicket fielder. This one did swing in a touch and 
Narine was backing away again, didn't wind up properly but shovelled the ball up and 
over anyway 
 
Dushmantha Chameera in Powerplay overs (in T20s) 
BALLS 
1000 
WKTS 
41 
4s/6s 
180/42 
ECON 
8.57 
AVE 
34.85",1.3,4,4.0,"Chameera to Narine, FOUR runs  .Chipped just over the leaping midwicket fielder. This one did swing in a touch and  .Narine was backing away again, didn't wind up properly but shovelled the ball up and  .over anyway  .  .Dushmantha Chameera in Powerplay overs (in T20s)  .BALLS  .1000  .WKTS  .41  .4s/6s  .180/42  .ECON  .8.57  .AVE  .34.85",Chameera,Narine,4.0,1,0,1,1,4.0,0,,1
