raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
5w 
Akash Deep to de Kock, 5 wide 
Wide well down leg, five bonus to begin. The length ball strayed well down leg and 
Pant's dive was beaten",0.1,5w,5.0,"Akash Deep to de Kock, 5 wide  .Wide well down leg, five bonus to begin. The length ball strayed well down leg and  .Pant's dive was beaten",Akash Deep,de Kock,0.0,0,0,0,0,5.0,0,,1
"0.1 
1 
Akash Deep to de Kock, 1 run 
QDK helps it along the hips with a flick. On the bounce to deep fine leg",0.1,1,1.0,"Akash Deep to de Kock, 1 run  .QDK helps it along the hips with a flick. On the bounce to deep fine leg",Akash Deep,de Kock,1.0,0,0,1,1,1.0,0,,1
"0.2 
1w 
Akash Deep to Narine, 1 wide 
Pant saves four by running and then diving to parry the full ball towards short fine leg. 
This was like a wide yorker to a rhb. Akash getting it to swing in but from that line it's 
only gonna hurt him",0.2,1w,1.0,"Akash Deep to Narine, 1 wide  .Pant saves four by running and then diving to parry the full ball towards short fine leg.  .This was like a wide yorker to a rhb. Akash getting it to swing in but from that line it's  .only gonna hurt him",Akash Deep,Narine,0.0,0,0,0,0,1.0,0,,1
"0.2 
• 
Akash Deep to Narine, no run 
Goes for the on-stump yorker. Ends up with a low full toss on leg, Narine tries to whip it 
and gets hit on the pad",0.2,0,0.0,"Akash Deep to Narine, no run  .Goes for the on-stump yorker. Ends up with a low full toss on leg, Narine tries to whip it  .and gets hit on the pad",Akash Deep,Narine,0.0,0,0,1,1,0.0,0,,0
"0.3 
1w 
Akash Deep to Narine, 1 wide 
Full ball is just down leg, beaten on te flick but that's the third wide of the over",0.3,1w,1.0,"Akash Deep to Narine, 1 wide  .Full ball is just down leg, beaten on te flick but that's the third wide of the over",Akash Deep,Narine,0.0,0,0,0,0,1.0,0,,1
"0.3 
6 
Akash Deep to Narine, SIX runs 
Middle-stump half-volley. Narine slides his front foot leg side while lifting it with a flick. 
The boundary boy over the midwicket ropes takes the catch",0.3,6,6.0,"Akash Deep to Narine, SIX runs  .Middle-stump half-volley. Narine slides his front foot leg side while lifting it with a flick.  .The boundary boy over the midwicket ropes takes the catch",Akash Deep,Narine,6.0,0,1,1,1,6.0,0,,1
"0.4 
• 
Akash Deep to Narine, no run 
Another yorker. Narine tries to flick, nutmegs himself. Ball goes between his feet, to 
short fine leg 
Paul Persaud : ""With full credit to the batters, push the ropes back. These grounds and 
boundaries are small. """,0.4,0,0.0,"Akash Deep to Narine, no run  .Another yorker. Narine tries to flick, nutmegs himself. Ball goes between his feet, to  .short fine leg",Akash Deep,Narine,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Akash Deep to Narine, 1 run 
Akash rattles Narine with a 137ks bumper. That rose only around stomach-height but 
Narine took his eyes off, bobbed his head towards square leg while half-pulling. The ball 
went off the edge to deep square leg on the bounce",0.5,1,1.0,"Akash Deep to Narine, 1 run  .Akash rattles Narine with a 137ks bumper. That rose only around stomach-height but  .Narine took his eyes off, bobbed his head towards square leg while half-pulling. The ball  .went off the edge to deep square leg on the bounce",Akash Deep,Narine,1.0,0,0,1,1,1.0,0,,1
"0.6 
1 
Akash Deep to de Kock, 1 run 
Length on fourth, guided to deep third 
Sunil G: ""With this rate, KKR will win with over 10 overs to spare!! :P "" 
end of over 116 runs  
KKR: 16/0CRR: 16.00 • RRR: 11.73 • Need 223 runs from 114b 
Quinton de Kock2 (2b) 
Sunil Narine7 (4b 1x6) 
Akash Deep 1-0-16-0 
Square leg back, that's the shorter side. Backward point is also out. Shardul, on his 
100th IPL game, has a slip 
 
Quinton de Kock vs Shardul Thakur 
BALLS 
37 
RUNS 
52 
OUTS 
2 
SR 
140.54 
4s/6s 
3/4",0.6,1,1.0,"Akash Deep to de Kock, 1 run  .Length on fourth, guided to deep third",Akash Deep,de Kock,1.0,0,0,1,1,1.0,0,,1
"1.1 
6 
Thakur to de Kock, SIX runs 
Overpitched and QDK launches a 75-metre flick over long-on 
See all photos",1.1,6,6.0,"Thakur to de Kock, SIX runs  .Overpitched and QDK launches a 75-metre flick over long-on  .See all photos",Thakur,de Kock,6.0,0,1,1,1,6.0,0,,1
