raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Siraj to Markram, 1 run 
on a short of a length on the stumps, as Siraj bowls from close to the stumps. Clipped 
to deep-backward square leg 
Pant on strike 
Slip stays for him",0.1,1,1.0,"Siraj to Markram, 1 run  .on a short of a length on the stumps, as Siraj bowls from close to the stumps. Clipped  .to deep-backward square leg  .Pant on strike  .Slip stays for him",Siraj,Markram,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Siraj to Pant, no run 
beaten first ball! Siraj angles this across from over the wicket, and bowls on a fullish 
length while going wide of off. Pant looks to waft away from his body, but misses 
Mohammed Siraj bowling average in IPL 202515.50",0.2,0,0.0,"Siraj to Pant, no run  .beaten first ball! Siraj angles this across from over the wicket, and bowls on a fullish  .length while going wide of off. Pant looks to waft away from his body, but misses  .Mohammed Siraj bowling average in IPL 202515.50",Siraj,Pant,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Siraj to Pant, 1 run 
short of a length on his hips, and he clips it to the left of the man at square leg",0.3,1,1.0,"Siraj to Pant, 1 run  .short of a length on his hips, and he clips it to the left of the man at square leg",Siraj,Pant,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Siraj to Markram, no run 
fullish ball swinging in nicely, and landing on off. It straightens after pitching, and is 
pushed aerially towards extra cover",0.4,0,0.0,"Siraj to Markram, no run  .fullish ball swinging in nicely, and landing on off. It straightens after pitching, and is  .pushed aerially towards extra cover",Siraj,Markram,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Siraj to Markram, no run 
fuller length still, and angling in to pitch on middle and off. Driven to mid-off this time",0.5,0,0.0,"Siraj to Markram, no run  .fuller length still, and angling in to pitch on middle and off. Driven to mid-off this time",Siraj,Markram,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Siraj to Markram, FOUR runs 
driven between short extra cover and cover point! Siraj bowls on the fuller side, and on 
off stump or thereabouts. Markram is deep in the crease, and seemingly standing on 
middle stump, but still leans and drives it in the gap for four 
end of over 16 runs  
LSG: 6/0CRR: 6.00 • RRR: 9.21 • Need 175 runs from 114b 
Aiden Markram5 (4b 1x4) 
Rishabh Pant1 (2b) 
Mohammed Siraj 1-0-6-0 
Arshad from the other end 
 
Rishabh Pant in IPL, 2025 
INNS 
5 
RUNS 
20 
SR 
58.82 
AVE 
5.00 
HS 
15",0.6,4,4.0,"Siraj to Markram, FOUR runs  .driven between short extra cover and cover point! Siraj bowls on the fuller side, and on  .off stump or thereabouts. Markram is deep in the crease, and seemingly standing on  .middle stump, but still leans and drives it in the gap for four",Siraj,Markram,4.0,1,0,1,1,4.0,0,,1
"1.1 
1 
Arshad Khan to Pant, 1 run 
bowls this on a short of a length on off, and Pant shifts his weight back to clip behind 
square",1.1,1,1.0,"Arshad Khan to Pant, 1 run  .bowls this on a short of a length on off, and Pant shifts his weight back to clip behind  .square",Arshad Khan,Pant,1.0,0,0,1,1,1.0,0,,1
"1.2 
1 
Arshad Khan to Markram, 1 run 
direct hit from mid-on at the striker's end, and GT appeal for run-out half-heartedly! It 
was a near yorker-length ball from Arshad, who angled it across and went on off. 
Markram pushed it towards Gill and took off, even as Pant entered the crease on time",1.2,1,1.0,"Arshad Khan to Markram, 1 run  .direct hit from mid-on at the striker's end, and GT appeal for run-out half-heartedly! It  .was a near yorker-length ball from Arshad, who angled it across and went on off.  .Markram pushed it towards Gill and took off, even as Pant entered the crease on time",Arshad Khan,Markram,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Arshad Khan to Pant, no run 
full delivery swinging away to arrive around off. Nudged back by Pant",1.3,0,0.0,"Arshad Khan to Pant, no run  .full delivery swinging away to arrive around off. Nudged back by Pant",Arshad Khan,Pant,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Arshad Khan to Pant, no run 
struck on the knee, but that is heading down the leg side! On a short of a length from 
Arshad on off, and seaming in to hit Pant on leg, as he looked to clip 
There's a stoppage in play as Pant was struck on his front knee. The LSG physio comes 
out to have a check, as Pant takes his pad off. It is Pant's left knee which was hit on the 
previous ball, and we have a longish break in play. 
Pant is ready to resume after the check up, which may have lasted around five minutes.",1.4,0,0.0,"Arshad Khan to Pant, no run  .struck on the knee, but that is heading down the leg side! On a short of a length from  .Arshad on off, and seaming in to hit Pant on leg, as he looked to clip  .There's a stoppage in play as Pant was struck on his front knee. The LSG physio comes  .out to have a check, as Pant takes his pad off. It is Pant's left knee which was hit on the  .previous ball, and we have a longish break in play.  .Pant is ready to resume after the check up, which may have lasted around five minutes.",Arshad Khan,Pant,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Arshad Khan to Pant, no run 
on a short of a length, and in the corridor outside off. Punched towards the man at short 
third",1.5,0,0.0,"Arshad Khan to Pant, no run  .on a short of a length, and in the corridor outside off. Punched towards the man at short  .third",Arshad Khan,Pant,0.0,0,0,1,1,0.0,0,,0
