raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Arora to Markram, no run 
Not right away, good length though. At the body, decent bounce. Markram is on the 
back foot as he defends straight.",0.1,0,0.0,"Arora to Markram, no run  .Not right away, good length though. At the body, decent bounce. Markram is on the  .back foot as he defends straight.",Arora,Markram,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Arora to Markram, no run 
Touch fuller, keeping the stumps in play. Markram flicks to midwicket 
Slips seems to have gone a touch wider 
 
Aiden Markram vs Vaibhav Arora 
BALLS 
14 
RUNS 
24 
OUTS 
1 
SR 
171.42 
4s/6s 
3/1",0.2,0,0.0,"Arora to Markram, no run  .Touch fuller, keeping the stumps in play. Markram flicks to midwicket  .Slips seems to have gone a touch wider  .  .Aiden Markram vs Vaibhav Arora  .BALLS  .14  .RUNS  .24  .OUTS  .1  .SR  .171.42  .4s/6s  .3/1",Arora,Markram,0.0,0,0,1,1,0.0,0,,0
"0.3 
3 
Arora to Markram, 3 runs 
Almost a drag on. The length ball around fourth seemed to have slowed off the pitch, 
Markram's back foot went across a touch for a square cut. Didn't get the room or 
bounce to work with, luckily for him, the under-edge went past leg stump and through 
fine leg.",0.3,3,3.0,"Arora to Markram, 3 runs  .Almost a drag on. The length ball around fourth seemed to have slowed off the pitch,  .Markram's back foot went across a touch for a square cut. Didn't get the room or  .bounce to work with, luckily for him, the under-edge went past leg stump and through  .fine leg.",Arora,Markram,3.0,0,0,1,1,3.0,0,,1
"0.4 
• 
Arora to Marsh, no run 
Big inswing, big appeal for lbw from Arora. Not given. He checks if height is the issue, 
replay shows there was an inside edge. Was a fullish ball that started wide but finished 
around off. Marsh tried to block it with the vertical bat next to the front pad.",0.4,0,0.0,"Arora to Marsh, no run  .Big inswing, big appeal for lbw from Arora. Not given. He checks if height is the issue,  .replay shows there was an inside edge. Was a fullish ball that started wide but finished  .around off. Marsh tried to block it with the vertical bat next to the front pad.",Arora,Marsh,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Arora to Marsh, no run 
Marsh walks down and across to negate the movement. Ball's on the shorter side of 
length, finishes over fourth stump. Left alone",0.5,0,0.0,"Arora to Marsh, no run  .Marsh walks down and across to negate the movement. Ball's on the shorter side of  .length, finishes over fourth stump. Left alone",Arora,Marsh,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Arora to Marsh, no run 
Fullish around leg, clipped to midwicket 
end of over 13 runs  
LSG: 3/0CRR: 3.00  
Mitchell Marsh0 (3b) 
Aiden Markram3 (3b) 
Vaibhav Arora 1-0-3-0 
Johnson also has a slip. Watch out for the pace",0.6,0,0.0,"Arora to Marsh, no run  .Fullish around leg, clipped to midwicket",Arora,Marsh,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Johnson to Markram, no run 
Bumper to begin, it's over leg stump and around the top of Markram's left shoulder. He 
swivelled to get inside the line and pull it fine. Gloves were close but there was no 
contact. 135ks 
Spencer Johnson T20 economy rate in Powerplay overs7.22",1.1,0,0.0,"Johnson to Markram, no run  .Bumper to begin, it's over leg stump and around the top of Markram's left shoulder. He  .swivelled to get inside the line and pull it fine. Gloves were close but there was no  .contact. 135ks  .Spencer Johnson T20 economy rate in Powerplay overs7.22",Johnson,Markram,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Johnson to Markram, FOUR runs 
Overpitched on middle and Markram eases the flick through midwicket. The hands 
came top to bottom but the bat face was closed, was a slicy shot.",1.2,4,4.0,"Johnson to Markram, FOUR runs  .Overpitched on middle and Markram eases the flick through midwicket. The hands  .came top to bottom but the bat face was closed, was a slicy shot.",Johnson,Markram,4.0,1,0,1,1,4.0,0,,1
"1.3 
1 
Johnson to Markram, 1 run 
Length ball angles away through fifth, Markram frees his arms and square drives it late. 
Gets it to deep third",1.3,1,1.0,"Johnson to Markram, 1 run  .Length ball angles away through fifth, Markram frees his arms and square drives it late.  .Gets it to deep third",Johnson,Markram,1.0,0,0,1,1,1.0,0,,1
"1.4 
6 
Johnson to Marsh, SIX runs 
Mowed high and far, second tier at least. Was ashort boundary over square leg, this one 
went 95 metres far. Was fullish on fourth, treated like a slot ball. Stable base, free swing 
across the line, from around knee-height",1.4,6,6.0,"Johnson to Marsh, SIX runs  .Mowed high and far, second tier at least. Was ashort boundary over square leg, this one  .went 95 metres far. Was fullish on fourth, treated like a slot ball. Stable base, free swing  .across the line, from around knee-height",Johnson,Marsh,6.0,0,1,1,1,6.0,0,,1
"1.5 
• 
Johnson to Marsh, no run 
Fullish on middle, defended to the bowler. 140ks",1.5,0,0.0,"Johnson to Marsh, no run  .Fullish on middle, defended to the bowler. 140ks",Johnson,Marsh,0.0,0,0,1,1,0.0,0,,0
"1.6 
1 
Johnson to Marsh, 1 run 
Pulled off the bottom-half of the bat, gets it to deep fine leg. Not that short a ball, was 
around the fourth-stump line 
Bounce has been even from this pitch so far. Not much swing. 
end of over 212 runs  
LSG: 15/0CRR: 7.50  
Mitchell Marsh7 (6b 1x6) 
Aiden Markram8 (6b 1x4) 
Spencer Johnson 1-0-12-0 
Vaibhav Arora 1-0-3-0",1.6,1,1.0,"Johnson to Marsh, 1 run  .Pulled off the bottom-half of the bat, gets it to deep fine leg. Not that short a ball, was  .around the fourth-stump line  .Bounce has been even from this pitch so far. Not much swing.",Johnson,Marsh,1.0,0,0,1,1,1.0,0,,1
"2.1 
• 
Arora to Marsh, no run 
Marsh flashes after seeing width, but cloths it to cover point. Was a sixth-stump three-
quarter-length ball at 131ks, Marsh went deep in the crease and cut hard",2.1,0,0.0,"Arora to Marsh, no run  .Marsh flashes after seeing width, but cloths it to cover point. Was a sixth-stump three- .quarter-length ball at 131ks, Marsh went deep in the crease and cut hard",Arora,Marsh,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Arora to Marsh, no run 
Touch fuller and a lot straighter. It's angling in to off stump and Marsh's feet are 
jammed as he defends to the bowler's right",2.2,0,0.0,"Arora to Marsh, no run  .Touch fuller and a lot straighter. It's angling in to off stump and Marsh's feet are  .jammed as he defends to the bowler's right",Arora,Marsh,0.0,0,0,1,1,0.0,0,,0
"2.3 
2 
Arora to Marsh, 2 runs 
Uppish flick takes the inswinger on middle to the right of midwicket",2.3,2,2.0,"Arora to Marsh, 2 runs  .Uppish flick takes the inswinger on middle to the right of midwicket",Arora,Marsh,2.0,0,0,1,1,2.0,0,,1
"2.4 
1 
Arora to Marsh, 1 run 
Punches the fullish ball on leg to long-on 
Farhan: ""With the height and Spencer has got and bowling on Australian pitches he is 
more used to bowling on shorter lengths and slower bumpers and don't have much 
control over length to bowl at this Asian pitches which leaks so many runs in power 
play""",2.4,1,1.0,"Arora to Marsh, 1 run  .Punches the fullish ball on leg to long-on",Arora,Marsh,1.0,0,0,1,1,1.0,0,,1
"2.5 
1 
Arora to Markram, 1 run 
Markram cuts this time, trying to power it like Marsh. Gets it off the bottom of the bat to 
sweeper cover. This ball was short and wide.",2.5,1,1.0,"Arora to Markram, 1 run  .Markram cuts this time, trying to power it like Marsh. Gets it off the bottom of the bat to  .sweeper cover. This ball was short and wide.",Arora,Markram,1.0,0,0,1,1,1.0,0,,1
"2.6 
1 
Arora to Marsh, 1 run 
Quick single to the left of mid-off. Full ball on fourth pushed gently 
A quick reminder that you can also follow the live ball-by-ball commentary of this game 
in Hindi. 
end of over 35 runs  
LSG: 20/0CRR: 6.66  
Mitchell Marsh11 (11b 1x6) 
Aiden Markram9 (7b 1x4) 
Vaibhav Arora 2-0-8-0 
Spencer Johnson 1-0-12-0 
Third and long leg are out. Slip remains",2.6,1,1.0,"Arora to Marsh, 1 run  .Quick single to the left of mid-off. Full ball on fourth pushed gently  .A quick reminder that you can also follow the live ball-by-ball commentary of this game  .in Hindi.",Arora,Marsh,1.0,0,0,1,1,1.0,0,,1
"3.1 
1 
Johnson to Marsh, 1 run 
Back of length over fifth, sharp angle, one-legged pull goes into the ground. To long leg 
it goes.",3.1,1,1.0,"Johnson to Marsh, 1 run  .Back of length over fifth, sharp angle, one-legged pull goes into the ground. To long leg  .it goes.",Johnson,Marsh,1.0,0,0,1,1,1.0,0,,1
"3.2 
4 
Johnson to Markram, FOUR runs 
Markram manufactures a slash over mid-off. Makes room, almost too much, for the full 
ball arrowing around middle. The ball went off the toe of the bat but cleared the infield",3.2,4,4.0,"Johnson to Markram, FOUR runs  .Markram manufactures a slash over mid-off. Makes room, almost too much, for the full  .ball arrowing around middle. The ball went off the toe of the bat but cleared the infield",Johnson,Markram,4.0,1,0,1,1,4.0,0,,1
"3.3 
2 
Johnson to Markram, 2 runs 
Johnson goes wide yorker; Markram gets on one knee, reaches out and creams a 
horizontal-bat drive along the ground. Sweeper cover moves right to stop it",3.3,2,2.0,"Johnson to Markram, 2 runs  .Johnson goes wide yorker; Markram gets on one knee, reaches out and creams a  .horizontal-bat drive along the ground. Sweeper cover moves right to stop it",Johnson,Markram,2.0,0,0,1,1,2.0,0,,1
"3.4 
4 
Johnson to Markram, FOUR runs 
More intent runs. Markram doesn't middle the slug across the line, was a slot ball 
around fourth, went off the inner-half of the bat as the face closed upon impact. But the 
power was enough to race across the outfield",3.4,4,4.0,"Johnson to Markram, FOUR runs  .More intent runs. Markram doesn't middle the slug across the line, was a slot ball  .around fourth, went off the inner-half of the bat as the face closed upon impact. But the  .power was enough to race across the outfield",Johnson,Markram,4.0,1,0,1,1,4.0,0,,1
"3.5 
6 
Johnson to Markram, SIX runs 
This is nailed. Half-tracker rises around top-of-thigh high, Markram stands beside it and 
pulls it over midwicket",3.5,6,6.0,"Johnson to Markram, SIX runs  .This is nailed. Half-tracker rises around top-of-thigh high, Markram stands beside it and  .pulls it over midwicket",Johnson,Markram,6.0,0,1,1,1,6.0,0,,1
"3.6 
1 
Johnson to Markram, 1 run 
Length on leg, flicked through midwicket 
end of over 418 runs  
LSG: 38/0CRR: 9.50  
Aiden Markram26 (12b 3x4 1x6) 
Mitchell Marsh12 (12b 1x6) 
Spencer Johnson 2-0-30-0 
Vaibhav Arora 2-0-8-0 
Varun on. Markram and Marsh aren't the strongest against spin, but the former's 
breaking free. Will that continue? 
 
Varun Chakravarthy in Powerplay overs (in T20s) 
BALLS 
438 
WKTS 
18 
4s/6s 
60/13 
ECON 
7.12 
AVE 
28.88",3.6,1,1.0,"Johnson to Markram, 1 run  .Length on leg, flicked through midwicket",Johnson,Markram,1.0,0,0,1,1,1.0,0,,1
