raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Thakur to Arya, no run 
full just outside off. Arya gets onto the front foot and pushes it down the ground 
towards mid off",0.1,0,0.0,"Thakur to Arya, no run  .full just outside off. Arya gets onto the front foot and pushes it down the ground  .towards mid off",Thakur,Arya,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Thakur to Arya, 1 run 
fuller and wider outside off. Not a lot of swing this time and Arya drives with an open 
bat face towards deep backward point",0.2,1,1.0,"Thakur to Arya, 1 run  .fuller and wider outside off. Not a lot of swing this time and Arya drives with an open  .bat face towards deep backward point",Thakur,Arya,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Thakur to Prabhsimran, no run 
full outside off. Swings away appreciably and Prabhsimran scuffs his drive towards mid 
off",0.3,0,0.0,"Thakur to Prabhsimran, no run  .full outside off. Swings away appreciably and Prabhsimran scuffs his drive towards mid  .off",Thakur,Prabhsimran,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Thakur to Prabhsimran, FOUR runs 
gorgeous, gorgeous way to get off the mark! Half-volley outside off and Prabhsimran 
climbs into it. Shows the full face of the bat and cracks it between extra cover and mid 
off!",0.4,4,4.0,"Thakur to Prabhsimran, FOUR runs  .gorgeous, gorgeous way to get off the mark! Half-volley outside off and Prabhsimran  .climbs into it. Shows the full face of the bat and cracks it between extra cover and mid  .off!",Thakur,Prabhsimran,4.0,1,0,1,1,4.0,0,,1
"0.5 
6 
Thakur to Prabhsimran, SIX runs 
slashed over the fence! Banged into the track outside off and the width is the problem 
here. Prabhsimran throws his hands at it and gets it over short third!",0.5,6,6.0,"Thakur to Prabhsimran, SIX runs  .slashed over the fence! Banged into the track outside off and the width is the problem  .here. Prabhsimran throws his hands at it and gets it over short third!",Thakur,Prabhsimran,6.0,0,1,1,1,6.0,0,,1
"0.6 
1 
Thakur to Prabhsimran, 1 run 
fullish just outside off. Prabhsimran plays with the swing and taps it into the off side to 
keep strike 
end of over 112 runs  
PBKS: 12/0CRR: 12.00 • RRR: 8.42 • Need 160 runs from 114b 
Prabhsimran Singh11 (4b 1x4 1x6) 
Priyansh Arya1 (2b) 
Shardul Thakur 1-0-12-0 
Avesh to share the new ball 
 
Avesh Khan in Powerplay overs (in T20s) 
BALLS 
810 
WKTS 
42 
4s/6s 
149/36 
ECON 
8.22 
AVE 
26.42",0.6,1,1.0,"Thakur to Prabhsimran, 1 run  .fullish just outside off. Prabhsimran plays with the swing and taps it into the off side to  .keep strike",Thakur,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
"1.1 
1 
Avesh Khan to Prabhsimran, 1 run 
back of a length on middle and off. Squares up Prabhsimran because of the slight nip 
away and he squirts it towards deep backward point",1.1,1,1.0,"Avesh Khan to Prabhsimran, 1 run  .back of a length on middle and off. Squares up Prabhsimran because of the slight nip  .away and he squirts it towards deep backward point",Avesh Khan,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Avesh Khan to Arya, no run 
hard length on middle and leg. Tucks up the batter, who stabs it down the ground 
towards mid on",1.2,0,0.0,"Avesh Khan to Arya, no run  .hard length on middle and leg. Tucks up the batter, who stabs it down the ground  .towards mid on",Avesh Khan,Arya,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Avesh Khan to Arya, 1 run 
full outside off. Arya moves across his stumps early and flicks it towards deep square 
leg 
Big Dave: ""This is going to be a comeback match for Bishnoi, he will win it for lucknow""",1.3,1,1.0,"Avesh Khan to Arya, 1 run  .full outside off. Arya moves across his stumps early and flicks it towards deep square  .leg",Avesh Khan,Arya,1.0,0,0,1,1,1.0,0,,1
"1.4 
4 
Avesh Khan to Prabhsimran, FOUR runs 
up and over again! Prabhsimran is peppering that area! On the shorter side and offering 
a teensy bit of width. Prabhsimran arches his back to create even more room and 
slashes it over short third!",1.4,4,4.0,"Avesh Khan to Prabhsimran, FOUR runs  .up and over again! Prabhsimran is peppering that area! On the shorter side and offering  .a teensy bit of width. Prabhsimran arches his back to create even more room and  .slashes it over short third!",Avesh Khan,Prabhsimran,4.0,1,0,1,1,4.0,0,,1
"1.5 
1 
Avesh Khan to Prabhsimran, 1 run 
angled in full on middle and off. Prabhsimran pats it into the off side and saunters 
across to the other end",1.5,1,1.0,"Avesh Khan to Prabhsimran, 1 run  .angled in full on middle and off. Prabhsimran pats it into the off side and saunters  .across to the other end",Avesh Khan,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
"1.6 
1 
Avesh Khan to Arya, 1 run 
fullish on off. Arya shuffles across again and tucks it off his pads towards deep square 
leg 
end of over 28 runs  
PBKS: 20/0CRR: 10.00 • RRR: 8.44 • Need 152 runs from 108b 
Priyansh Arya3 (5b) 
Prabhsimran Singh17 (7b 2x4 1x6) 
Avesh Khan 1-0-8-0 
Shardul Thakur 1-0-12-0 
This has been a bright spark for PBKS. They have not taken a whole lot of risks but are 
still ticking along at ten runs per over. An early foray with the ball for Rathi. Over the 
wicket, with a slip in place",1.6,1,1.0,"Avesh Khan to Arya, 1 run  .fullish on off. Arya shuffles across again and tucks it off his pads towards deep square  .leg",Avesh Khan,Arya,1.0,0,0,1,1,1.0,0,,1
"2.1 
4 
Rathi to Arya, FOUR runs 
half-tracker outside off and it gets the treatment it deserves! Arya hops back and 
muscles it to deep mid wicket's right!",2.1,4,4.0,"Rathi to Arya, FOUR runs  .half-tracker outside off and it gets the treatment it deserves! Arya hops back and  .muscles it to deep mid wicket's right!",Rathi,Arya,4.0,1,0,1,1,4.0,0,,1
"2.2 
1 
Rathi to Arya, 1 run 
dropped at slip! Angled in on a length wide outside off. Arya has a massive swish at it 
and gets a thick outside edge. Flies through to Marsh, who cannot hold on. Burst 
through the hands there",2.2,1,1.0,"Rathi to Arya, 1 run  .dropped at slip! Angled in on a length wide outside off. Arya has a massive swish at it  .and gets a thick outside edge. Flies through to Marsh, who cannot hold on. Burst  .through the hands there",Rathi,Arya,1.0,0,0,1,1,1.0,0,,1
"2.3 
1 
Rathi to Prabhsimran, 1 run 
hard length just outside off and this cuts back in, cramping the batter considerably. 
Prabhsimran tugs it behind square",2.3,1,1.0,"Rathi to Prabhsimran, 1 run  .hard length just outside off and this cuts back in, cramping the batter considerably.  .Prabhsimran tugs it behind square",Rathi,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
"2.4 
• 
Rathi to Arya, no run 
fullish on off. Arya gets onto the front foot and defends solidly",2.4,0,0.0,"Rathi to Arya, no run  .fullish on off. Arya gets onto the front foot and defends solidly",Rathi,Arya,0.0,0,0,1,1,0.0,0,,0
"2.5 
W 
Rathi to Arya, OUT 
goes straight up, and taken! Rathi breaks through, and he runs up to Arya to give him a 
bit of a send-off - something about writing down his name in his wicket-taking book! 
Dug in shorter and this spins away to finish outside off. Arya tries to drag it leg-side but 
cannot fight the angle. Skews it straight up and Thakur, running in from mid on, does the 
rest. Rathi is pumped and delighted, as his celebration shows, and the Kings have been 
dented! 
Priyansh Arya c Thakur b Rathi 8 (9b 1x4 0x6 12m) SR: 88.88 
See all photos 
Skipper Shreyas strides out 
 
Priyansh Arya vs legspin in T20s 
RUNS 
18 
OUTS 
2 
4s/6s 
2/0 
SR 
112.50 
AVE 
9.00",2.5,W,0.0,"Rathi to Arya, OUT  .goes straight up, and taken! Rathi breaks through, and he runs up to Arya to give him a  .bit of a send-off - something about writing down his name in his wicket-taking book!  .Dug in shorter and this spins away to finish outside off. Arya tries to drag it leg-side but  .cannot fight the angle. Skews it straight up and Thakur, running in from mid on, does the  .rest. Rathi is pumped and delighted, as his celebration shows, and the Kings have been  .dented!  .Priyansh Arya c Thakur b Rathi 8 (9b 1x4 0x6 12m) SR: 88.88",Rathi,Arya,0.0,0,0,1,1,0.0,1,c Thakur b Rathi,0
"2.6 
1 
Rathi to Shreyas Iyer, 1 run 
back of a length on middle and leg, angling into Shreyas. He goes back and works it 
towards deep mid wicket 
end of over 37 runs • 1 wicket 
PBKS: 27/1CRR: 9.00 • RRR: 8.52 • Need 145 runs from 102b 
Shreyas Iyer1 (1b) 
Prabhsimran Singh18 (8b 2x4 1x6) 
Digvesh Rathi 1-0-7-1 
Avesh Khan 1-0-8-0 
Avesh to continue",2.6,1,1.0,"Rathi to Shreyas Iyer, 1 run  .back of a length on middle and leg, angling into Shreyas. He goes back and works it  .towards deep mid wicket",Rathi,Shreyas Iyer,1.0,0,0,1,1,1.0,0,,1
"3.1 
1w 
Avesh Khan to Shreyas Iyer, 1 wide 
banged into the track but also sliding down leg. Shreyas can get inside the line and the 
umpire calls it a wide",3.1,1w,1.0,"Avesh Khan to Shreyas Iyer, 1 wide  .banged into the track but also sliding down leg. Shreyas can get inside the line and the  .umpire calls it a wide",Avesh Khan,Shreyas Iyer,0.0,0,0,0,0,1.0,0,,1
"3.1 
1 
Avesh Khan to Shreyas Iyer, 1 run 
back of a length just outside off. Shreyas gets up on his toes and jabs it towards deep 
backward point",3.1,1,1.0,"Avesh Khan to Shreyas Iyer, 1 run  .back of a length just outside off. Shreyas gets up on his toes and jabs it towards deep  .backward point",Avesh Khan,Shreyas Iyer,1.0,0,0,1,1,1.0,0,,1
"3.2 
• 
Avesh Khan to Prabhsimran, no run 
short and wide outside off. Prabhsimran stands up tall and slaps it on the bounce to 
mid off",3.2,0,0.0,"Avesh Khan to Prabhsimran, no run  .short and wide outside off. Prabhsimran stands up tall and slaps it on the bounce to  .mid off",Avesh Khan,Prabhsimran,0.0,0,0,1,1,0.0,0,,0
"3.3 
6 
Avesh Khan to Prabhsimran, SIX runs 
oh my days - that is an amazing shot! Dug into the track outside off. Prabhsimran walks 
down the track and then plays a tennis forehand that Novak Djokovic would be proud of. 
Flat over wide long off! 
See all photos 
 
Prabhsimran Singh in Powerplay overs (in T20s) 
RUNS 
804 
OUTS 
30 
4s/6s 
96/40 
SR 
138.86 
AVE 
26.80",3.3,6,6.0,"Avesh Khan to Prabhsimran, SIX runs  .oh my days - that is an amazing shot! Dug into the track outside off. Prabhsimran walks  .down the track and then plays a tennis forehand that Novak Djokovic would be proud of.  .Flat over wide long off!  .See all photos  .  .Prabhsimran Singh in Powerplay overs (in T20s)  .RUNS  .804  .OUTS  .30  .4s/6s  .96/40  .SR  .138.86  .AVE  .26.80",Avesh Khan,Prabhsimran,6.0,0,1,1,1,6.0,0,,1
"3.4 
1 
Avesh Khan to Prabhsimran, 1 run 
back of a length just outside off. Prabhsimran drops it into the off side and calls his 
partner through for an easy single",3.4,1,1.0,"Avesh Khan to Prabhsimran, 1 run  .back of a length just outside off. Prabhsimran drops it into the off side and calls his  .partner through for an easy single",Avesh Khan,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
"3.5 
• 
Avesh Khan to Shreyas Iyer, no run 
another short ball outside off. Shreyas has a swipe across the line but only swats away 
a few flies. Might have been a little early on that pull",3.5,0,0.0,"Avesh Khan to Shreyas Iyer, no run  .another short ball outside off. Shreyas has a swipe across the line but only swats away  .a few flies. Might have been a little early on that pull",Avesh Khan,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"3.6 
1 
Avesh Khan to Shreyas Iyer, 1 run 
back of a length outside off. Shreyas gets up on his toes and guides it towards deep 
backward point 
end of over 410 runs  
PBKS: 37/1CRR: 9.25 • RRR: 8.43 • Need 135 runs from 96b 
Shreyas Iyer3 (4b) 
Prabhsimran Singh25 (11b 2x4 2x6) 
Avesh Khan 2-0-18-0 
Digvesh Rathi 1-0-7-1",3.6,1,1.0,"Avesh Khan to Shreyas Iyer, 1 run  .back of a length outside off. Shreyas gets up on his toes and guides it towards deep  .backward point",Avesh Khan,Shreyas Iyer,1.0,0,0,1,1,1.0,0,,1
"4.1 
1 
Rathi to Shreyas Iyer, 1 run 
length outside off. Shreyas lets the ball come to him before chopping it into the off side",4.1,1,1.0,"Rathi to Shreyas Iyer, 1 run  .length outside off. Shreyas lets the ball come to him before chopping it into the off side",Rathi,Shreyas Iyer,1.0,0,0,1,1,1.0,0,,1
"4.2 
4 
Rathi to Prabhsimran, FOUR runs 
over the infield again! Strays onto the pads and the length allows Prabhsimran to get 
down on the sweep and help it over backward square leg!",4.2,4,4.0,"Rathi to Prabhsimran, FOUR runs  .over the infield again! Strays onto the pads and the length allows Prabhsimran to get  .down on the sweep and help it over backward square leg!",Rathi,Prabhsimran,4.0,1,0,1,1,4.0,0,,1
"4.3 
• 
Rathi to Prabhsimran, no run 
fullish on off. Prabhsimran gets onto the front foot and defends calmly 
Phani: ""Do they share any past or is it that they are close friends, Digvesh and 
Priyansh?It did not look like aggressive, I saw the banter side of it."" -- They do play for 
the same team in the Delhi Premier League",4.3,0,0.0,"Rathi to Prabhsimran, no run  .fullish on off. Prabhsimran gets onto the front foot and defends calmly",Rathi,Prabhsimran,0.0,0,0,1,1,0.0,0,,0
"4.4 
1 
Rathi to Prabhsimran, 1 run 
fired in on a length on off. Prabhsimran goes right back and nudges it into the straight 
mid wicket region",4.4,1,1.0,"Rathi to Prabhsimran, 1 run  .fired in on a length on off. Prabhsimran goes right back and nudges it into the straight  .mid wicket region",Rathi,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
"4.5 
• 
Rathi to Shreyas Iyer, no run 
back of a length on off. Shreyas stays leg side and dabs it towards short third",4.5,0,0.0,"Rathi to Shreyas Iyer, no run  .back of a length on off. Shreyas stays leg side and dabs it towards short third",Rathi,Shreyas Iyer,0.0,0,0,1,1,0.0,0,,0
"4.6 
4 
Rathi to Shreyas Iyer, FOUR runs 
Shreyas lands his first punch now! Googly hung up on a length wide outside off. 
Shreyas reaches out for it and blasts it between mid off and extra cover! 
end of over 510 runs  
PBKS: 47/1CRR: 9.40 • RRR: 8.33 • Need 125 runs from 90b 
Shreyas Iyer8 (7b 1x4) 
Prabhsimran Singh30 (14b 3x4 2x6) 
Digvesh Rathi 2-0-17-1 
Avesh Khan 2-0-18-0 
Bishnoi to round off the powerplay",4.6,4,4.0,"Rathi to Shreyas Iyer, FOUR runs  .Shreyas lands his first punch now! Googly hung up on a length wide outside off.  .Shreyas reaches out for it and blasts it between mid off and extra cover!",Rathi,Shreyas Iyer,4.0,1,0,1,1,4.0,0,,1
"5.1 
• 
Ravi Bishnoi to Prabhsimran, no run 
fired in full just outside off. Prabhsimran lunges forward and pokes it back to the bowler",5.1,0,0.0,"Ravi Bishnoi to Prabhsimran, no run  .fired in full just outside off. Prabhsimran lunges forward and pokes it back to the bowler",Ravi Bishnoi,Prabhsimran,0.0,0,0,1,1,0.0,0,,0
"5.2 
4 
Ravi Bishnoi to Prabhsimran, FOUR runs 
over the top again! Prabhsimran shimmies around before the ball is bowled and then 
settles just outside leg. Picks up this slot ball on the stumps and thumps it over mid on!",5.2,4,4.0,"Ravi Bishnoi to Prabhsimran, FOUR runs  .over the top again! Prabhsimran shimmies around before the ball is bowled and then  .settles just outside leg. Picks up this slot ball on the stumps and thumps it over mid on!",Ravi Bishnoi,Prabhsimran,4.0,1,0,1,1,4.0,0,,1
"5.3 
4 
Ravi Bishnoi to Prabhsimran, FOUR runs 
another sweep executed to absolute perfection! Slower and shorter on off. 
Prabhsimran gets down early, gets under it and lifts it over backward square leg! 
 
Prabhsimran Singh vs legspin in T20s 
RUNS 
140 
OUTS 
3 
4s/6s 
9/9 
SR 
157.30 
AVE 
46.66",5.3,4,4.0,"Ravi Bishnoi to Prabhsimran, FOUR runs  .another sweep executed to absolute perfection! Slower and shorter on off.  .Prabhsimran gets down early, gets under it and lifts it over backward square leg!  .  .Prabhsimran Singh vs legspin in T20s  .RUNS  .140  .OUTS  .3  .4s/6s  .9/9  .SR  .157.30  .AVE  .46.66",Ravi Bishnoi,Prabhsimran,4.0,1,0,1,1,4.0,0,,1
