raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Khaleel Ahmed to Rickelton, no run 
Raps him high on the back leg with his first leg. Length ball outside off jags in to beat 
the inside edge!",0.1,0,0.0,"Khaleel Ahmed to Rickelton, no run  .Raps him high on the back leg with his first leg. Length ball outside off jags in to beat  .the inside edge!",Khaleel Ahmed,Rickelton,0.0,0,0,1,1,0.0,0,,0
"0.2 
2 
Khaleel Ahmed to Rickelton, 2 runs 
Pitched up outside off, hint of away swing, Ricketlton drives it just to the cover fielder's 
left and Jamie Overton chases from mid-off and dives to stop that. They get two but 
Overton's knee gets stuck in the ground. He is in some pain",0.2,2,2.0,"Khaleel Ahmed to Rickelton, 2 runs  .Pitched up outside off, hint of away swing, Ricketlton drives it just to the cover fielder's  .left and Jamie Overton chases from mid-off and dives to stop that. They get two but  .Overton's knee gets stuck in the ground. He is in some pain",Khaleel Ahmed,Rickelton,2.0,0,0,1,1,2.0,0,,1
"0.3 
4 
Khaleel Ahmed to Rickelton, FOUR runs 
Crunched away! Makes full use of the width on offer. This is on a length outside off and 
Rickelton drives it past the point fielder to his left!",0.3,4,4.0,"Khaleel Ahmed to Rickelton, FOUR runs  .Crunched away! Makes full use of the width on offer. This is on a length outside off and  .Rickelton drives it past the point fielder to his left!",Khaleel Ahmed,Rickelton,4.0,1,0,1,1,4.0,0,,1
"0.4 
4 
Khaleel Ahmed to Rickelton, FOUR runs 
Exquisite placement! Overpitched outside off and he picks out the small gap between 
cover and point! What a start from him 
 
Khaleel Ahmed vs LHB 
BALLS 
638 
WKTS 
34 
4s/6s 
112/43 
ECON 
9.07 
AVE 
28.61",0.4,4,4.0,"Khaleel Ahmed to Rickelton, FOUR runs  .Exquisite placement! Overpitched outside off and he picks out the small gap between  .cover and point! What a start from him  .  .Khaleel Ahmed vs LHB  .BALLS  .638  .WKTS  .34  .4s/6s  .112/43  .ECON  .9.07  .AVE  .28.61",Khaleel Ahmed,Rickelton,4.0,1,0,1,1,4.0,0,,1
"0.5 
• 
Khaleel Ahmed to Rickelton, no run 
Khaleel beats the inside edge again! Full outside off, big swing inside, and it goes off the 
back pad to the slip fielder. Muted appeal from Khaleel, but that looked like it was going 
down leg. A replay shows that was hitting leg stump and there was no inside edge 
either! Missed chance for CSK and Khaleel!",0.5,0,0.0,"Khaleel Ahmed to Rickelton, no run  .Khaleel beats the inside edge again! Full outside off, big swing inside, and it goes off the  .back pad to the slip fielder. Muted appeal from Khaleel, but that looked like it was going  .down leg. A replay shows that was hitting leg stump and there was no inside edge  .either! Missed chance for CSK and Khaleel!",Khaleel Ahmed,Rickelton,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Khaleel Ahmed to Rickelton, no run 
Full and swinging down leg, Rickelton misses his flick and is hit on the front pad. Good 
riposte to those two boundaries 
Rohit has a pretty poor record against Khaleel and Rickelton has done a good job of not 
needing him on strike 
end of over 110 runs  
MI: 10/0CRR: 10.00 • RRR: 8.78 • Need 167 runs from 114b 
Ryan Rickelton10 (6b 2x4) 
Rohit Sharma0 (0b) 
Khaleel Ahmed 1-0-10-0 
Here's Rohit on strike now. Overton with the ball 
 
Rohit Sharma vs CSK in T20s 
INNS 
37 
RUNS 
928 
SR 
128.35 
AVE 
29.00",0.6,0,0.0,"Khaleel Ahmed to Rickelton, no run  .Full and swinging down leg, Rickelton misses his flick and is hit on the front pad. Good  .riposte to those two boundaries  .Rohit has a pretty poor record against Khaleel and Rickelton has done a good job of not  .needing him on strike",Khaleel Ahmed,Rickelton,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Overton to Rohit Sharma, 1 run 
Full on off, late swing away, Rohit pushes it in front of point and gets off the mark",1.1,1,1.0,"Overton to Rohit Sharma, 1 run  .Full on off, late swing away, Rohit pushes it in front of point and gets off the mark",Overton,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"1.2 
1 
Overton to Rickelton, 1 run 
Very full on off, pushed out towards mid-off for a single",1.2,1,1.0,"Overton to Rickelton, 1 run  .Very full on off, pushed out towards mid-off for a single",Overton,Rickelton,1.0,0,0,1,1,1.0,0,,1
"1.3 
1w 
Overton to Rohit Sharma, 1 wide 
Fires this one down leg",1.3,1w,1.0,"Overton to Rohit Sharma, 1 wide  .Fires this one down leg",Overton,Rohit Sharma,0.0,0,0,0,0,1.0,0,,1
"1.3 
1w 
Overton to Rohit Sharma, 1 wide 
Pulls his length back but misses the line again. Goes down leg again",1.3,1w,1.0,"Overton to Rohit Sharma, 1 wide  .Pulls his length back but misses the line again. Goes down leg again",Overton,Rohit Sharma,0.0,0,0,0,0,1.0,0,,1
"1.3 
• 
Overton to Rohit Sharma, no run 
Back of length outside off, Rohit Sharma drops it towards point. Turns down the single 
immediately",1.3,0,0.0,"Overton to Rohit Sharma, no run  .Back of length outside off, Rohit Sharma drops it towards point. Turns down the single  .immediately",Overton,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
