raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Khaleel Ahmed to Rohit Sharma, no run 
Leg-stump length ball to start. On the pads, beats the flick and pops nearby. The crowd 
roar after the ball, early energy from them is hight",0.1,0,0.0,"Khaleel Ahmed to Rohit Sharma, no run  .Leg-stump length ball to start. On the pads, beats the flick and pops nearby. The crowd  .roar after the ball, early energy from them is hight",Khaleel Ahmed,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Khaleel Ahmed to Rohit Sharma, no run 
Goes away with the angle to beat bat. No swing, good-length ball lands around off and 
goest through fifth. Rohit reaches out for the push to cover before pulling the vertical 
bat back",0.2,0,0.0,"Khaleel Ahmed to Rohit Sharma, no run  .Goes away with the angle to beat bat. No swing, good-length ball lands around off and  .goest through fifth. Rohit reaches out for the push to cover before pulling the vertical  .bat back",Khaleel Ahmed,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Khaleel Ahmed to Rohit Sharma, no run 
Back of a length this time, at the stumps, worked back to the bowler",0.3,0,0.0,"Khaleel Ahmed to Rohit Sharma, no run  .Back of a length this time, at the stumps, worked back to the bowler",Khaleel Ahmed,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.4 
W 
Khaleel Ahmed to Rohit Sharma, OUT 
Softie! Taken at midwicket! Rohit flicked the 139ks length ball just in front of the body. 
Wasn't an aggressive shot. Line was middle-stumpish, so the shot was on. There was 
no swing either, the bat face didn't really close. So, Rohit might have wanted to hit that 
straight. Ended up lobbing it to Dube. 
Rohit Sharma c Dube b Ahmed 0 (4b 0x4 0x6 3m) SR: 0 
 
Rohit Sharma vs Khaleel Ahmed 
BALLS 
43 
RUNS 
28 
OUTS 
3 
SR 
65.11 
4s/6s 
5/0",0.4,W,0.0,"Khaleel Ahmed to Rohit Sharma, OUT  .Softie! Taken at midwicket! Rohit flicked the 139ks length ball just in front of the body.  .Wasn't an aggressive shot. Line was middle-stumpish, so the shot was on. There was  .no swing either, the bat face didn't really close. So, Rohit might have wanted to hit that  .straight. Ended up lobbing it to Dube.  .Rohit Sharma c Dube b Ahmed 0 (4b 0x4 0x6 3m) SR: 0",Khaleel Ahmed,Rohit Sharma,0.0,0,0,1,1,0.0,1,c Dube b Ahmed,0
"0.5 
• 
Khaleel Ahmed to Jacks, no run 
That's more like a wicket-taking ball. Three-quarter length, landed around off and went 
through fourth stump. Jacks tried to defend straight, played the line and got beaten",0.5,0,0.0,"Khaleel Ahmed to Jacks, no run  .That's more like a wicket-taking ball. Three-quarter length, landed around off and went  .through fourth stump. Jacks tried to defend straight, played the line and got beaten",Khaleel Ahmed,Jacks,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Khaleel Ahmed to Jacks, FOUR runs 
Bad ball to finish. Down leg and it's helped through square leg with a flick 
end of over 14 runs • 1 wicket 
MI: 4/1CRR: 4.00  
Will Jacks4 (2b 1x4) 
Ryan Rickelton0 (0b) 
Khaleel Ahmed 1-0-4-1",0.6,4,4.0,"Khaleel Ahmed to Jacks, FOUR runs  .Bad ball to finish. Down leg and it's helped through square leg with a flick",Khaleel Ahmed,Jacks,4.0,1,0,1,1,4.0,0,,1
"1.1 
4 
Sam Curran to Rickelton, FOUR runs 
Flicked from middle stump, this is off the back foot and along the ground. Four through 
midwicket. Was a length ball that angled in, moved a touch off the seam too. Inward 
movement, played from within the crease",1.1,4,4.0,"Sam Curran to Rickelton, FOUR runs  .Flicked from middle stump, this is off the back foot and along the ground. Four through  .midwicket. Was a length ball that angled in, moved a touch off the seam too. Inward  .movement, played from within the crease",Sam Curran,Rickelton,4.0,1,0,1,1,4.0,0,,1
"1.2 
• 
Sam Curran to Rickelton, no run 
Fullish on off, this seemed to move away. Pushed off the front foot to mid-off",1.2,0,0.0,"Sam Curran to Rickelton, no run  .Fullish on off, this seemed to move away. Pushed off the front foot to mid-off",Sam Curran,Rickelton,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Sam Curran to Rickelton, FOUR runs 
Test-quality straight punch, no weight transfer but that had the optics of a back-foot 
shot. Ball was on a fuller side of length, around top of middle and off, Rickelton waited 
till it came near him and showed it the full face. Checked shot past the bowler",1.3,4,4.0,"Sam Curran to Rickelton, FOUR runs  .Test-quality straight punch, no weight transfer but that had the optics of a back-foot  .shot. Ball was on a fuller side of length, around top of middle and off, Rickelton waited  .till it came near him and showed it the full face. Checked shot past the bowler",Sam Curran,Rickelton,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Sam Curran to Rickelton, no run 
Touch back of a length on leg, flicked off the back foot to midwicket",1.4,0,0.0,"Sam Curran to Rickelton, no run  .Touch back of a length on leg, flicked off the back foot to midwicket",Sam Curran,Rickelton,0.0,0,0,1,1,0.0,0,,0
"1.5 
1 
Sam Curran to Rickelton, 1 run 
Similar length, in the channel, flicked off the back foot to long-on. Even bounce again, 
Rickelton's trusting it 
Fine leg and third are going back",1.5,1,1.0,"Sam Curran to Rickelton, 1 run  .Similar length, in the channel, flicked off the back foot to long-on. Even bounce again,  .Rickelton's trusting it  .Fine leg and third are going back",Sam Curran,Rickelton,1.0,0,0,1,1,1.0,0,,1
