raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Johnson to Rohit Sharma, 1 run 
back of a length on leg stump. Rohit lets the ball come to him before tucking it off his 
pads towards deep backward square leg",0.1,1,1.0,"Johnson to Rohit Sharma, 1 run  .back of a length on leg stump. Rohit lets the ball come to him before tucking it off his  .pads towards deep backward square leg",Johnson,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Johnson to Rickelton, no run 
peach! Back of a length in the channel and this jags away sharply after pitching. 
Rickelton has a nibble at it and is beaten all ends up",0.2,0,0.0,"Johnson to Rickelton, no run  .peach! Back of a length in the channel and this jags away sharply after pitching.  .Rickelton has a nibble at it and is beaten all ends up",Johnson,Rickelton,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Johnson to Rickelton, no run 
oof, what a ball! Back of a length in the channel again and this decks back the other 
way. Rickelton is cut in half this time and QDK does really well to gather to his right, with 
the ball wobbling all around the place",0.3,0,0.0,"Johnson to Rickelton, no run  .oof, what a ball! Back of a length in the channel again and this decks back the other  .way. Rickelton is cut in half this time and QDK does really well to gather to his right, with  .the ball wobbling all around the place",Johnson,Rickelton,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Johnson to Rickelton, no run 
another play and a miss! Fullish in that corridor of uncertainty. Rickelton goes feeling 
for it and the ball moves late to beat the outside edge",0.4,0,0.0,"Johnson to Rickelton, no run  .another play and a miss! Fullish in that corridor of uncertainty. Rickelton goes feeling  .for it and the ball moves late to beat the outside edge",Johnson,Rickelton,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Johnson to Rickelton, no run 
cut in half again! The ball and the bat are speaking different languages here! Hard 
length, unerringly just outside off. Nips back sharply and Rickelton has no clue as the 
ball breezes past his inside edge",0.5,0,0.0,"Johnson to Rickelton, no run  .cut in half again! The ball and the bat are speaking different languages here! Hard  .length, unerringly just outside off. Nips back sharply and Rickelton has no clue as the  .ball breezes past his inside edge",Johnson,Rickelton,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Johnson to Rickelton, no run 
back of a length outside off. Rickelton gets up on his toes and taps it towards point 
end of over 11 run  
MI: 1/0CRR: 1.00 • RRR: 6.10 • Need 116 runs from 114b 
Ryan Rickelton0 (5b) 
Rohit Sharma1 (1b) 
Spencer Johnson 1-0-1-0 
Rana to share the new ball",0.6,0,0.0,"Johnson to Rickelton, no run  .back of a length outside off. Rickelton gets up on his toes and taps it towards point",Johnson,Rickelton,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Harshit Rana to Rohit Sharma, no run 
an absolute jaffa to start! Fullish outside off and this swerves back in with immense 
whiz. Rohit's turn to get cut in half and he is lucky that has not taken the stumps on the 
way",1.1,0,0.0,"Harshit Rana to Rohit Sharma, no run  .an absolute jaffa to start! Fullish outside off and this swerves back in with immense  .whiz. Rohit's turn to get cut in half and he is lucky that has not taken the stumps on the  .way",Harshit Rana,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Harshit Rana to Rohit Sharma, no run 
angled in again, on a fullish length on middle and leg. Rohit walks across, looks to 
access the region behind square but does not make contact. Rolls off the front pad into 
the on side 
Abhi: ""Wonder if KKR pacers will also extract movement with the new ball, will be nice to 
see a low scoring thriller after all the 200 scores"" -- So far, they seem to be extracting 
more movement...",1.2,0,0.0,"Harshit Rana to Rohit Sharma, no run  .angled in again, on a fullish length on middle and leg. Rohit walks across, looks to  .access the region behind square but does not make contact. Rolls off the front pad into  .the on side",Harshit Rana,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Harshit Rana to Rohit Sharma, 1 run 
attempted slower yorker on leg stump that ends up being a low full toss. Rohit pokes it 
towards mid on",1.3,1,1.0,"Harshit Rana to Rohit Sharma, 1 run  .attempted slower yorker on leg stump that ends up being a low full toss. Rohit pokes it  .towards mid on",Harshit Rana,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"1.4 
1w 
Harshit Rana to Rickelton, 1 wide 
short and wide outside off. A bit of a wild delivery. Rickelton pulls out of his slash at the 
end and gets the wide",1.4,1w,1.0,"Harshit Rana to Rickelton, 1 wide  .short and wide outside off. A bit of a wild delivery. Rickelton pulls out of his slash at the  .end and gets the wide",Harshit Rana,Rickelton,0.0,0,0,0,0,1.0,0,,1
"1.4 
1 
Harshit Rana to Rickelton, 1 run 
yorker outside leg. Rickelton gets bat to it and digs it out towards short fine leg. Off the 
mark at the sixth time of asking",1.4,1,1.0,"Harshit Rana to Rickelton, 1 run  .yorker outside leg. Rickelton gets bat to it and digs it out towards short fine leg. Off the  .mark at the sixth time of asking",Harshit Rana,Rickelton,1.0,0,0,1,1,1.0,0,,1
"1.5 
3nb 
Harshit Rana to Rohit Sharma, (no ball) 2 runs 
searing in-swinging yorker on middle and leg. Rohit picks it early enough, though, and 
clips it through mid wicket. And to make matters worse for Rana, he has overstepped...",1.5,3nb,3.0,"Harshit Rana to Rohit Sharma, (no ball) 2 runs  .searing in-swinging yorker on middle and leg. Rohit picks it early enough, though, and  .clips it through mid wicket. And to make matters worse for Rana, he has overstepped...",Harshit Rana,Rohit Sharma,2.0,0,0,1,0,3.0,0,,1
"1.5 
6 
Harshit Rana to Rohit Sharma, SIX runs 
Rohit makes Rana and KKR pay! Attempted yorker outside off but Rana misses on the 
fuller side. Dishes out a juicy full toss and Rohit bangs it over mid off!",1.5,6,6.0,"Harshit Rana to Rohit Sharma, SIX runs  .Rohit makes Rana and KKR pay! Attempted yorker outside off but Rana misses on the  .fuller side. Dishes out a juicy full toss and Rohit bangs it over mid off!",Harshit Rana,Rohit Sharma,6.0,0,1,1,1,6.0,0,,1
"1.6 
2 
Harshit Rana to Rohit Sharma, 2 runs 
back of a length outside off. Rohit waits for it and then scuffs it past point for another 
brace. Not the greatest connection, but that will do for now 
end of over 214 runs  
MI: 15/0CRR: 7.50 • RRR: 5.66 • Need 102 runs from 108b 
Rohit Sharma12 (7b 1x6) 
Ryan Rickelton1 (6b) 
Harshit Rana 1-0-14-0 
Spencer Johnson 1-0-1-0 
Two slips now for Rickelton",1.6,2,2.0,"Harshit Rana to Rohit Sharma, 2 runs  .back of a length outside off. Rohit waits for it and then scuffs it past point for another  .brace. Not the greatest connection, but that will do for now",Harshit Rana,Rohit Sharma,2.0,0,0,1,1,2.0,0,,1
"2.1 
2 
Johnson to Rickelton, 2 runs 
just over! Back of a length outside off. Rickelton goes fishing at it and skews it just over 
backward point. Gets a brace for his troubles",2.1,2,2.0,"Johnson to Rickelton, 2 runs  .just over! Back of a length outside off. Rickelton goes fishing at it and skews it just over  .backward point. Gets a brace for his troubles",Johnson,Rickelton,2.0,0,0,1,1,2.0,0,,1
