raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Boult to Arya, 1 run 
A bit of swing away. Fullish on fourth, patted with an open face to backward point's 
right. Tilak dives to stop it",0.1,1,1.0,"Boult to Arya, 1 run  .A bit of swing away. Fullish on fourth, patted with an open face to backward point's  .right. Tilak dives to stop it",Boult,Arya,1.0,0,0,1,1,1.0,0,,1
"0.2 
4 
Boult to Prabhsimran, FOUR runs 
Whipped with the swing, taken off middle stump over square leg. Was very full, played 
completely across the line by Prabhsimran",0.2,4,4.0,"Boult to Prabhsimran, FOUR runs  .Whipped with the swing, taken off middle stump over square leg. Was very full, played  .completely across the line by Prabhsimran",Boult,Prabhsimran,4.0,1,0,1,1,4.0,0,,1
"0.3 
• 
Boult to Prabhsimran, no run 
Driven well but finds cover. He was standing close and it came low to him. Was a wide 
fullish ball that was played with a horizontal bat",0.3,0,0.0,"Boult to Prabhsimran, no run  .Driven well but finds cover. He was standing close and it came low to him. Was a wide  .fullish ball that was played with a horizontal bat",Boult,Prabhsimran,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Boult to Prabhsimran, no run 
Back of length over off, defended off the back foot to point",0.4,0,0.0,"Boult to Prabhsimran, no run  .Back of length over off, defended off the back foot to point",Boult,Prabhsimran,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Boult to Prabhsimran, no run 
Cut to backward point on the bounce. Shortish ball just outside off, Prabhsimran getting 
some whiplash off that shot",0.5,0,0.0,"Boult to Prabhsimran, no run  .Cut to backward point on the bounce. Shortish ball just outside off, Prabhsimran getting  .some whiplash off that shot",Boult,Prabhsimran,0.0,0,0,1,1,0.0,0,,0
"0.6 
1 
Boult to Prabhsimran, 1 run 
Length on middle, flicked to midwicket 
end of over 16 runs  
PBKS: 6/0CRR: 6.00 • RRR: 10.42 • Need 198 runs from 114b 
Prabhsimran Singh5 (5b 1x4) 
Priyansh Arya1 (1b) 
Trent Boult 1-0-6-0 
Topley",0.6,1,1.0,"Boult to Prabhsimran, 1 run  .Length on middle, flicked to midwicket",Boult,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Topley to Prabhsimran, no run 
Good bounce from a fuller side of length. Going away through fourth, Prabhsimran 
guides it to backward point",1.1,0,0.0,"Topley to Prabhsimran, no run  .Good bounce from a fuller side of length. Going away through fourth, Prabhsimran  .guides it to backward point",Topley,Prabhsimran,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Topley to Prabhsimran, no run 
Blocked while bouncing. Played with a straight bat, ball went off the sticker towards 
point, Back of length ball was going over middle",1.2,0,0.0,"Topley to Prabhsimran, no run  .Blocked while bouncing. Played with a straight bat, ball went off the sticker towards  .point, Back of length ball was going over middle",Topley,Prabhsimran,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Topley to Prabhsimran, 1 run 
Length over leg, flicked to deep fine leg 
 
Priyansh Arya in Powerplay overs (in T20s) 
RUNS 
413 
OUTS 
12 
4s/6s 
55/19 
SR 
179.56 
AVE 
34.41",1.3,1,1.0,"Topley to Prabhsimran, 1 run  .Length over leg, flicked to deep fine leg  .  .Priyansh Arya in Powerplay overs (in T20s)  .RUNS  .413  .OUTS  .12  .4s/6s  .55/19  .SR  .179.56  .AVE  .34.41",Topley,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
"1.4 
2 
Topley to Arya, 2 runs 
Cut nicely, fielder does even better. Bawa charges to the left from deep third, dives over 
his shoulder and pulls it well in. Was a wide length ball that was square driven on the 
top of the bounce",1.4,2,2.0,"Topley to Arya, 2 runs  .Cut nicely, fielder does even better. Bawa charges to the left from deep third, dives over  .his shoulder and pulls it well in. Was a wide length ball that was square driven on the  .top of the bounce",Topley,Arya,2.0,0,0,1,1,2.0,0,,1
