raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Sumerauer to Fouche, no run",0.1,0,0.0,"Sumerauer to Fouche, no run",Sumerauer,Fouche,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Sumerauer to Fouche, no run",0.2,0,0.0,"Sumerauer to Fouche, no run",Sumerauer,Fouche,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Sumerauer to Fouche, no run",0.3,0,0.0,"Sumerauer to Fouche, no run",Sumerauer,Fouche,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Sumerauer to Fouche, no run",0.4,0,0.0,"Sumerauer to Fouche, no run",Sumerauer,Fouche,0.0,0,0,1,1,0.0,0,,0
"0.5 
W 
Sumerauer to Fouche, OUT 
Shaun Fouché b Sumerauer 0 (5b 0x4 0x6) SR: 0",0.5,W,0.0,"Sumerauer to Fouche, OUT  .Shaun Fouché b Sumerauer 0 (5b 0x4 0x6) SR: 0",Sumerauer,Fouche,0.0,0,0,1,1,0.0,1,b Sumerauer,0
"0.6 
• 
Sumerauer to van Lingen, no run 
end of over 1Wicket maiden 
NAM: 0/1CRR: 0.00 • RRR: 4.36 • Need 214 runs from 49 overs 
Michael van Lingen0 (1b) 
Nikolaas Davin0 (0b) 
Julius Sumerauer 1-1-0-1",0.6,0,0.0,"Sumerauer to van Lingen, no run",Sumerauer,van Lingen,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Miles to Davin, no run",1.1,0,0.0,"Miles to Davin, no run",Miles,Davin,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Miles to Davin, no run",1.2,0,0.0,"Miles to Davin, no run",Miles,Davin,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Miles to Davin, FOUR runs",1.3,4,4.0,"Miles to Davin, FOUR runs",Miles,Davin,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Miles to Davin, no run",1.4,0,0.0,"Miles to Davin, no run",Miles,Davin,0.0,0,0,1,1,0.0,0,,0
