raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Sole to van Lingen, no run",0.1,0,0.0,"Sole to van Lingen, no run",Sole,van Lingen,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Sole to van Lingen, 1 run",0.2,1,1.0,"Sole to van Lingen, 1 run",Sole,van Lingen,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Sole to la Cock, no run",0.3,0,0.0,"Sole to la Cock, no run",Sole,la Cock,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Sole to la Cock, no run",0.4,0,0.0,"Sole to la Cock, no run",Sole,la Cock,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Sole to la Cock, no run",0.5,0,0.0,"Sole to la Cock, no run",Sole,la Cock,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Sole to la Cock, no run 
end of over 11 run  
NAM: 1/0CRR: 1.00 • RRR: 4.24 
Divan la Cock0 (4b) 
Michael van Lingen1 (2b) 
Chris Sole 1-0-1-0",0.6,0,0.0,"Sole to la Cock, no run",Sole,la Cock,0.0,0,0,1,1,0.0,0,,0
"1.1 
1w 
McMullen to van Lingen, 1 wide",1.1,1w,1.0,"McMullen to van Lingen, 1 wide",McMullen,van Lingen,0.0,0,0,0,0,1.0,0,,1
"1.1 
6 
McMullen to van Lingen, SIX runs",1.1,6,6.0,"McMullen to van Lingen, SIX runs",McMullen,van Lingen,6.0,0,1,1,1,6.0,0,,1
"1.2 
• 
McMullen to van Lingen, no run",1.2,0,0.0,"McMullen to van Lingen, no run",McMullen,van Lingen,0.0,0,0,1,1,0.0,0,,0
"1.3 
W 
McMullen to van Lingen, OUT 
Michael van Lingen lbw b McMullen 7 (5b 0x4 1x6) SR: 140",1.3,W,0.0,"McMullen to van Lingen, OUT  .Michael van Lingen lbw b McMullen 7 (5b 0x4 1x6) SR: 140",McMullen,van Lingen,0.0,0,0,1,1,0.0,1,lbw b McMullen,0
"1.4 
1 
McMullen to Louwrens, 1 run",1.4,1,1.0,"McMullen to Louwrens, 1 run",McMullen,Louwrens,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
McMullen to la Cock, no run",1.5,0,0.0,"McMullen to la Cock, no run",McMullen,la Cock,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
McMullen to la Cock, no run 
end of over 28 runs • 1 wicket 
NAM: 9/1CRR: 4.50 • RRR: 4.16 
Divan la Cock0 (6b) 
Lo-handre Louwrens1 (1b) 
Brandon McMullen 1-0-8-1 
Chris Sole 1-0-1-0",1.6,0,0.0,"McMullen to la Cock, no run",McMullen,la Cock,0.0,0,0,1,1,0.0,0,,0
"2.1 
1 
Sole to Louwrens, 1 run",2.1,1,1.0,"Sole to Louwrens, 1 run",Sole,Louwrens,1.0,0,0,1,1,1.0,0,,1
"2.2 
• 
Sole to la Cock, no run",2.2,0,0.0,"Sole to la Cock, no run",Sole,la Cock,0.0,0,0,1,1,0.0,0,,0
"2.3 
2 
Sole to la Cock, 2 runs",2.3,2,2.0,"Sole to la Cock, 2 runs",Sole,la Cock,2.0,0,0,1,1,2.0,0,,1
"2.4 
• 
Sole to la Cock, no run",2.4,0,0.0,"Sole to la Cock, no run",Sole,la Cock,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Sole to la Cock, no run",2.5,0,0.0,"Sole to la Cock, no run",Sole,la Cock,0.0,0,0,1,1,0.0,0,,0
"2.6 
1 
Sole to la Cock, 1 run 
end of over 34 runs  
NAM: 13/1CRR: 4.33 • RRR: 4.17 
Divan la Cock3 (11b) 
Lo-handre Louwrens2 (2b) 
Chris Sole 2-0-5-0 
Brandon McMullen 1-0-8-1",2.6,1,1.0,"Sole to la Cock, 1 run",Sole,la Cock,1.0,0,0,1,1,1.0,0,,1
"3.1 
• 
McMullen to la Cock, no run",3.1,0,0.0,"McMullen to la Cock, no run",McMullen,la Cock,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
McMullen to la Cock, no run",3.2,0,0.0,"McMullen to la Cock, no run",McMullen,la Cock,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
McMullen to la Cock, no run",3.3,0,0.0,"McMullen to la Cock, no run",McMullen,la Cock,0.0,0,0,1,1,0.0,0,,0
"3.4 
W 
McMullen to la Cock, OUT 
Divan la Cock c Leask b McMullen 3 (15b 0x4 0x6) SR: 20",3.4,W,0.0,"McMullen to la Cock, OUT  .Divan la Cock c Leask b McMullen 3 (15b 0x4 0x6) SR: 20",McMullen,la Cock,0.0,0,0,1,1,0.0,1,c Leask b McMullen,0
"3.5 
• 
McMullen to Erasmus, no run",3.5,0,0.0,"McMullen to Erasmus, no run",McMullen,Erasmus,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
McMullen to Erasmus, no run 
end of over 4Wicket maiden 
NAM: 13/2CRR: 3.25 • RRR: 4.26 
Gerhard Erasmus0 (2b) 
Lo-handre Louwrens2 (2b) 
Brandon McMullen 2-1-8-2 
Chris Sole 2-0-5-0",3.6,0,0.0,"McMullen to Erasmus, no run",McMullen,Erasmus,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Sole to Louwrens, no run",4.1,0,0.0,"Sole to Louwrens, no run",Sole,Louwrens,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Sole to Louwrens, no run",4.2,0,0.0,"Sole to Louwrens, no run",Sole,Louwrens,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
Sole to Louwrens, no run",4.3,0,0.0,"Sole to Louwrens, no run",Sole,Louwrens,0.0,0,0,1,1,0.0,0,,0
"4.4 
1w 
Sole to Louwrens, 1 wide",4.4,1w,1.0,"Sole to Louwrens, 1 wide",Sole,Louwrens,0.0,0,0,0,0,1.0,0,,1
"4.4 
• 
Sole to Louwrens, no run",4.4,0,0.0,"Sole to Louwrens, no run",Sole,Louwrens,0.0,0,0,1,1,0.0,0,,0
