raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Shoriful Islam to Vikramjit Singh, no run 
Starts full and quite wide, swinging away, and it's left alone by Vikramjit",0.1,0,0.0,"Shoriful Islam to Vikramjit Singh, no run  .Starts full and quite wide, swinging away, and it's left alone by Vikramjit",Shoriful Islam,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Shoriful Islam to Vikramjit Singh, no run 
Play and a miss! It's pitched up closer to off stump this time. The ball swings away and 
beats the drive. Bangladesh will take encouragement from this",0.2,0,0.0,"Shoriful Islam to Vikramjit Singh, no run  .Play and a miss! It's pitched up closer to off stump this time. The ball swings away and  .beats the drive. Bangladesh will take encouragement from this",Shoriful Islam,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Shoriful Islam to Vikramjit Singh, no run 
Fuller on off, it's an outswinger again but Vikramjit is able to drive this to point but can't 
beat the fielder",0.3,0,0.0,"Shoriful Islam to Vikramjit Singh, no run  .Fuller on off, it's an outswinger again but Vikramjit is able to drive this to point but can't  .beat the fielder",Shoriful Islam,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shoriful Islam to Vikramjit Singh, no run 
Full around off again, driven to point",0.4,0,0.0,"Shoriful Islam to Vikramjit Singh, no run  .Full around off again, driven to point",Shoriful Islam,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.5 
3 
Shoriful Islam to Vikramjit Singh, 3 runs 
Vikramjit gets one on the pads and gets off the mark with a clip through midwicket. 
Shoriful goes too straight this time and Vikramjit flicks it off his pads. It doesn't go all 
the way and they pick three",0.5,3,3.0,"Shoriful Islam to Vikramjit Singh, 3 runs  .Vikramjit gets one on the pads and gets off the mark with a clip through midwicket.  .Shoriful goes too straight this time and Vikramjit flicks it off his pads. It doesn't go all  .the way and they pick three",Shoriful Islam,Vikramjit Singh,3.0,0,0,1,1,3.0,0,,1
"0.6 
• 
Shoriful Islam to O'Dowd, no run 
Full around off, hint of shape in and O'Dowd firmly defends his first ball of the game 
end of over 13 runs  
NED: 3/0CRR: 3.00  
Max O'Dowd0 (1b) 
Vikramjit Singh3 (5b) 
Shoriful Islam 1-0-3-0 
Taskin from the other end. Over the wicket",0.6,0,0.0,"Shoriful Islam to O'Dowd, no run  .Full around off, hint of shape in and O'Dowd firmly defends his first ball of the game",Shoriful Islam,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Taskin to Vikramjit Singh, no run 
Length ball on middle and off, Vikramjit Singh looks to work it on the on side but the ball 
lobs towards mid-on. But the batter would be happy to see that it dies on the fielder, 
dropping just short",1.1,0,0.0,"Taskin to Vikramjit Singh, no run  .Length ball on middle and off, Vikramjit Singh looks to work it on the on side but the ball  .lobs towards mid-on. But the batter would be happy to see that it dies on the fielder,  .dropping just short",Taskin,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Taskin to Vikramjit Singh, no run 
Length ball going across him and Vikramjit shoulders arms",1.2,0,0.0,"Taskin to Vikramjit Singh, no run  .Length ball going across him and Vikramjit shoulders arms",Taskin,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Taskin to Vikramjit Singh, no run 
Full on off, Vikramjit Singh drives to mid-off",1.3,0,0.0,"Taskin to Vikramjit Singh, no run  .Full on off, Vikramjit Singh drives to mid-off",Taskin,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.4 
W 
Taskin to Vikramjit Singh, OUT 
Chipped straight to mid-off and that's a dolly for Shakib! It's full on leg and he is looking 
to flick it away. Turns the face of the bat too early and ends up getting a leading edge 
Vikramjit Singh c Shakib Al Hasan b Taskin Ahmed 3 (9b 0x4 0x6 7m) SR: 33.33 
Wessley Barresi in",1.4,W,0.0,"Taskin to Vikramjit Singh, OUT  .Chipped straight to mid-off and that's a dolly for Shakib! It's full on leg and he is looking  .to flick it away. Turns the face of the bat too early and ends up getting a leading edge  .Vikramjit Singh c Shakib Al Hasan b Taskin Ahmed 3 (9b 0x4 0x6 7m) SR: 33.33",Taskin,Vikramjit Singh,0.0,0,0,1,1,0.0,1,c Shakib Al Hasan b Taskin Ahmed,0
