raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Shafiul to Eric, no run 
133.6 kph, decent pace from Shafiul right away, he comes forward and leaves it alone 
outside off",0.1,0,0.0,"Shafiul to Eric, no run  .133.6 kph, decent pace from Shafiul right away, he comes forward and leaves it alone  .outside off",Shafiul,Eric,0.0,0,0,1,1,0.0,0,,0
"0.2 
1lb 
Shafiul to Eric, 1 leg bye 
strays on to the pads with the angle, rolls away off the pads behind square",0.2,1lb,1.0,"Shafiul to Eric, 1 leg bye  .strays on to the pads with the angle, rolls away off the pads behind square",Shafiul,Eric,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Shafiul to Barresi, no run 
132.6 kph and much better line from Shafiul, comes in with the angle outside off stump, 
and he defends",0.3,0,0.0,"Shafiul to Barresi, no run  .132.6 kph and much better line from Shafiul, comes in with the angle outside off stump,  .and he defends",Shafiul,Barresi,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shafiul to Barresi, no run 
134.5 kph, this one now straightens from outside off stump on a length, and he had no 
clue about it as he pushed at it from the back foot",0.4,0,0.0,"Shafiul to Barresi, no run  .134.5 kph, this one now straightens from outside off stump on a length, and he had no  .clue about it as he pushed at it from the back foot",Shafiul,Barresi,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Shafiul to Barresi, no run 
lovely delivery, straightens again, this time from a fuller length, drew him forward, and 
zipped away past the outside edge",0.5,0,0.0,"Shafiul to Barresi, no run  .lovely delivery, straightens again, this time from a fuller length, drew him forward, and  .zipped away past the outside edge",Shafiul,Barresi,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Shafiul to Barresi, no run 
already has him in some trouble, he comes charging blindly down the track, but is 
nowhere near the line of one that moves away after coming in with the angle, super 
start from Shafiul 
end of over 1Maiden 
NED: 1/0CRR: 1.00  
Wesley Barresi0 (4b) 
Eric Szwarczynski0 (2b) 
Shafiul Islam 1-1-0-0 
Hmm, Razzak comes on from the other end right away, to a slip and short extra cover",0.6,0,0.0,"Shafiul to Barresi, no run  .already has him in some trouble, he comes charging blindly down the track, but is  .nowhere near the line of one that moves away after coming in with the angle, super  .start from Shafiul",Shafiul,Barresi,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Razzak to Eric, no run 
floated up and goes straight on, but was outside off stump, he had left it on length, 
fortunate it was not on off stump",1.1,0,0.0,"Razzak to Eric, no run  .floated up and goes straight on, but was outside off stump, he had left it on length,  .fortunate it was not on off stump",Razzak,Eric,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Razzak to Eric, no run 
goes forward to push away in the off side",1.2,0,0.0,"Razzak to Eric, no run  .goes forward to push away in the off side",Razzak,Eric,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Razzak to Eric, no run 
uncertainly leaves another straight one outside off stump, not comfortable at all",1.3,0,0.0,"Razzak to Eric, no run  .uncertainly leaves another straight one outside off stump, not comfortable at all",Razzak,Eric,0.0,0,0,1,1,0.0,0,,0
"1.4 
3 
Razzak to Eric, 3 runs 
tries to break free by haring blindly down the track, is beaten in flight, and gets an inside 
edge that beats stumps and keeper, Tamim gives chase and pulls it back",1.4,3,3.0,"Razzak to Eric, 3 runs  .tries to break free by haring blindly down the track, is beaten in flight, and gets an inside  .edge that beats stumps and keeper, Tamim gives chase and pulls it back",Razzak,Eric,3.0,0,0,1,1,3.0,0,,1
