raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Khan to Eric, no run 
full pitched ball at 136 kph, angling across and ending on off stump, defended off the 
front foot. Zak is already seeking movement.",0.1,0,0.0,"Khan to Eric, no run  .full pitched ball at 136 kph, angling across and ending on off stump, defended off the  .front foot. Zak is already seeking movement.",Khan,Eric,0.0,0,0,1,1,0.0,0,,0
"0.2 
4b 
Khan to Eric, 4 byes 
hmm, poor start from Dhoni, Zaheer bowls a full length ball that swings late and slips 
down the leg side as Eric skips inside the line. Dhoni fluffs the collection",0.2,4b,4.0,"Khan to Eric, 4 byes  .hmm, poor start from Dhoni, Zaheer bowls a full length ball that swings late and slips  .down the leg side as Eric skips inside the line. Dhoni fluffs the collection",Khan,Eric,0.0,1,0,1,1,0.0,0,,1
"0.3 
2 
Khan to Eric, 2 runs 
again on the pads, this time Eric is away with a neat clip through square leg for a 
couple. Nehra fields - his first World Cup game since the final of 2003.",0.3,2,2.0,"Khan to Eric, 2 runs  .again on the pads, this time Eric is away with a neat clip through square leg for a  .couple. Nehra fields - his first World Cup game since the final of 2003.",Khan,Eric,2.0,0,0,1,1,2.0,0,,1
"0.4 
• 
Khan to Eric, no run 
back of a length from Zaheer, he moves over to the off stump line and Eric defends 
solidly as he pushes down the track",0.4,0,0.0,"Khan to Eric, no run  .back of a length from Zaheer, he moves over to the off stump line and Eric defends  .solidly as he pushes down the track",Khan,Eric,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Khan to Eric, no run 
prodigious swing this time, at 127 kph and straightening through the air as Eric went for 
an expansive stroke. He curtailed his instinct and defended to the leg side",0.5,0,0.0,"Khan to Eric, no run  .prodigious swing this time, at 127 kph and straightening through the air as Eric went for  .an expansive stroke. He curtailed his instinct and defended to the leg side",Khan,Eric,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Khan to Eric, no run 
ends with one that holds its line, Eric sees it closely as lets it go outside off 
Ramapriya: ""Szwarczynski at least has two vowels; the Eagles producer Szymczyk had 
none"" Lovely. 
end of over 16 runs  
NED: 6/0CRR: 6.00  
Eric Szwarczynski2 (6b) 
Wesley Barresi0 (0b) 
Zaheer Khan 1-0-2-0 
Nehra shares the new ball. India aren't opening with spin, which seems to be the flavour 
of the World Cup. Slip and short cover in place.",0.6,0,0.0,"Khan to Eric, no run  .ends with one that holds its line, Eric sees it closely as lets it go outside off",Khan,Eric,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Nehra to Barresi, no run 
full length ball on off stump, Barresi reaches out and defends to the mad at short cover",1.1,0,0.0,"Nehra to Barresi, no run  .full length ball on off stump, Barresi reaches out and defends to the mad at short cover",Nehra,Barresi,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Nehra to Barresi, no run 
over-pitched on off stump at 131 kph, Nehra is offering them for the drive, but again 
Barresi finds short cover",1.2,0,0.0,"Nehra to Barresi, no run  .over-pitched on off stump at 131 kph, Nehra is offering them for the drive, but again  .Barresi finds short cover",Nehra,Barresi,0.0,0,0,1,1,0.0,0,,0
"1.3 
2 
Nehra to Barresi, 2 runs 
this time Barresi finds the gap, he drives with opened wrists to elude the man at short 
cover, and backward cover point dives away to deflect it and keep it to two. No 
movement for Nehra yet, and he is bowling a foot further than he normall does.",1.3,2,2.0,"Nehra to Barresi, 2 runs  .this time Barresi finds the gap, he drives with opened wrists to elude the man at short  .cover, and backward cover point dives away to deflect it and keep it to two. No  .movement for Nehra yet, and he is bowling a foot further than he normall does.",Nehra,Barresi,2.0,0,0,1,1,2.0,0,,1
"1.4 
• 
Nehra to Barresi, no run 
full again, Barresi presses forward to defend into the off side 
Guruprasad: ""@Ramapriya: That is why there was a revolutionary movement to include 
Y as a vowel in English. The revolution was crushed, but 'Y' got the status of 'semi-
vowel'. Not sure if 'Y' is happy.""",1.4,0,0.0,"Nehra to Barresi, no run  .full again, Barresi presses forward to defend into the off side",Nehra,Barresi,0.0,0,0,1,1,0.0,0,,0
