raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Dutt to Rohit Sharma, 1 wide 
pushed through, 87kph/54mph and spinning down the leg side",0.1,1w,1.0,"Dutt to Rohit Sharma, 1 wide  .pushed through, 87kph/54mph and spinning down the leg side",Dutt,Rohit Sharma,0.0,0,0,0,0,1.0,0,,1
"0.1 
4 
Dutt to Rohit Sharma, FOUR runs 
fuller, quicker and hauled behind square! Too straighter from Dutt and Rohit sweeps up 
and over the man inside the ring",0.1,4,4.0,"Dutt to Rohit Sharma, FOUR runs  .fuller, quicker and hauled behind square! Too straighter from Dutt and Rohit sweeps up  .and over the man inside the ring",Dutt,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"0.2 
• 
Dutt to Rohit Sharma, no run 
darted on middle and leg, 92kph and tucked square",0.2,0,0.0,"Dutt to Rohit Sharma, no run  .darted on middle and leg, 92kph and tucked square",Dutt,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.3 
4 
Dutt to Rohit Sharma, FOUR runs 
slightly short and hoicked up and over again, Rohit plants the front foot and swipe-
sweeps it over short fine leg for another boundary",0.3,4,4.0,"Dutt to Rohit Sharma, FOUR runs  .slightly short and hoicked up and over again, Rohit plants the front foot and swipe- .sweeps it over short fine leg for another boundary",Dutt,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"0.4 
• 
Dutt to Rohit Sharma, no run 
better length, 94kph/58mph and spinning a touch on to off. Rohit defends watchfully",0.4,0,0.0,"Dutt to Rohit Sharma, no run  .better length, 94kph/58mph and spinning a touch on to off. Rohit defends watchfully",Dutt,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.5 
2 
Dutt to Rohit Sharma, 2 runs 
uses the feet this time, dinked into the gap between deep square leg and wide long-on 
for two 
""Why Indian national anthem was complete with singing, where as Netherlands' one was 
just instrumental?"" I'm not sure the ICC have the Netherlands one complete with lyrics, 
Prashant",0.5,2,2.0,"Dutt to Rohit Sharma, 2 runs  .uses the feet this time, dinked into the gap between deep square leg and wide long-on  .for two",Dutt,Rohit Sharma,2.0,0,0,1,1,2.0,0,,1
"0.6 
• 
Dutt to Rohit Sharma, no run 
lands this on a good length, defended pressing forwards 
end of over 111 runs  
IND: 11/0CRR: 11.00  
Rohit Sharma10 (6b 2x4) 
Shubman Gill0 (0b) 
Aryan Dutt 1-0-11-0 
It'll be Logan van Beek from the other end",0.6,0,0.0,"Dutt to Rohit Sharma, no run  .lands this on a good length, defended pressing forwards",Dutt,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
van Beek to Gill, no run 
full length a foot or so outside off, Gill taps it carefully into the covers",1.1,0,0.0,"van Beek to Gill, no run  .full length a foot or so outside off, Gill taps it carefully into the covers",van Beek,Gill,0.0,0,0,1,1,0.0,0,,0
"1.2 
2 
van Beek to Gill, 2 runs 
134kph, back of a length and guided away, just a chop behind point for Gill's first runs 
""Why not chase? That's what let them down in semis in the last two world cups. They 
crumbled under scoreboard pressure would be a ideal dress rehearsal before the big 
match against NZ."" It's Diwali, Prasanna S, let the batters celebrate. Not sure Neth are 
the team to test their chasing skills 
 
IND in Powerplay overs (in World Cup 2023) 
INNS 
9 
WKTS 
9 
RR 
6.45 
AVE 
58.33",1.2,2,2.0,"van Beek to Gill, 2 runs  .134kph, back of a length and guided away, just a chop behind point for Gill's first runs",van Beek,Gill,2.0,0,0,1,1,2.0,0,,1
"1.3 
• 
van Beek to Gill, no run 
touch short on fifth stump, this is jabbed down to point",1.3,0,0.0,"van Beek to Gill, no run  .touch short on fifth stump, this is jabbed down to point",van Beek,Gill,0.0,0,0,1,1,0.0,0,,0
