raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Klaassen to Porterfield, no run 
full and wide, left alone",0.1,0,0.0,"Klaassen to Porterfield, no run  .full and wide, left alone",Klaassen,Porterfield,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Klaassen to Porterfield, no run 
dropped..back of a length outside off, moving away as it takes the outside edge. Keeper 
fails to collect it",0.2,0,0.0,"Klaassen to Porterfield, no run  .dropped..back of a length outside off, moving away as it takes the outside edge. Keeper  .fails to collect it",Klaassen,Porterfield,0.0,0,0,1,1,0.0,0,,0
"0.3 
4 
Klaassen to Porterfield, FOUR runs 
another outside edge and this time gets a boundary, length ball outside off and kept 
low. It went past through the gap between the slip and the keeper",0.3,4,4.0,"Klaassen to Porterfield, FOUR runs  .another outside edge and this time gets a boundary, length ball outside off and kept  .low. It went past through the gap between the slip and the keeper",Klaassen,Porterfield,4.0,1,0,1,1,4.0,0,,1
"0.4 
1 
Klaassen to Porterfield, 1 run 
short ball, pulls it behind square leg",0.4,1,1.0,"Klaassen to Porterfield, 1 run  .short ball, pulls it behind square leg",Klaassen,Porterfield,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Klaassen to Stirling, no run 
length ball down leg side, clips to on side",0.5,0,0.0,"Klaassen to Stirling, no run  .length ball down leg side, clips to on side",Klaassen,Stirling,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Klaassen to Stirling, no run 
back of a length on middle and off, gets behind the line as he defends it 
end of over 15 runs  
IRE: 5/0CRR: 5.00 • RRR: 3.89 
Paul Stirling0 (2b) 
William Porterfield5 (4b 1x4) 
Fred Klaassen 1-0-5-0",0.6,0,0.0,"Klaassen to Stirling, no run  .back of a length on middle and off, gets behind the line as he defends it",Klaassen,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.1 
W 
van Beek to Porterfield, OUT 
first ball wicket..fuller length delivery which swings back in from middle stump. 
Porterfield tries to play across the line but is beaten. 
William Porterfield lbw b van Beek 5 (5b 1x4 0x6 5m) SR: 100",1.1,W,0.0,"van Beek to Porterfield, OUT  .first ball wicket..fuller length delivery which swings back in from middle stump.  .Porterfield tries to play across the line but is beaten.  .William Porterfield lbw b van Beek 5 (5b 1x4 0x6 5m) SR: 100",van Beek,Porterfield,0.0,0,0,1,1,0.0,1,lbw b van Beek,0
"1.2 
4 
van Beek to Balbirnie, FOUR runs 
Oh..this one nips back in from a length. It catches the outside edge and ran through to 
the right of the keeper",1.2,4,4.0,"van Beek to Balbirnie, FOUR runs  .Oh..this one nips back in from a length. It catches the outside edge and ran through to  .the right of the keeper",van Beek,Balbirnie,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
van Beek to Balbirnie, no run 
back of a length, middle and off, defends to cover",1.3,0,0.0,"van Beek to Balbirnie, no run  .back of a length, middle and off, defends to cover",van Beek,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"1.4 
W 
van Beek to Balbirnie, OUT 
another wicket...short and wide, cuts it straight to the fielder at backward of point 
Andy Balbirnie c O'Dowd b van Beek 4 (3b 1x4 0x6 2m) SR: 133.33 
Three slips now..",1.4,W,0.0,"van Beek to Balbirnie, OUT  .another wicket...short and wide, cuts it straight to the fielder at backward of point  .Andy Balbirnie c O'Dowd b van Beek 4 (3b 1x4 0x6 2m) SR: 133.33",van Beek,Balbirnie,0.0,0,0,1,1,0.0,1,c O'Dowd b van Beek,0
"1.5 
• 
van Beek to Tector, no run 
length ball outside off, prods forward and pushed to point",1.5,0,0.0,"van Beek to Tector, no run  .length ball outside off, prods forward and pushed to point",van Beek,Tector,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
van Beek to Tector, no run 
length ball, clips the pad down leg side on its way to the keeper 
end of over 24 runs • 2 wickets 
IRE: 9/2CRR: 4.50 • RRR: 3.89 
Harry Tector0 (2b) 
Paul Stirling0 (2b) 
Logan van Beek 1-0-4-2 
Fred Klaassen 1-0-5-0",1.6,0,0.0,"van Beek to Tector, no run  .length ball, clips the pad down leg side on its way to the keeper",van Beek,Tector,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Klaassen to Stirling, no run 
fuller in length, shaping across from off stump, left alone",2.1,0,0.0,"Klaassen to Stirling, no run  .fuller in length, shaping across from off stump, left alone",Klaassen,Stirling,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Klaassen to Stirling, no run 
once again keeps it full and moving across with the angle, Stirling shoulders arms",2.2,0,0.0,"Klaassen to Stirling, no run  .once again keeps it full and moving across with the angle, Stirling shoulders arms",Klaassen,Stirling,0.0,0,0,1,1,0.0,0,,0
"2.3 
1nb 
Klaassen to Stirling, (no ball) 
on a length around middle, beats the outside edge as Stirling pokes at it..and he 
oversteps it. Free hit coming up",2.3,1nb,1.0,"Klaassen to Stirling, (no ball)  .on a length around middle, beats the outside edge as Stirling pokes at it..and he  .oversteps it. Free hit coming up",Klaassen,Stirling,0.0,0,0,1,0,1.0,0,,1
"2.3 
1 
Klaassen to Stirling, 1 run 
length ball on middle stump, slogs it across the line, off the top edge to third man",2.3,1,1.0,"Klaassen to Stirling, 1 run  .length ball on middle stump, slogs it across the line, off the top edge to third man",Klaassen,Stirling,1.0,0,0,1,1,1.0,0,,1
"2.4 
W 
Klaassen to Tector, OUT 
given lbw, Tector reviews it..good length delivery pitched around middle stump and 
straightens. Tector tries to block it but was playing inside the line, hits the front pad. It's 
umpire's call on hitting the stumps and he has to walk back.. 
Harry Tector lbw b Klaassen 0 (3b 0x4 0x6 5m) SR: 0",2.4,W,0.0,"Klaassen to Tector, OUT  .given lbw, Tector reviews it..good length delivery pitched around middle stump and  .straightens. Tector tries to block it but was playing inside the line, hits the front pad. It's  .umpire's call on hitting the stumps and he has to walk back..  .Harry Tector lbw b Klaassen 0 (3b 0x4 0x6 5m) SR: 0",Klaassen,Tector,0.0,0,0,1,1,0.0,1,lbw b Klaassen,0
"2.5 
• 
Klaassen to Dockrell, no run 
fraction short and outside off, left alone by Dockrell",2.5,0,0.0,"Klaassen to Dockrell, no run  .fraction short and outside off, left alone by Dockrell",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Klaassen to Dockrell, no run 
good length ball on middle stump, defends it back down the ground 
end of over 32 runs • 1 wicket 
IRE: 11/3CRR: 3.66 • RRR: 3.93 
George Dockrell0 (2b) 
Paul Stirling1 (6b) 
Fred Klaassen 2-0-7-1 
Logan van Beek 1-0-4-2",2.6,0,0.0,"Klaassen to Dockrell, no run  .good length ball on middle stump, defends it back down the ground",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
van Beek to Stirling, no run 
good length ball, this one kicked off from nowhere, it hits Stirling on the right glove, the 
physio is out",3.1,0,0.0,"van Beek to Stirling, no run  .good length ball, this one kicked off from nowhere, it hits Stirling on the right glove, the  .physio is out",van Beek,Stirling,0.0,0,0,1,1,0.0,0,,0
"3.2 
1w 
van Beek to Stirling, 1 wide 
length ball, angling in, wide down leg side",3.2,1w,1.0,"van Beek to Stirling, 1 wide  .length ball, angling in, wide down leg side",van Beek,Stirling,0.0,0,0,0,0,1.0,0,,1
"3.2 
• 
van Beek to Stirling, no run 
good length ball on middle stump, defends it off the front foot",3.2,0,0.0,"van Beek to Stirling, no run  .good length ball on middle stump, defends it off the front foot",van Beek,Stirling,0.0,0,0,1,1,0.0,0,,0
"3.3 
4 
van Beek to Stirling, FOUR runs 
full and outside off, driven firmly off the front foot through the gap at covers for a 
boundary",3.3,4,4.0,"van Beek to Stirling, FOUR runs  .full and outside off, driven firmly off the front foot through the gap at covers for a  .boundary",van Beek,Stirling,4.0,1,0,1,1,4.0,0,,1
"3.4 
• 
van Beek to Stirling, no run 
full on middle, this time drives it straight to the fielder at cover",3.4,0,0.0,"van Beek to Stirling, no run  .full on middle, this time drives it straight to the fielder at cover",van Beek,Stirling,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
van Beek to Stirling, no run 
back of a length on off, goes back and defends it back towards the bowler",3.5,0,0.0,"van Beek to Stirling, no run  .back of a length on off, goes back and defends it back towards the bowler",van Beek,Stirling,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
van Beek to Stirling, no run 
length ball at off stump, kept away safely off the front foot 
end of over 45 runs  
IRE: 16/3CRR: 4.00 • RRR: 3.91 
Paul Stirling5 (12b 1x4) 
George Dockrell0 (2b) 
Logan van Beek 2-0-9-2 
Fred Klaassen 2-0-7-1",3.6,0,0.0,"van Beek to Stirling, no run  .length ball at off stump, kept away safely off the front foot",van Beek,Stirling,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Klaassen to Dockrell, no run 
short of a length, on off, defends it off the back foot",4.1,0,0.0,"Klaassen to Dockrell, no run  .short of a length, on off, defends it off the back foot",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Klaassen to Dockrell, no run 
fullish and angling across from off, left alone by Dockrell",4.2,0,0.0,"Klaassen to Dockrell, no run  .fullish and angling across from off, left alone by Dockrell",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
Klaassen to Dockrell, no run 
back of a length, off the inside edge just past the stumps, lucky escape",4.3,0,0.0,"Klaassen to Dockrell, no run  .back of a length, off the inside edge just past the stumps, lucky escape",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"4.4 
• 
Klaassen to Dockrell, no run 
short of a length, kept low, beaten",4.4,0,0.0,"Klaassen to Dockrell, no run  .short of a length, kept low, beaten",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"4.5 
• 
Klaassen to Dockrell, no run 
shortish once again, dabs it towards the gully region",4.5,0,0.0,"Klaassen to Dockrell, no run  .shortish once again, dabs it towards the gully region",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"4.6 
1 
Klaassen to Dockrell, 1 run 
shortish, gets an outside edge as he was looking to defend. Ran away to third man 
region 
end of over 51 run  
IRE: 17/3CRR: 3.40 • RRR: 3.97 
George Dockrell1 (8b) 
Paul Stirling5 (12b 1x4) 
Fred Klaassen 3-0-8-1 
Logan van Beek 2-0-9-2",4.6,1,1.0,"Klaassen to Dockrell, 1 run  .shortish, gets an outside edge as he was looking to defend. Ran away to third man  .region",Klaassen,Dockrell,1.0,0,0,1,1,1.0,0,,1
"5.1 
• 
van Beek to Dockrell, no run 
yorker length, just outside off, pushed to mid-on",5.1,0,0.0,"van Beek to Dockrell, no run  .yorker length, just outside off, pushed to mid-on",van Beek,Dockrell,0.0,0,0,1,1,0.0,0,,0
"5.2 
• 
van Beek to Dockrell, no run 
back of a length, defends it off the back foot",5.2,0,0.0,"van Beek to Dockrell, no run  .back of a length, defends it off the back foot",van Beek,Dockrell,0.0,0,0,1,1,0.0,0,,0
"5.3 
• 
van Beek to Dockrell, no run 
fuller in length, gets an outside edge but went on the bounce towards the slip region",5.3,0,0.0,"van Beek to Dockrell, no run  .fuller in length, gets an outside edge but went on the bounce towards the slip region",van Beek,Dockrell,0.0,0,0,1,1,0.0,0,,0
"5.4 
• 
van Beek to Dockrell, no run 
back of a length, on leg stump, pushed to leg side off the back foot",5.4,0,0.0,"van Beek to Dockrell, no run  .back of a length, on leg stump, pushed to leg side off the back foot",van Beek,Dockrell,0.0,0,0,1,1,0.0,0,,0
"5.5 
4 
van Beek to Dockrell, FOUR runs 
full and outside off, gets onto the front foot and drives it along the ground to the cover 
fence",5.5,4,4.0,"van Beek to Dockrell, FOUR runs  .full and outside off, gets onto the front foot and drives it along the ground to the cover  .fence",van Beek,Dockrell,4.0,1,0,1,1,4.0,0,,1
"5.6 
• 
van Beek to Dockrell, no run 
back of a length, outside off, left alone 
end of over 64 runs  
IRE: 21/3CRR: 3.50 • RRR: 3.97 
George Dockrell5 (14b 1x4) 
Paul Stirling5 (12b 1x4) 
Logan van Beek 3-0-13-2 
Fred Klaassen 3-0-8-1",5.6,0,0.0,"van Beek to Dockrell, no run  .back of a length, outside off, left alone",van Beek,Dockrell,0.0,0,0,1,1,0.0,0,,0
"6.1 
• 
Klaassen to Stirling, no run 
on a length around off, defended off the front foot",6.1,0,0.0,"Klaassen to Stirling, no run  .on a length around off, defended off the front foot",Klaassen,Stirling,0.0,0,0,1,1,0.0,0,,0
"6.2 
• 
Klaassen to Stirling, no run 
back of a length, outside off, punched off the back foot, straight to point",6.2,0,0.0,"Klaassen to Stirling, no run  .back of a length, outside off, punched off the back foot, straight to point",Klaassen,Stirling,0.0,0,0,1,1,0.0,0,,0
"6.3 
1 
Klaassen to Stirling, 1 run 
fuller on the pads, clipped away through midwicket for a run",6.3,1,1.0,"Klaassen to Stirling, 1 run  .fuller on the pads, clipped away through midwicket for a run",Klaassen,Stirling,1.0,0,0,1,1,1.0,0,,1
"6.4 
1w 
Klaassen to Dockrell, 1 wide 
short and down leg side, called wide",6.4,1w,1.0,"Klaassen to Dockrell, 1 wide  .short and down leg side, called wide",Klaassen,Dockrell,0.0,0,0,0,0,1.0,0,,1
"6.4 
• 
Klaassen to Dockrell, no run 
full and wide, goes for a big drive, can't connect",6.4,0,0.0,"Klaassen to Dockrell, no run  .full and wide, goes for a big drive, can't connect",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"6.5 
• 
Klaassen to Dockrell, no run 
back of a length and shaping across, left alone by covering the stumps",6.5,0,0.0,"Klaassen to Dockrell, no run  .back of a length and shaping across, left alone by covering the stumps",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"6.6 
• 
Klaassen to Dockrell, no run 
short and angling across, once again gets across and covers the stumps, left alone 
end of over 72 runs  
IRE: 23/3CRR: 3.28 • RRR: 4.02 
George Dockrell5 (17b 1x4) 
Paul Stirling6 (15b 1x4) 
Fred Klaassen 4-0-10-1 
Logan van Beek 3-0-13-2",6.6,0,0.0,"Klaassen to Dockrell, no run  .short and angling across, once again gets across and covers the stumps, left alone",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"7.1 
• 
van Beek to Stirling, no run 
fuller on the stumps, shows the full face of the bat as he drives down the ground",7.1,0,0.0,"van Beek to Stirling, no run  .fuller on the stumps, shows the full face of the bat as he drives down the ground",van Beek,Stirling,0.0,0,0,1,1,0.0,0,,0
"7.2 
• 
van Beek to Stirling, no run 
full and outside off, driven straight to the cover fielder",7.2,0,0.0,"van Beek to Stirling, no run  .full and outside off, driven straight to the cover fielder",van Beek,Stirling,0.0,0,0,1,1,0.0,0,,0
"7.3 
• 
van Beek to Stirling, no run 
short of a length, and outside off, defends it off the back foot",7.3,0,0.0,"van Beek to Stirling, no run  .short of a length, and outside off, defends it off the back foot",van Beek,Stirling,0.0,0,0,1,1,0.0,0,,0
"7.4 
• 
van Beek to Stirling, no run 
back of a length, on middle, pushed to leg side off the back foot",7.4,0,0.0,"van Beek to Stirling, no run  .back of a length, on middle, pushed to leg side off the back foot",van Beek,Stirling,0.0,0,0,1,1,0.0,0,,0
"7.5 
• 
van Beek to Stirling, no run 
length ball on middle and off, defends it down the pitch",7.5,0,0.0,"van Beek to Stirling, no run  .length ball on middle and off, defends it down the pitch",van Beek,Stirling,0.0,0,0,1,1,0.0,0,,0
"7.6 
• 
van Beek to Stirling, no run 
fuller in length, middle and off, defends it back to the bowler 
end of over 8Maiden 
IRE: 23/3CRR: 2.87 • RRR: 4.11 
Paul Stirling6 (21b 1x4) 
George Dockrell5 (17b 1x4) 
Logan van Beek 4-1-13-2 
Fred Klaassen 4-0-10-1",7.6,0,0.0,"van Beek to Stirling, no run  .fuller in length, middle and off, defends it back to the bowler",van Beek,Stirling,0.0,0,0,1,1,0.0,0,,0
"8.1 
2 
Klaassen to Dockrell, 2 runs 
back of a length, goes back and clips it behind square leg for couple of runs",8.1,2,2.0,"Klaassen to Dockrell, 2 runs  .back of a length, goes back and clips it behind square leg for couple of runs",Klaassen,Dockrell,2.0,0,0,1,1,2.0,0,,1
"8.2 
• 
Klaassen to Dockrell, no run 
once again on a shortish length, kept low, left alone",8.2,0,0.0,"Klaassen to Dockrell, no run  .once again on a shortish length, kept low, left alone",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"8.3 
1w 
Klaassen to Dockrell, 1 wide 
bouncer, too short, called wide",8.3,1w,1.0,"Klaassen to Dockrell, 1 wide  .bouncer, too short, called wide",Klaassen,Dockrell,0.0,0,0,0,0,1.0,0,,1
"8.3 
1w 
Klaassen to Dockrell, 1 wide 
another wide, this time he comes round the wicket. Back of a length and angling down 
leg side",8.3,1w,1.0,"Klaassen to Dockrell, 1 wide  .another wide, this time he comes round the wicket. Back of a length and angling down  .leg side",Klaassen,Dockrell,0.0,0,0,0,0,1.0,0,,1
"8.3 
1 
Klaassen to Dockrell, 1 run 
back of a length around off, dabs it towards backward of point",8.3,1,1.0,"Klaassen to Dockrell, 1 run  .back of a length around off, dabs it towards backward of point",Klaassen,Dockrell,1.0,0,0,1,1,1.0,0,,1
"8.4 
• 
Klaassen to Stirling, no run 
length ball outside off, played with soft hands to leg side",8.4,0,0.0,"Klaassen to Stirling, no run  .length ball outside off, played with soft hands to leg side",Klaassen,Stirling,0.0,0,0,1,1,0.0,0,,0
"8.5 
• 
Klaassen to Stirling, no run 
on a widish line, driven this length ball to backward of point",8.5,0,0.0,"Klaassen to Stirling, no run  .on a widish line, driven this length ball to backward of point",Klaassen,Stirling,0.0,0,0,1,1,0.0,0,,0
"8.6 
1w 
Klaassen to Stirling, 1 wide 
full and way down leg side, called wide",8.6,1w,1.0,"Klaassen to Stirling, 1 wide  .full and way down leg side, called wide",Klaassen,Stirling,0.0,0,0,0,0,1.0,0,,1
"8.6 
• 
Klaassen to Stirling, no run 
length ball outside off, defends it off the front foot 
end of over 96 runs  
IRE: 29/3CRR: 3.22 • RRR: 4.07 
Paul Stirling6 (24b 1x4) 
George Dockrell8 (20b 1x4) 
Fred Klaassen 5-0-16-1 
Logan van Beek 4-1-13-2 
Glover to bowl now..",8.6,0,0.0,"Klaassen to Stirling, no run  .length ball outside off, defends it off the front foot",Klaassen,Stirling,0.0,0,0,1,1,0.0,0,,0
"9.1 
1w 
Glover to Dockrell, 1 wide 
short and way outside off, wide called",9.1,1w,1.0,"Glover to Dockrell, 1 wide  .short and way outside off, wide called",Glover,Dockrell,0.0,0,0,0,0,1.0,0,,1
"9.1 
• 
Glover to Dockrell, no run 
back of a length outside off, inside edge to the attempted drive, and onto the pad",9.1,0,0.0,"Glover to Dockrell, no run  .back of a length outside off, inside edge to the attempted drive, and onto the pad",Glover,Dockrell,0.0,0,0,1,1,0.0,0,,0
"9.2 
1 
Glover to Dockrell, 1 run 
back of a length, outside off, punched to third man",9.2,1,1.0,"Glover to Dockrell, 1 run  .back of a length, outside off, punched to third man",Glover,Dockrell,1.0,0,0,1,1,1.0,0,,1
"9.3 
• 
Glover to Stirling, no run 
short of a length around off, gets behind the line to block",9.3,0,0.0,"Glover to Stirling, no run  .short of a length around off, gets behind the line to block",Glover,Stirling,0.0,0,0,1,1,0.0,0,,0
"9.4 
• 
Glover to Stirling, no run 
back of a length, clips to leg side off the back foot",9.4,0,0.0,"Glover to Stirling, no run  .back of a length, clips to leg side off the back foot",Glover,Stirling,0.0,0,0,1,1,0.0,0,,0
"9.5 
• 
Glover to Stirling, no run 
short and outside off, cuts it nicely off the back foot, but can't beat the fielder at point",9.5,0,0.0,"Glover to Stirling, no run  .short and outside off, cuts it nicely off the back foot, but can't beat the fielder at point",Glover,Stirling,0.0,0,0,1,1,0.0,0,,0
"9.6 
4 
Glover to Stirling, FOUR runs 
short ball outside off, pulls it off the back foot and over the midwicket region 
end of over 106 runs  
IRE: 35/3CRR: 3.50 • RRR: 4.02 
Paul Stirling10 (28b 2x4) 
George Dockrell9 (22b 1x4) 
Brandon Glover 1-0-6-0 
Fred Klaassen 5-0-16-1",9.6,4,4.0,"Glover to Stirling, FOUR runs  .short ball outside off, pulls it off the back foot and over the midwicket region",Glover,Stirling,4.0,1,0,1,1,4.0,0,,1
"10.1 
• 
Klaassen to Dockrell, no run 
round the wicket, back of a length around off, blocks it",10.1,0,0.0,"Klaassen to Dockrell, no run  .round the wicket, back of a length around off, blocks it",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"10.2 
• 
Klaassen to Dockrell, no run 
once again on the shortish side, outside off, mistimes the drive back towards the bowler",10.2,0,0.0,"Klaassen to Dockrell, no run  .once again on the shortish side, outside off, mistimes the drive back towards the bowler",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"10.3 
1 
Klaassen to Dockrell, 1 run 
full and wide, drives it away from the body, it catches the outside edge and ran away to 
third man region",10.3,1,1.0,"Klaassen to Dockrell, 1 run  .full and wide, drives it away from the body, it catches the outside edge and ran away to  .third man region",Klaassen,Dockrell,1.0,0,0,1,1,1.0,0,,1
"10.4 
1 
Klaassen to Stirling, 1 run 
back over the wicket now..length ball on the pads, clips it infront of square leg. 
Dockrell is getting some medical attention, as the bat stuck on the ground while he was 
completing the run as he has hurt his left hand in the process",10.4,1,1.0,"Klaassen to Stirling, 1 run  .back over the wicket now..length ball on the pads, clips it infront of square leg.  .Dockrell is getting some medical attention, as the bat stuck on the ground while he was  .completing the run as he has hurt his left hand in the process",Klaassen,Stirling,1.0,0,0,1,1,1.0,0,,1
"10.5 
• 
Klaassen to Dockrell, no run 
short and outside off, drops his wrist and let it go through",10.5,0,0.0,"Klaassen to Dockrell, no run  .short and outside off, drops his wrist and let it go through",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"10.6 
1w 
Klaassen to Dockrell, 1 wide 
wide down leg side, short and kept low",10.6,1w,1.0,"Klaassen to Dockrell, 1 wide  .wide down leg side, short and kept low",Klaassen,Dockrell,0.0,0,0,0,0,1.0,0,,1
"10.6 
• 
Klaassen to Dockrell, no run 
back of a length, slower off cutter, beaten by the lack of pace, also kept low 
end of over 113 runs  
IRE: 38/3CRR: 3.45 • RRR: 4.05 
George Dockrell10 (27b 1x4) 
Paul Stirling11 (29b 2x4) 
Fred Klaassen 6-0-19-1 
Brandon Glover 1-0-6-0",10.6,0,0.0,"Klaassen to Dockrell, no run  .back of a length, slower off cutter, beaten by the lack of pace, also kept low",Klaassen,Dockrell,0.0,0,0,1,1,0.0,0,,0
"11.1 
1 
Glover to Stirling, 1 run 
back of a length, around off, stays in the crease and pushes it to on side for a run",11.1,1,1.0,"Glover to Stirling, 1 run  .back of a length, around off, stays in the crease and pushes it to on side for a run",Glover,Stirling,1.0,0,0,1,1,1.0,0,,1
"11.2 
• 
Glover to Dockrell, no run 
short of a length, on the stumps, blocks it",11.2,0,0.0,"Glover to Dockrell, no run  .short of a length, on the stumps, blocks it",Glover,Dockrell,0.0,0,0,1,1,0.0,0,,0
"11.3 
• 
Glover to Dockrell, no run 
fullish length, outside off, driven to cover point off the front foot",11.3,0,0.0,"Glover to Dockrell, no run  .fullish length, outside off, driven to cover point off the front foot",Glover,Dockrell,0.0,0,0,1,1,0.0,0,,0
"11.4 
• 
Glover to Dockrell, no run 
back of a length, onto the backfoot and punched to the cover region",11.4,0,0.0,"Glover to Dockrell, no run  .back of a length, onto the backfoot and punched to the cover region",Glover,Dockrell,0.0,0,0,1,1,0.0,0,,0
"11.5 
• 
Glover to Dockrell, no run 
short and outside off, beaten as he tries to cut it",11.5,0,0.0,"Glover to Dockrell, no run  .short and outside off, beaten as he tries to cut it",Glover,Dockrell,0.0,0,0,1,1,0.0,0,,0
"11.6 
2lb 
Glover to Dockrell, 2 leg byes 
back of a length, down leg side, ran away to wide of long leg off the pad 
end of over 123 runs  
IRE: 41/3CRR: 3.41 • RRR: 4.07 
George Dockrell10 (32b 1x4) 
Paul Stirling12 (30b 2x4) 
Brandon Glover 2-0-7-0 
Fred Klaassen 6-0-19-1",11.6,2lb,2.0,"Glover to Dockrell, 2 leg byes  .back of a length, down leg side, ran away to wide of long leg off the pad",Glover,Dockrell,0.0,0,0,1,1,0.0,0,,0
"12.1 
• 
van der Gugten to Stirling, no run 
Stirling keeps it away safely",12.1,0,0.0,"van der Gugten to Stirling, no run  .Stirling keeps it away safely",van der Gugten,Stirling,0.0,0,0,1,1,0.0,0,,0
"12.2 
• 
van der Gugten to Stirling, no run 
on a length, outside off, pushed to covers",12.2,0,0.0,"van der Gugten to Stirling, no run  .on a length, outside off, pushed to covers",van der Gugten,Stirling,0.0,0,0,1,1,0.0,0,,0
"12.3 
• 
van der Gugten to Stirling, no run 
good length at off stump, defends it off the front foot",12.3,0,0.0,"van der Gugten to Stirling, no run  .good length at off stump, defends it off the front foot",van der Gugten,Stirling,0.0,0,0,1,1,0.0,0,,0
"12.4 
• 
van der Gugten to Stirling, no run 
length ball, outside off, driven to covers",12.4,0,0.0,"van der Gugten to Stirling, no run  .length ball, outside off, driven to covers",van der Gugten,Stirling,0.0,0,0,1,1,0.0,0,,0
"12.5 
1 
van der Gugten to Stirling, 1 run 
widish length ball, throws his bat at it, gets an inside edge which went to fine leg",12.5,1,1.0,"van der Gugten to Stirling, 1 run  .widish length ball, throws his bat at it, gets an inside edge which went to fine leg",van der Gugten,Stirling,1.0,0,0,1,1,1.0,0,,1
"12.6 
1 
van der Gugten to Dockrell, 1 run 
fuller length, clipped away towards the vacant midwicket 
end of over 132 runs  
IRE: 43/3CRR: 3.30 • RRR: 4.13 
George Dockrell11 (33b 1x4) 
Paul Stirling13 (35b 2x4) 
Timm van der Gugten 1-0-2-0 
Brandon Glover 2-0-7-0",12.6,1,1.0,"van der Gugten to Dockrell, 1 run  .fuller length, clipped away towards the vacant midwicket",van der Gugten,Dockrell,1.0,0,0,1,1,1.0,0,,1
"13.1 
• 
Glover to Dockrell, no run 
yorker length at off, kept out",13.1,0,0.0,"Glover to Dockrell, no run  .yorker length at off, kept out",Glover,Dockrell,0.0,0,0,1,1,0.0,0,,0
"13.2 
• 
Glover to Dockrell, no run 
back of a length, on middle and leg, defends it",13.2,0,0.0,"Glover to Dockrell, no run  .back of a length, on middle and leg, defends it",Glover,Dockrell,0.0,0,0,1,1,0.0,0,,0
"13.3 
• 
Glover to Dockrell, no run 
short of a length, taps it to backward of point",13.3,0,0.0,"Glover to Dockrell, no run  .short of a length, taps it to backward of point",Glover,Dockrell,0.0,0,0,1,1,0.0,0,,0
"13.4 
• 
Glover to Dockrell, no run 
back of a length, around off, beats the outside edge to the keeper",13.4,0,0.0,"Glover to Dockrell, no run  .back of a length, around off, beats the outside edge to the keeper",Glover,Dockrell,0.0,0,0,1,1,0.0,0,,0
"13.5 
W 
Glover to Dockrell, OUT 
Glover breaks the partnership..back of a length, and this one nips back in a touch from 
outside off. Dockrell was playing for a straighter one and was caught at the crease, 
goes past the inside edge and hits the top of middle stump.. 
George Dockrell b Glover 11 (38b 1x4 0x6 53m) SR: 28.94 
Time for drinks..",13.5,W,0.0,"Glover to Dockrell, OUT  .Glover breaks the partnership..back of a length, and this one nips back in a touch from  .outside off. Dockrell was playing for a straighter one and was caught at the crease,  .goes past the inside edge and hits the top of middle stump..  .George Dockrell b Glover 11 (38b 1x4 0x6 53m) SR: 28.94",Glover,Dockrell,0.0,0,0,1,1,0.0,1,b Glover,0
