raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
van Beek to Bhurtel, no run 
Wafty drive outside off, beaten. On a length, wide outside off, Bhurtel slashes, tries to 
go square and misses",0.1,0,0.0,"van Beek to Bhurtel, no run  .Wafty drive outside off, beaten. On a length, wide outside off, Bhurtel slashes, tries to  .go square and misses",van Beek,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.2 
2 
van Beek to Bhurtel, 2 runs 
Back-of-length ball comes in and is tickled fine, goes wide of the keeper. Stopped at 
deep fine",0.2,2,2.0,"van Beek to Bhurtel, 2 runs  .Back-of-length ball comes in and is tickled fine, goes wide of the keeper. Stopped at  .deep fine",van Beek,Bhurtel,2.0,0,0,1,1,2.0,0,,1
"0.3 
• 
van Beek to Bhurtel, no run 
Shortish ball outside off, defended towards point",0.3,0,0.0,"van Beek to Bhurtel, no run  .Shortish ball outside off, defended towards point",van Beek,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
van Beek to Bhurtel, no run 
Wide and full, swings away late and goes with the angle through the seventh-stump 
channel. Let go",0.4,0,0.0,"van Beek to Bhurtel, no run  .Wide and full, swings away late and goes with the angle through the seventh-stump  .channel. Let go",van Beek,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
van Beek to Bhurtel, no run 
And this one jags back in from a back of length. Bhurtel went across and took a couple 
of steps in front to negate the movement. It was too sharp, beats the flick and hits the 
thigh pad",0.5,0,0.0,"van Beek to Bhurtel, no run  .And this one jags back in from a back of length. Bhurtel went across and took a couple  .of steps in front to negate the movement. It was too sharp, beats the flick and hits the  .thigh pad",van Beek,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.6 
1 
van Beek to Bhurtel, 1 run 
Length on off, flicked to midwicket. Comes down the pitch again, connects this time 
end of over 13 runs  
NEP: 3/0CRR: 3.00  
Kushal Bhurtel3 (6b) 
Aasif Sheikh0 (0b) 
Logan van Beek 1-0-3-0 
Klein to share the new ball with two slips",0.6,1,1.0,"van Beek to Bhurtel, 1 run  .Length on off, flicked to midwicket. Comes down the pitch again, connects this time",van Beek,Bhurtel,1.0,0,0,1,1,1.0,0,,1
"1.1 
2 
Klein to Bhurtel, 2 runs 
Slight width offered, Bhurtel hops back and cuts it to the right of the diving backward-
point fielder. Goes to deep third",1.1,2,2.0,"Klein to Bhurtel, 2 runs  .Slight width offered, Bhurtel hops back and cuts it to the right of the diving backward- .point fielder. Goes to deep third",Klein,Bhurtel,2.0,0,0,1,1,2.0,0,,1
"1.2 
• 
Klein to Bhurtel, no run 
Back of length outside off, patted off the back foot to cover",1.2,0,0.0,"Klein to Bhurtel, no run  .Back of length outside off, patted off the back foot to cover",Klein,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Klein to Bhurtel, no run 
Ball seams away to beat the outside edge. Three-quarter length, pitches around off and 
goes away just a bit. Bhurtel tried to block it towards cover. Played the line and missed 
it.",1.3,0,0.0,"Klein to Bhurtel, no run  .Ball seams away to beat the outside edge. Three-quarter length, pitches around off and  .goes away just a bit. Bhurtel tried to block it towards cover. Played the line and missed  .it.",Klein,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Klein to Bhurtel, no run 
Appeal for lbw turned down. Bhurtel was walking down and across the line. He tried to 
block the length ball in front, Bhurtel may have gotten an inside edge and gotten hit 
outside the line. Hence, the appeal was stifled",1.4,0,0.0,"Klein to Bhurtel, no run  .Appeal for lbw turned down. Bhurtel was walking down and across the line. He tried to  .block the length ball in front, Bhurtel may have gotten an inside edge and gotten hit  .outside the line. Hence, the appeal was stifled",Klein,Bhurtel,0.0,0,0,1,1,0.0,0,,0
