raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
van Beek to Prajapati, no run 
back of a length delivery just outside off stump. Prajapati gets up on his toes and meets 
the ball right under his eyes",0.1,0,0.0,"van Beek to Prajapati, no run  .back of a length delivery just outside off stump. Prajapati gets up on his toes and meets  .the ball right under his eyes",van Beek,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
van Beek to Prajapati, 1 run 
back of a length delivery outside off stump. Prajapati rides the bounce and dabs it 
behind square on the off side to get off the mark",0.2,1,1.0,"van Beek to Prajapati, 1 run  .back of a length delivery outside off stump. Prajapati rides the bounce and dabs it  .behind square on the off side to get off the mark",van Beek,Prajapati,1.0,0,0,1,1,1.0,0,,1
"0.3 
5w 
van Beek to Jatinder, 5 wide 
five wides! Banged into the track but this one balloons well over the batter and the 
keeper. Five extra runs added to Oman's total very early!",0.3,5w,5.0,"van Beek to Jatinder, 5 wide  .five wides! Banged into the track but this one balloons well over the batter and the  .keeper. Five extra runs added to Oman's total very early!",van Beek,Jatinder,0.0,0,0,0,0,5.0,0,,1
"0.3 
4 
van Beek to Jatinder, FOUR runs 
edged and four! Full delivery outside off stump that leaves the batter late. Jatinder goes 
following it and gets a thick outside edge that evades second slip and races away to the 
third man fence",0.3,4,4.0,"van Beek to Jatinder, FOUR runs  .edged and four! Full delivery outside off stump that leaves the batter late. Jatinder goes  .following it and gets a thick outside edge that evades second slip and races away to the  .third man fence",van Beek,Jatinder,4.0,1,0,1,1,4.0,0,,1
"0.4 
1 
van Beek to Jatinder, 1 run 
length delivery outside off stump. Jatinder taps it into the off side and hares across to 
the other end 
Ankur Saxena: ""Won't the target be revised considering the rain break "" -- The target has 
been revised but not by much. Oman need to score 364 to win, as opposed to 363",0.4,1,1.0,"van Beek to Jatinder, 1 run  .length delivery outside off stump. Jatinder taps it into the off side and hares across to  .the other end",van Beek,Jatinder,1.0,0,0,1,1,1.0,0,,1
"0.5 
4 
van Beek to Prajapati, FOUR runs 
four more! Gentle half-volley outside off stump. Prajapati gets his hands through the 
ball and threads it past cover point",0.5,4,4.0,"van Beek to Prajapati, FOUR runs  .four more! Gentle half-volley outside off stump. Prajapati gets his hands through the  .ball and threads it past cover point",van Beek,Prajapati,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
van Beek to Prajapati, no run 
full delivery outside off stump that tails back in a shade. Prajapati comes half forward 
and scuffs it into the off side 
end of over 115 runs  
OMA: 15/0CRR: 15.00 • RRR: 7.44 • Need 350 runs from 47 overs 
Kashyap Prajapati5 (4b 1x4) 
Jatinder Singh5 (2b 1x4) 
Logan van Beek 1-0-15-0 
Klein to take the new ball from the other end",0.6,0,0.0,"van Beek to Prajapati, no run  .full delivery outside off stump that tails back in a shade. Prajapati comes half forward  .and scuffs it into the off side",van Beek,Prajapati,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Klein to Jatinder, no run 
back of a length delivery outside off stump that bounces a tad extra. Jatinder gets up on 
his toes and fends it into the off side",1.1,0,0.0,"Klein to Jatinder, no run  .back of a length delivery outside off stump that bounces a tad extra. Jatinder gets up on  .his toes and fends it into the off side",Klein,Jatinder,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Klein to Jatinder, no run 
long half-volley outside off stump. Jatinder laces his cover drive but cannot get it past 
the fielder at cover point",1.2,0,0.0,"Klein to Jatinder, no run  .long half-volley outside off stump. Jatinder laces his cover drive but cannot get it past  .the fielder at cover point",Klein,Jatinder,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Klein to Jatinder, no run 
appeal! Length delivery in the channel that shapes away late. Jatinder is squared up 
completely and is beaten as the ball brushes the pad on its way to the keeper. There 
was interest for an lbw but the impact was well outside the line. And if it did hit the bat, 
the ball anyway fell short of Edwards",1.3,0,0.0,"Klein to Jatinder, no run  .appeal! Length delivery in the channel that shapes away late. Jatinder is squared up  .completely and is beaten as the ball brushes the pad on its way to the keeper. There  .was interest for an lbw but the impact was well outside the line. And if it did hit the bat,  .the ball anyway fell short of Edwards",Klein,Jatinder,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Klein to Jatinder, no run 
length delivery in the fifth stump channel that nips back. Jatinder gets a good stride 
forward and lets it go 
Replays confirm the third ball of the over flicked the back pad",1.4,0,0.0,"Klein to Jatinder, no run  .length delivery in the fifth stump channel that nips back. Jatinder gets a good stride  .forward and lets it go  .Replays confirm the third ball of the over flicked the back pad",Klein,Jatinder,0.0,0,0,1,1,0.0,0,,0
