raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Madushanka to Vikramjit Singh, no run 
back of a length delivery on off stump. Vikramjit gets behind the line of the ball and 
meets it right under his eyes. A hint of shape away from the batter! 
Two slips await a possible outside edge",0.1,0,0.0,"Madushanka to Vikramjit Singh, no run  .back of a length delivery on off stump. Vikramjit gets behind the line of the ball and  .meets it right under his eyes. A hint of shape away from the batter!  .Two slips await a possible outside edge",Madushanka,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Madushanka to Vikramjit Singh, no run 
length delivery just outside off that swings away again. Vikramjit presses half forward 
and pats it into the off side",0.2,0,0.0,"Madushanka to Vikramjit Singh, no run  .length delivery just outside off that swings away again. Vikramjit presses half forward  .and pats it into the off side",Madushanka,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Madushanka to Vikramjit Singh, 1 run 
back of a length delivery on middle and off stump. Vikramjit gets up on his toes and 
tucks it away towards fine leg 
Over the wicket to O'Dowd too. Just one slip in place",0.3,1,1.0,"Madushanka to Vikramjit Singh, 1 run  .back of a length delivery on middle and off stump. Vikramjit gets up on his toes and  .tucks it away towards fine leg  .Over the wicket to O'Dowd too. Just one slip in place",Madushanka,Vikramjit Singh,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Madushanka to O'Dowd, no run 
length delivery in the channel just outside off stump. O'Dowd lets the ball come to him 
before defending into the off side",0.4,0,0.0,"Madushanka to O'Dowd, no run  .length delivery in the channel just outside off stump. O'Dowd lets the ball come to him  .before defending into the off side",Madushanka,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Madushanka to O'Dowd, no run 
appeal! Full delivery that starts on leg stump and shapes in. O'Dowd misses his flick and 
is rapped on the pads but that seemed to be going well down leg",0.5,0,0.0,"Madushanka to O'Dowd, no run  .appeal! Full delivery that starts on leg stump and shapes in. O'Dowd misses his flick and  .is rapped on the pads but that seemed to be going well down leg",Madushanka,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Madushanka to O'Dowd, no run 
another big appeal! Very full delivery on leg stump that shapes in devilishly. O'Dowd 
plays all around it and gets pinned on the pads. Sri Lanka deliberate but opt against the 
review. This was perhaps sliding down leg too! 
end of over 11 run  
NED: 1/0CRR: 1.00 • RRR: 4.75 • Need 233 runs from 49 overs 
Max O'Dowd0 (3b) 
Vikramjit Singh1 (3b) 
Dilshan Madushanka 1-0-1-0 
Replays confirm that the last ball of the previous over pitched just outside leg, meaning 
that SL saved a review by not going upstairs 
Theekshana to take the new ball from the other end",0.6,0,0.0,"Madushanka to O'Dowd, no run  .another big appeal! Very full delivery on leg stump that shapes in devilishly. O'Dowd  .plays all around it and gets pinned on the pads. Sri Lanka deliberate but opt against the  .review. This was perhaps sliding down leg too!",Madushanka,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Theekshana to Vikramjit Singh, no run 
length delivery just outside off. Vikramjit goes searching for it and squirts it off the 
inside edge towards short fine leg",1.1,0,0.0,"Theekshana to Vikramjit Singh, no run  .length delivery just outside off. Vikramjit goes searching for it and squirts it off the  .inside edge towards short fine leg",Theekshana,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Theekshana to Vikramjit Singh, no run 
carrom ball on a length outside off stump. Vikramjit comes half forward and defends 
into the off side",1.2,0,0.0,"Theekshana to Vikramjit Singh, no run  .carrom ball on a length outside off stump. Vikramjit comes half forward and defends  .into the off side",Theekshana,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Theekshana to Vikramjit Singh, no run 
full delivery on off stump. Prodded into the on side 
There is a slip in place for Vikramjit",1.3,0,0.0,"Theekshana to Vikramjit Singh, no run  .full delivery on off stump. Prodded into the on side  .There is a slip in place for Vikramjit",Theekshana,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Theekshana to Vikramjit Singh, FOUR runs 
length delivery angled across just outside off. Vikramjit comes forward, uses the pace, 
opens his bat face and steers it beautifully past point for four!",1.4,4,4.0,"Theekshana to Vikramjit Singh, FOUR runs  .length delivery angled across just outside off. Vikramjit comes forward, uses the pace,  .opens his bat face and steers it beautifully past point for four!",Theekshana,Vikramjit Singh,4.0,1,0,1,1,4.0,0,,1
"1.5 
• 
Theekshana to Vikramjit Singh, no run 
oh! How has that missed off stump?! Length delivery just outside off stump that skids 
through. Vikramjit plays outside the line and sees the ball breeze past the inside edge 
and off stump!",1.5,0,0.0,"Theekshana to Vikramjit Singh, no run  .oh! How has that missed off stump?! Length delivery just outside off stump that skids  .through. Vikramjit plays outside the line and sees the ball breeze past the inside edge  .and off stump!",Theekshana,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
