raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
van Beek to King, no run 
bowls quite full, and around seventh stump. Left alone, as it shaped back in",0.1,0,0.0,"van Beek to King, no run  .bowls quite full, and around seventh stump. Left alone, as it shaped back in",van Beek,King,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
van Beek to King, no run 
an appeal for leg before wicket, but that seemed to be heading down leg. On a good 
length, and pitching on middle and off while being angled in. King tried to clip but was 
hit on his front pad",0.2,0,0.0,"van Beek to King, no run  .an appeal for leg before wicket, but that seemed to be heading down leg. On a good  .length, and pitching on middle and off while being angled in. King tried to clip but was  .hit on his front pad",van Beek,King,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
van Beek to King, no run 
another good length ball, but this one angles in to end on off. Dabbed to point 
If you're in the USA, you can watch the Netherlands vs West Indies match LIVE on 
ESPN+.",0.3,0,0.0,"van Beek to King, no run  .another good length ball, but this one angles in to end on off. Dabbed to point  .If you're in the USA, you can watch the Netherlands vs West Indies match LIVE on  .ESPN+.",van Beek,King,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
van Beek to King, FOUR runs 
driven between point and cover! Leans into the drive, as he gets one full and outside 
off. He just reaches out for the ball, and sends that flaying in the gap",0.4,4,4.0,"van Beek to King, FOUR runs  .driven between point and cover! Leans into the drive, as he gets one full and outside  .off. He just reaches out for the ball, and sends that flaying in the gap",van Beek,King,4.0,1,0,1,1,4.0,0,,1
"0.5 
• 
van Beek to King, no run 
the cover fielder dives to his left to cut that off. Another full ball in the channel, as King 
drove with an open face of the bat. Four runs saved there",0.5,0,0.0,"van Beek to King, no run  .the cover fielder dives to his left to cut that off. Another full ball in the channel, as King  .drove with an open face of the bat. Four runs saved there",van Beek,King,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
van Beek to King, no run 
full again, and angling in towards off. Defended back 
end of over 14 runs  
WI: 4/0CRR: 4.00  
Brandon King4 (6b 1x4) 
Johnson Charles0 (0b) 
Logan van Beek 1-0-4-0 
Kingma from the other end, playing his first game this tournament",0.6,0,0.0,"van Beek to King, no run  .full again, and angling in towards off. Defended back",van Beek,King,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Kingma to Charles, 1 run 
very full, and wide of off. Dragged to deep third with a flat bat",1.1,1,1.0,"Kingma to Charles, 1 run  .very full, and wide of off. Dragged to deep third with a flat bat",Kingma,Charles,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Kingma to King, no run 
goes full on off, and is defended to point",1.2,0,0.0,"Kingma to King, no run  .goes full on off, and is defended to point",Kingma,King,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Kingma to King, no run 
length ball on off, and blocked down",1.3,0,0.0,"Kingma to King, no run  .length ball on off, and blocked down",Kingma,King,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Kingma to King, no run 
bowls full again on off, and is tucked to the cover fielder",1.4,0,0.0,"Kingma to King, no run  .bowls full again on off, and is tucked to the cover fielder",Kingma,King,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Kingma to King, no run 
full delivery on fifth stump, swinging away from the batter. He pokes slightly away from 
his body, and is beaten on the outside edge",1.5,0,0.0,"Kingma to King, no run  .full delivery on fifth stump, swinging away from the batter. He pokes slightly away from  .his body, and is beaten on the outside edge",Kingma,King,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Kingma to King, no run 
pulls his length back to go on a good length, and it is blocked back 
end of over 21 run  
WI: 5/0CRR: 2.50  
Brandon King4 (11b 1x4) 
Johnson Charles1 (1b) 
Vivian Kingma 1-0-1-0 
Logan van Beek 1-0-4-0",1.6,0,0.0,"Kingma to King, no run  .pulls his length back to go on a good length, and it is blocked back",Kingma,King,0.0,0,0,1,1,0.0,0,,0
"2.1 
4 
van Beek to Charles, FOUR runs 
drilled to deep midwicket! Van Beek bowled short and outside off, and Charles pulled 
that hard through the outfield for four",2.1,4,4.0,"van Beek to Charles, FOUR runs  .drilled to deep midwicket! Van Beek bowled short and outside off, and Charles pulled  .that hard through the outfield for four",van Beek,Charles,4.0,1,0,1,1,4.0,0,,1
"2.2 
• 
van Beek to Charles, no run 
good length ball outside off, angles in towards off. Defended down",2.2,0,0.0,"van Beek to Charles, no run  .good length ball outside off, angles in towards off. Defended down",van Beek,Charles,0.0,0,0,1,1,0.0,0,,0
"2.3 
4 
van Beek to Charles, FOUR runs 
now driven between point and cover! Opens the bat face a bit to this quite full ball 
outside off, and places it in the gap even as the ball hints to move away. And van Beek, 
meanwhile, tumbled in his followthrough",2.3,4,4.0,"van Beek to Charles, FOUR runs  .now driven between point and cover! Opens the bat face a bit to this quite full ball  .outside off, and places it in the gap even as the ball hints to move away. And van Beek,  .meanwhile, tumbled in his followthrough",van Beek,Charles,4.0,1,0,1,1,4.0,0,,1
