raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Adair to Bhurtel, no run",0.1,0,0.0,"Adair to Bhurtel, no run",Adair,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Adair to Bhurtel, no run",0.2,0,0.0,"Adair to Bhurtel, no run",Adair,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Adair to Bhurtel, no run",0.3,0,0.0,"Adair to Bhurtel, no run",Adair,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Adair to Bhurtel, no run",0.4,0,0.0,"Adair to Bhurtel, no run",Adair,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Adair to Bhurtel, no run",0.5,0,0.0,"Adair to Bhurtel, no run",Adair,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Adair to Bhurtel, no run 
end of over 1Maiden 
NEP: 0/0CRR: 0.00  
Kushal Bhurtel0 (6b) 
Arjun Saud0 (0b) 
Mark Adair 1-1-0-0",0.6,0,0.0,"Adair to Bhurtel, no run",Adair,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
McCarthy to Saud, no run",1.1,0,0.0,"McCarthy to Saud, no run",McCarthy,Saud,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
McCarthy to Saud, no run",1.2,0,0.0,"McCarthy to Saud, no run",McCarthy,Saud,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
McCarthy to Saud, no run",1.3,0,0.0,"McCarthy to Saud, no run",McCarthy,Saud,0.0,0,0,1,1,0.0,0,,0
"1.4 
3 
McCarthy to Saud, 3 runs",1.4,3,3.0,"McCarthy to Saud, 3 runs",McCarthy,Saud,3.0,0,0,1,1,3.0,0,,1
"1.5 
4 
McCarthy to Bhurtel, FOUR runs",1.5,4,4.0,"McCarthy to Bhurtel, FOUR runs",McCarthy,Bhurtel,4.0,1,0,1,1,4.0,0,,1
"1.6 
• 
McCarthy to Bhurtel, no run 
end of over 27 runs  
NEP: 7/0CRR: 3.50  
Kushal Bhurtel4 (8b 1x4) 
Arjun Saud3 (4b) 
Barry McCarthy 1-0-7-0 
Mark Adair 1-1-0-0",1.6,0,0.0,"McCarthy to Bhurtel, no run",McCarthy,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Adair to Saud, no run",2.1,0,0.0,"Adair to Saud, no run",Adair,Saud,0.0,0,0,1,1,0.0,0,,0
"2.2 
1w 
Adair to Saud, 1 wide",2.2,1w,1.0,"Adair to Saud, 1 wide",Adair,Saud,0.0,0,0,0,0,1.0,0,,1
"2.2 
• 
Adair to Saud, no run",2.2,0,0.0,"Adair to Saud, no run",Adair,Saud,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Adair to Saud, no run",2.3,0,0.0,"Adair to Saud, no run",Adair,Saud,0.0,0,0,1,1,0.0,0,,0
"2.4 
1w 
Adair to Saud, 1 wide",2.4,1w,1.0,"Adair to Saud, 1 wide",Adair,Saud,0.0,0,0,0,0,1.0,0,,1
"2.4 
1lb 
Adair to Saud, 1 leg bye",2.4,1lb,1.0,"Adair to Saud, 1 leg bye",Adair,Saud,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Adair to Bhurtel, no run",2.5,0,0.0,"Adair to Bhurtel, no run",Adair,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Adair to Bhurtel, no run 
end of over 33 runs  
NEP: 10/0CRR: 3.33  
Kushal Bhurtel4 (10b 1x4) 
Arjun Saud3 (8b) 
Mark Adair 2-1-2-0 
Barry McCarthy 1-0-7-0",2.6,0,0.0,"Adair to Bhurtel, no run",Adair,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
McCarthy to Saud, no run",3.1,0,0.0,"McCarthy to Saud, no run",McCarthy,Saud,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
McCarthy to Saud, no run",3.2,0,0.0,"McCarthy to Saud, no run",McCarthy,Saud,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
McCarthy to Saud, no run",3.3,0,0.0,"McCarthy to Saud, no run",McCarthy,Saud,0.0,0,0,1,1,0.0,0,,0
"3.4 
• 
McCarthy to Saud, no run",3.4,0,0.0,"McCarthy to Saud, no run",McCarthy,Saud,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
McCarthy to Saud, no run",3.5,0,0.0,"McCarthy to Saud, no run",McCarthy,Saud,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
McCarthy to Saud, no run 
end of over 4Maiden 
NEP: 10/0CRR: 2.50  
Arjun Saud3 (14b) 
Kushal Bhurtel4 (10b 1x4) 
Barry McCarthy 2-1-7-0 
Mark Adair 2-1-2-0",3.6,0,0.0,"McCarthy to Saud, no run",McCarthy,Saud,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Adair to Bhurtel, no run",4.1,0,0.0,"Adair to Bhurtel, no run",Adair,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Adair to Bhurtel, no run",4.2,0,0.0,"Adair to Bhurtel, no run",Adair,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
Adair to Bhurtel, no run",4.3,0,0.0,"Adair to Bhurtel, no run",Adair,Bhurtel,0.0,0,0,1,1,0.0,0,,0
