raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Gulsan Jha to Louwrens, no run",0.1,0,0.0,"Gulsan Jha to Louwrens, no run",Gulsan Jha,Louwrens,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Gulsan Jha to Louwrens, no run",0.2,0,0.0,"Gulsan Jha to Louwrens, no run",Gulsan Jha,Louwrens,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Gulsan Jha to Louwrens, no run",0.3,0,0.0,"Gulsan Jha to Louwrens, no run",Gulsan Jha,Louwrens,0.0,0,0,1,1,0.0,0,,0
"0.4 
2 
Gulsan Jha to Louwrens, 2 runs",0.4,2,2.0,"Gulsan Jha to Louwrens, 2 runs",Gulsan Jha,Louwrens,2.0,0,0,1,1,2.0,0,,1
"0.5 
2 
Gulsan Jha to Louwrens, 2 runs",0.5,2,2.0,"Gulsan Jha to Louwrens, 2 runs",Gulsan Jha,Louwrens,2.0,0,0,1,1,2.0,0,,1
"0.6 
• 
Gulsan Jha to Louwrens, no run 
end of over 14 runs  
NAM: 4/0CRR: 4.00  
Lo-handre Louwrens4 (6b) 
Divan la Cock0 (0b) 
Gulsan Jha 1-0-4-0",0.6,0,0.0,"Gulsan Jha to Louwrens, no run",Gulsan Jha,Louwrens,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Sompal Kami to la Cock, no run",1.1,0,0.0,"Sompal Kami to la Cock, no run",Sompal Kami,la Cock,0.0,0,0,1,1,0.0,0,,0
"1.2 
3 
Sompal Kami to la Cock, 3 runs",1.2,3,3.0,"Sompal Kami to la Cock, 3 runs",Sompal Kami,la Cock,3.0,0,0,1,1,3.0,0,,1
"1.3 
• 
Sompal Kami to Louwrens, no run",1.3,0,0.0,"Sompal Kami to Louwrens, no run",Sompal Kami,Louwrens,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Sompal Kami to Louwrens, no run",1.4,0,0.0,"Sompal Kami to Louwrens, no run",Sompal Kami,Louwrens,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Sompal Kami to Louwrens, no run",1.5,0,0.0,"Sompal Kami to Louwrens, no run",Sompal Kami,Louwrens,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Sompal Kami to Louwrens, no run 
end of over 23 runs  
NAM: 7/0CRR: 3.50  
Lo-handre Louwrens4 (10b) 
Divan la Cock3 (2b) 
Sompal Kami 1-0-3-0 
Gulsan Jha 1-0-4-0",1.6,0,0.0,"Sompal Kami to Louwrens, no run",Sompal Kami,Louwrens,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Gulsan Jha to la Cock, no run",2.1,0,0.0,"Gulsan Jha to la Cock, no run",Gulsan Jha,la Cock,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Gulsan Jha to la Cock, FOUR runs",2.2,4,4.0,"Gulsan Jha to la Cock, FOUR runs",Gulsan Jha,la Cock,4.0,1,0,1,1,4.0,0,,1
"2.3 
2 
Gulsan Jha to la Cock, 2 runs",2.3,2,2.0,"Gulsan Jha to la Cock, 2 runs",Gulsan Jha,la Cock,2.0,0,0,1,1,2.0,0,,1
"2.4 
• 
Gulsan Jha to la Cock, no run",2.4,0,0.0,"Gulsan Jha to la Cock, no run",Gulsan Jha,la Cock,0.0,0,0,1,1,0.0,0,,0
"2.5 
4 
Gulsan Jha to la Cock, FOUR runs",2.5,4,4.0,"Gulsan Jha to la Cock, FOUR runs",Gulsan Jha,la Cock,4.0,1,0,1,1,4.0,0,,1
"2.6 
• 
Gulsan Jha to la Cock, no run 
end of over 310 runs  
NAM: 17/0CRR: 5.66  
Divan la Cock13 (8b 2x4) 
Lo-handre Louwrens4 (10b) 
Gulsan Jha 2-0-14-0 
Sompal Kami 1-0-3-0",2.6,0,0.0,"Gulsan Jha to la Cock, no run",Gulsan Jha,la Cock,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Sompal Kami to Louwrens, no run",3.1,0,0.0,"Sompal Kami to Louwrens, no run",Sompal Kami,Louwrens,0.0,0,0,1,1,0.0,0,,0
"3.2 
1 
Sompal Kami to Louwrens, 1 run",3.2,1,1.0,"Sompal Kami to Louwrens, 1 run",Sompal Kami,Louwrens,1.0,0,0,1,1,1.0,0,,1
"3.3 
• 
Sompal Kami to la Cock, no run",3.3,0,0.0,"Sompal Kami to la Cock, no run",Sompal Kami,la Cock,0.0,0,0,1,1,0.0,0,,0
"3.4 
1 
Sompal Kami to la Cock, 1 run",3.4,1,1.0,"Sompal Kami to la Cock, 1 run",Sompal Kami,la Cock,1.0,0,0,1,1,1.0,0,,1
"3.5 
• 
Sompal Kami to Louwrens, no run",3.5,0,0.0,"Sompal Kami to Louwrens, no run",Sompal Kami,Louwrens,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
Sompal Kami to Louwrens, no run 
end of over 42 runs  
NAM: 19/0CRR: 4.75  
Lo-handre Louwrens5 (14b) 
Divan la Cock14 (10b 2x4) 
Sompal Kami 2-0-5-0 
Gulsan Jha 2-0-14-0",3.6,0,0.0,"Sompal Kami to Louwrens, no run",Sompal Kami,Louwrens,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Gulsan Jha to la Cock, no run",4.1,0,0.0,"Gulsan Jha to la Cock, no run",Gulsan Jha,la Cock,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Gulsan Jha to la Cock, no run",4.2,0,0.0,"Gulsan Jha to la Cock, no run",Gulsan Jha,la Cock,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
Gulsan Jha to la Cock, no run",4.3,0,0.0,"Gulsan Jha to la Cock, no run",Gulsan Jha,la Cock,0.0,0,0,1,1,0.0,0,,0
"4.4 
• 
Gulsan Jha to la Cock, no run",4.4,0,0.0,"Gulsan Jha to la Cock, no run",Gulsan Jha,la Cock,0.0,0,0,1,1,0.0,0,,0
"4.5 
• 
Gulsan Jha to la Cock, no run",4.5,0,0.0,"Gulsan Jha to la Cock, no run",Gulsan Jha,la Cock,0.0,0,0,1,1,0.0,0,,0
"4.6 
• 
Gulsan Jha to la Cock, no run 
end of over 5Maiden 
NAM: 19/0CRR: 3.80  
Divan la Cock14 (16b 2x4) 
Lo-handre Louwrens5 (14b) 
Gulsan Jha 3-1-14-0 
Sompal Kami 2-0-5-0",4.6,0,0.0,"Gulsan Jha to la Cock, no run",Gulsan Jha,la Cock,0.0,0,0,1,1,0.0,0,,0
"5.1 
• 
Sompal Kami to Louwrens, no run",5.1,0,0.0,"Sompal Kami to Louwrens, no run",Sompal Kami,Louwrens,0.0,0,0,1,1,0.0,0,,0
"5.2 
• 
Sompal Kami to Louwrens, no run",5.2,0,0.0,"Sompal Kami to Louwrens, no run",Sompal Kami,Louwrens,0.0,0,0,1,1,0.0,0,,0
"5.3 
• 
Sompal Kami to Louwrens, no run",5.3,0,0.0,"Sompal Kami to Louwrens, no run",Sompal Kami,Louwrens,0.0,0,0,1,1,0.0,0,,0
"5.4 
• 
Sompal Kami to Louwrens, no run",5.4,0,0.0,"Sompal Kami to Louwrens, no run",Sompal Kami,Louwrens,0.0,0,0,1,1,0.0,0,,0
"5.5 
• 
Sompal Kami to Louwrens, no run",5.5,0,0.0,"Sompal Kami to Louwrens, no run",Sompal Kami,Louwrens,0.0,0,0,1,1,0.0,0,,0
