raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Rajbanshi to O'Dowd, 1 run 
overpitched just outside off, and driven to long off for a single",0.1,1,1.0,"Rajbanshi to O'Dowd, 1 run  .overpitched just outside off, and driven to long off for a single",Rajbanshi,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Rajbanshi to Vikramjit Singh, no run 
full ball around off stump. Guided to cover. Wants a single but it is turned down",0.2,0,0.0,"Rajbanshi to Vikramjit Singh, no run  .full ball around off stump. Guided to cover. Wants a single but it is turned down",Rajbanshi,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Rajbanshi to Vikramjit Singh, no run 
full around off stump, and driven to mid on",0.3,0,0.0,"Rajbanshi to Vikramjit Singh, no run  .full around off stump, and driven to mid on",Rajbanshi,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Rajbanshi to Vikramjit Singh, no run 
good length on middle, and clipped off the pads to deep square leg",0.4,0,0.0,"Rajbanshi to Vikramjit Singh, no run  .good length on middle, and clipped off the pads to deep square leg",Rajbanshi,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Rajbanshi to Vikramjit Singh, no run 
full ball outside off. Cut in front of square, but the infield is packed",0.5,0,0.0,"Rajbanshi to Vikramjit Singh, no run  .full ball outside off. Cut in front of square, but the infield is packed",Rajbanshi,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Rajbanshi to Vikramjit Singh, no run 
full ball on off stump. Presses forward and defends 
end of over 11 run  
NED: 1/0CRR: 1.00 • RRR: 3.40 • Need 167 runs from 49 overs 
Vikramjit Singh0 (5b) 
Max O'Dowd1 (1b) 
Lalit Rajbanshi 1-0-1-0 
Pace from the other end.",0.6,0,0.0,"Rajbanshi to Vikramjit Singh, no run  .full ball on off stump. Presses forward and defends",Rajbanshi,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Karan KC to O'Dowd, no run 
good length ball around middle, bit of extra bounce. Through to the keeper",1.1,0,0.0,"Karan KC to O'Dowd, no run  .good length ball around middle, bit of extra bounce. Through to the keeper",Karan KC,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Karan KC to O'Dowd, no run 
good length ball outside off stump. Bit of swing away. Tries the cut but misses",1.2,0,0.0,"Karan KC to O'Dowd, no run  .good length ball outside off stump. Bit of swing away. Tries the cut but misses",Karan KC,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Karan KC to O'Dowd, no run 
fullish just outside off stump. Defended towards the off side",1.3,0,0.0,"Karan KC to O'Dowd, no run  .fullish just outside off stump. Defended towards the off side",Karan KC,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Karan KC to O'Dowd, no run 
good length ball just outside off. Punched towards point, can't beat the infield",1.4,0,0.0,"Karan KC to O'Dowd, no run  .good length ball just outside off. Punched towards point, can't beat the infield",Karan KC,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Karan KC to O'Dowd, no run 
full ball outside off, bit of swing away. Driven again, but the dive from Airee at cover 
stops a sure boundary",1.5,0,0.0,"Karan KC to O'Dowd, no run  .full ball outside off, bit of swing away. Driven again, but the dive from Airee at cover  .stops a sure boundary",Karan KC,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Karan KC to O'Dowd, no run 
fullish ball just outside off. Punched with the swing to cover 
end of over 2Maiden 
NED: 1/0CRR: 0.50 • RRR: 3.47 • Need 167 runs from 48 overs 
Max O'Dowd1 (7b) 
Vikramjit Singh0 (5b) 
Karan KC 1-1-0-0 
Lalit Rajbanshi 1-0-1-0",1.6,0,0.0,"Karan KC to O'Dowd, no run  .fullish ball just outside off. Punched with the swing to cover",Karan KC,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Airee to Vikramjit Singh, no run 
full ball outside off. Turning away. Drilled square but stopped at cover",2.1,0,0.0,"Airee to Vikramjit Singh, no run  .full ball outside off. Turning away. Drilled square but stopped at cover",Airee,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Airee to Vikramjit Singh, no run 
good length ball outside off. Tries to cut and stopped at point",2.2,0,0.0,"Airee to Vikramjit Singh, no run  .good length ball outside off. Tries to cut and stopped at point",Airee,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Airee to Vikramjit Singh, no run 
good length ball outside off, cut in front of square, but stopped at cover",2.3,0,0.0,"Airee to Vikramjit Singh, no run  .good length ball outside off, cut in front of square, but stopped at cover",Airee,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Airee to Vikramjit Singh, no run 
continues with the length outside off. Vikramjit pins another cut well but can't pierce 
point",2.4,0,0.0,"Airee to Vikramjit Singh, no run  .continues with the length outside off. Vikramjit pins another cut well but can't pierce  .point",Airee,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Airee to Vikramjit Singh, no run 
good length ball on off. This time he pushes it to cover's left",2.5,0,0.0,"Airee to Vikramjit Singh, no run  .good length ball on off. This time he pushes it to cover's left",Airee,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Airee to Vikramjit Singh, no run 
good length ball on middle. Punched to mid on 
end of over 3Maiden 
NED: 1/0CRR: 0.33 • RRR: 3.55 • Need 167 runs from 47 overs 
Vikramjit Singh0 (11b) 
Max O'Dowd1 (7b) 
Dipendra Singh Airee 1-1-0-0 
Karan KC 1-1-0-0",2.6,0,0.0,"Airee to Vikramjit Singh, no run  .good length ball on middle. Punched to mid on",Airee,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
