raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Junaid Siddique to Bhurtel, 1 run",0.1,1,1.0,"Junaid Siddique to Bhurtel, 1 run",Junaid Siddique,Bhurtel,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Junaid Siddique to Saud, no run",0.2,0,0.0,"Junaid Siddique to Saud, no run",Junaid Siddique,Saud,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Junaid Siddique to Saud, no run",0.3,0,0.0,"Junaid Siddique to Saud, no run",Junaid Siddique,Saud,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Junaid Siddique to Saud, no run",0.4,0,0.0,"Junaid Siddique to Saud, no run",Junaid Siddique,Saud,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Junaid Siddique to Saud, 1 run",0.5,1,1.0,"Junaid Siddique to Saud, 1 run",Junaid Siddique,Saud,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Junaid Siddique to Bhurtel, no run 
end of over 12 runs  
NEP: 2/0CRR: 2.00 • RRR: 3.67 • Need 180 runs from 49 overs 
Kushal Bhurtel1 (2b) 
Arjun Saud1 (4b) 
Junaid Siddique 1-0-2-0",0.6,0,0.0,"Junaid Siddique to Bhurtel, no run",Junaid Siddique,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"1.1 
W 
Muhammad Jawadullah to Saud, OUT 
Arjun Saud lbw b Muhammad Jawadullah 1 (5b 0x4 0x6 5m) SR: 20",1.1,W,0.0,"Muhammad Jawadullah to Saud, OUT  .Arjun Saud lbw b Muhammad Jawadullah 1 (5b 0x4 0x6 5m) SR: 20",Muhammad Jawadullah,Saud,0.0,0,0,1,1,0.0,1,lbw b Muhammad Jawadullah,0
"1.2 
1 
Muhammad Jawadullah to Malla, 1 run",1.2,1,1.0,"Muhammad Jawadullah to Malla, 1 run",Muhammad Jawadullah,Malla,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Muhammad Jawadullah to Bhurtel, no run",1.3,0,0.0,"Muhammad Jawadullah to Bhurtel, no run",Muhammad Jawadullah,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Muhammad Jawadullah to Bhurtel, no run",1.4,0,0.0,"Muhammad Jawadullah to Bhurtel, no run",Muhammad Jawadullah,Bhurtel,0.0,0,0,1,1,0.0,0,,0
