raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Aayan Afzal Khan to Bhurtel, no run",0.1,0,0.0,"Aayan Afzal Khan to Bhurtel, no run",Aayan Afzal Khan,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Aayan Afzal Khan to Bhurtel, no run",0.2,0,0.0,"Aayan Afzal Khan to Bhurtel, no run",Aayan Afzal Khan,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Aayan Afzal Khan to Bhurtel, no run",0.3,0,0.0,"Aayan Afzal Khan to Bhurtel, no run",Aayan Afzal Khan,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Aayan Afzal Khan to Bhurtel, no run",0.4,0,0.0,"Aayan Afzal Khan to Bhurtel, no run",Aayan Afzal Khan,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Aayan Afzal Khan to Bhurtel, no run",0.5,0,0.0,"Aayan Afzal Khan to Bhurtel, no run",Aayan Afzal Khan,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.6 
1 
Aayan Afzal Khan to Bhurtel, 1 run 
end of over 11 run  
NEP: 1/0CRR: 1.00 • RRR: 2.38 
Kushal Bhurtel1 (6b) 
Aasif Sheikh0 (0b) 
Aayan Afzal Khan 1-0-1-0",0.6,1,1.0,"Aayan Afzal Khan to Bhurtel, 1 run",Aayan Afzal Khan,Bhurtel,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Mustafa to Bhurtel, no run",1.1,0,0.0,"Mustafa to Bhurtel, no run",Mustafa,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"1.2 
W 
Mustafa to Bhurtel, OUT 
Kushal Bhurtel lbw b Rohan Mustafa 1 (8b 0x4 0x6) SR:",1.2,W,0.0,"Mustafa to Bhurtel, OUT  .Kushal Bhurtel lbw b Rohan Mustafa 1 (8b 0x4 0x6) SR:",Mustafa,Bhurtel,0.0,0,0,1,1,0.0,1,lbw b Rohan Mustafa,0
"1.3 
• 
Mustafa to Gulsan Jha, no run",1.3,0,0.0,"Mustafa to Gulsan Jha, no run",Mustafa,Gulsan Jha,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Mustafa to Gulsan Jha, no run",1.4,0,0.0,"Mustafa to Gulsan Jha, no run",Mustafa,Gulsan Jha,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Mustafa to Gulsan Jha, no run",1.5,0,0.0,"Mustafa to Gulsan Jha, no run",Mustafa,Gulsan Jha,0.0,0,0,1,1,0.0,0,,0
