raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
W 
Boult to Litton Das, OUT 
Novelty dismissal to kick things off as it is taken at fine leg!. Litton took a couple of 
steps down first ball, got one on the pads. He clipped it with a flourish. Went fine, went 
aerial and found the fielder. Think he took the aggressive option, the ball was there for it 
but there was inherent risk too. Boult's inswing couple with that, meant he misdirected 
it. Bowler's all smiles after going ooo in surprise. 
Litton Das c Henry b Boult 0 (1b 0x4 0x6 1m) SR: 0 
See all photos",0.1,W,0.0,"Boult to Litton Das, OUT  .Novelty dismissal to kick things off as it is taken at fine leg!. Litton took a couple of  .steps down first ball, got one on the pads. He clipped it with a flourish. Went fine, went  .aerial and found the fielder. Think he took the aggressive option, the ball was there for it  .but there was inherent risk too. Boult's inswing couple with that, meant he misdirected  .it. Bowler's all smiles after going ooo in surprise.  .Litton Das c Henry b Boult 0 (1b 0x4 0x6 1m) SR: 0",Boult,Litton Das,0.0,0,0,1,1,0.0,1,c Henry b Boult,0
"0.2 
• 
Boult to Mehidy Hasan Miraz, no run 
Looking for swing again. Pitched right up on off, 137ks, pushed to mid-off 
Takin: ""The only question I could ask Litton is - Has NZ already posted 829 runs on the 
board?"" Maybe I'm naive or tunnel visioned but I kinda felt it was an okay option. The 
line of the ball did bring it in his arc. But all that matters is that he's out first ball.",0.2,0,0.0,"Boult to Mehidy Hasan Miraz, no run  .Looking for swing again. Pitched right up on off, 137ks, pushed to mid-off",Boult,Mehidy Hasan Miraz,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Boult to Mehidy Hasan Miraz, 1 run 
Very full on fifth, 129ks, angling away. Mehidy opened the face and steered it to deep 
point",0.3,1,1.0,"Boult to Mehidy Hasan Miraz, 1 run  .Very full on fifth, 129ks, angling away. Mehidy opened the face and steered it to deep  .point",Boult,Mehidy Hasan Miraz,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Boult to Tanzid Hasan, no run 
Fullish ball on fifth, straightens a bit. Let go 
Sameer Okaz: ""I feel bad for Liton Das, I thought he will score a TON on his birthday..""",0.4,0,0.0,"Boult to Tanzid Hasan, no run  .Fullish ball on fifth, straightens a bit. Let go",Boult,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Boult to Tanzid Hasan, FOUR runs 
Overpitched on the pads, tickled wide of the keeper but very fine.",0.5,4,4.0,"Boult to Tanzid Hasan, FOUR runs  .Overpitched on the pads, tickled wide of the keeper but very fine.",Boult,Tanzid Hasan,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Boult to Tanzid Hasan, no run 
Length outside off, let go 
Krishna: ""Boult one short of 200 wickets. Second fastest to get there behind Starc?"" 
Sampath, our stats dude, says he will be third fastest after Mitchell Starc (102) and 
Saqlain Mushtaq (104) 
end of over 15 runs • 1 wicket 
BAN: 5/1CRR: 5.00  
Tanzid Hasan4 (3b 1x4) 
Mehidy Hasan Miraz1 (2b) 
Trent Boult 1-0-5-1 
Henry. Teo slips in",0.6,0,0.0,"Boult to Tanzid Hasan, no run  .Length outside off, let go",Boult,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Henry to Mehidy Hasan Miraz, no run 
Shortish ball outside off. Sure straightened. Looked like seam movement. Mehidy tried 
defending in front of his body but it was effectively a leave",1.1,0,0.0,"Henry to Mehidy Hasan Miraz, no run  .Shortish ball outside off. Sure straightened. Looked like seam movement. Mehidy tried  .defending in front of his body but it was effectively a leave",Henry,Mehidy Hasan Miraz,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Henry to Mehidy Hasan Miraz, no run 
Back of length at the body, blocked in front",1.2,0,0.0,"Henry to Mehidy Hasan Miraz, no run  .Back of length at the body, blocked in front",Henry,Mehidy Hasan Miraz,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Henry to Mehidy Hasan Miraz, no run 
Not that different a ball. 134ks on top of middle, blocked to the bowler again 
CharithD: ""I kinda liked when cameraman lost the sight of where the ball went when 
Litton Das hit it. Reminded me when certain Sanath Jayasuriya played his shots...""",1.3,0,0.0,"Henry to Mehidy Hasan Miraz, no run  .Not that different a ball. 134ks on top of middle, blocked to the bowler again",Henry,Mehidy Hasan Miraz,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Henry to Mehidy Hasan Miraz, FOUR runs 
Square-punched on top of the bounce in front of point. Back-foot hit sent the back of 
lengther on sixth swiftly along the ground.",1.4,4,4.0,"Henry to Mehidy Hasan Miraz, FOUR runs  .Square-punched on top of the bounce in front of point. Back-foot hit sent the back of  .lengther on sixth swiftly along the ground.",Henry,Mehidy Hasan Miraz,4.0,1,0,1,1,4.0,0,,1
