raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Mustafizur to Guptill, no run 
full on off. And defended away to the off side",0.1,0,0.0,"Mustafizur to Guptill, no run  .full on off. And defended away to the off side",Mustafizur,Guptill,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Mustafizur to Guptill, no run 
good length on leg. Squared up slightly. Flies off the bat's edge to point",0.2,0,0.0,"Mustafizur to Guptill, no run  .good length on leg. Squared up slightly. Flies off the bat's edge to point",Mustafizur,Guptill,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Mustafizur to Guptill, no run 
good length, on middle and leg. Defended to point",0.3,0,0.0,"Mustafizur to Guptill, no run  .good length, on middle and leg. Defended to point",Mustafizur,Guptill,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Mustafizur to Guptill, no run 
full, on off stump. Pushed to mid off",0.4,0,0.0,"Mustafizur to Guptill, no run  .full, on off stump. Pushed to mid off",Mustafizur,Guptill,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Mustafizur to Guptill, 1 run 
good length, on off. Guided to third man",0.5,1,1.0,"Mustafizur to Guptill, 1 run  .good length, on off. Guided to third man",Mustafizur,Guptill,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Mustafizur to Nicholls, no run 
full just outside off. Defended. Tidy start for both sides 
end of over 11 run  
NZ: 1/0CRR: 1.00 • RRR: 5.53 
Henry Nicholls0 (1b) 
Martin Guptill1 (5b) 
Mustafizur Rahman 1-0-1-0",0.6,0,0.0,"Mustafizur to Nicholls, no run  .full just outside off. Defended. Tidy start for both sides",Mustafizur,Nicholls,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Taskin to Guptill, FOUR runs 
good length, outside off. Slapped in front of square. Races away to cover for four",1.1,4,4.0,"Taskin to Guptill, FOUR runs  .good length, outside off. Slapped in front of square. Races away to cover for four",Taskin,Guptill,4.0,1,0,1,1,4.0,0,,1
"1.2 
• 
Taskin to Guptill, no run 
length ball angling in. Defended firmly",1.2,0,0.0,"Taskin to Guptill, no run  .length ball angling in. Defended firmly",Taskin,Guptill,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Taskin to Guptill, no run 
fullish, wide. Left alone",1.3,0,0.0,"Taskin to Guptill, no run  .fullish, wide. Left alone",Taskin,Guptill,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Taskin to Guptill, no run 
good length, outside off. Punched well, off the back foot, to cover",1.4,0,0.0,"Taskin to Guptill, no run  .good length, outside off. Punched well, off the back foot, to cover",Taskin,Guptill,0.0,0,0,1,1,0.0,0,,0
