raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Mustafizur to Guptill, no run 
length ball at the stumps, defended from the crease",0.1,0,0.0,"Mustafizur to Guptill, no run  .length ball at the stumps, defended from the crease",Mustafizur,Guptill,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Mustafizur to Guptill, no run 
similar line and length, Guptill comes on the front foot and blocks again",0.2,0,0.0,"Mustafizur to Guptill, no run  .similar line and length, Guptill comes on the front foot and blocks again",Mustafizur,Guptill,0.0,0,0,1,1,0.0,0,,0
"0.3 
3 
Mustafizur to Guptill, 3 runs 
a touch fuller this time and Guptill pushes it to the left of mid-off. And he is off the mark 
with a three as Rubel chases and slides to stop it just inside",0.3,3,3.0,"Mustafizur to Guptill, 3 runs  .a touch fuller this time and Guptill pushes it to the left of mid-off. And he is off the mark  .with a three as Rubel chases and slides to stop it just inside",Mustafizur,Guptill,3.0,0,0,1,1,3.0,0,,1
"0.4 
• 
Mustafizur to Nicholls, no run 
short of length around off, hops and drops it down on the leg side",0.4,0,0.0,"Mustafizur to Nicholls, no run  .short of length around off, hops and drops it down on the leg side",Mustafizur,Nicholls,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Mustafizur to Nicholls, 1 run 
length ball around off, works it towards mid-on gently for an easy single",0.5,1,1.0,"Mustafizur to Nicholls, 1 run  .length ball around off, works it towards mid-on gently for an easy single",Mustafizur,Nicholls,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Mustafizur to Guptill, no run 
length ball in the channel, left alone 
end of over 14 runs  
NZ: 4/0CRR: 4.00  
Martin Guptill3 (4b) 
Henry Nicholls1 (2b) 
Mustafizur Rahman 1-0-4-0 
Taskin Ahmed from the other end",0.6,0,0.0,"Mustafizur to Guptill, no run  .length ball in the channel, left alone",Mustafizur,Guptill,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Taskin to Nicholls, no run 
falls just short of the backward point fielder. Fuller around off but not too full. Angling 
across as the batsman pushes at it and gets a thick outside edge",1.1,0,0.0,"Taskin to Nicholls, no run  .falls just short of the backward point fielder. Fuller around off but not too full. Angling  .across as the batsman pushes at it and gets a thick outside edge",Taskin,Nicholls,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Taskin to Nicholls, 1 run 
straying on the pads and tucked away towards fine leg",1.2,1,1.0,"Taskin to Nicholls, 1 run  .straying on the pads and tucked away towards fine leg",Taskin,Nicholls,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Taskin to Guptill, no run 
short of length outside off, moves away after pitching. Guptill was looking to defend and 
is beaten",1.3,0,0.0,"Taskin to Guptill, no run  .short of length outside off, moves away after pitching. Guptill was looking to defend and  .is beaten",Taskin,Guptill,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
Taskin to Guptill, 1 run 
this one coming in with the angle. A touch fuller around off. Guptill gets an inside edge 
on to the pad and dribbles behind square leg",1.4,1,1.0,"Taskin to Guptill, 1 run  .this one coming in with the angle. A touch fuller around off. Guptill gets an inside edge  .on to the pad and dribbles behind square leg",Taskin,Guptill,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
Taskin to Nicholls, no run 
length, in the channel. Left alone. Good bounce and carry for Taskin there",1.5,0,0.0,"Taskin to Nicholls, no run  .length, in the channel. Left alone. Good bounce and carry for Taskin there",Taskin,Nicholls,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Taskin to Nicholls, no run 
length ball outside off, swinging late as the batsman shoulders arms again 
Tasin Haque: ""Taskin was so good last match, but it's a shame he didn't get any 
wickets."" 
end of over 22 runs  
NZ: 6/0CRR: 3.00  
Henry Nicholls2 (6b) 
Martin Guptill4 (6b) 
Taskin Ahmed 1-0-2-0 
Mustafizur Rahman 1-0-4-0",1.6,0,0.0,"Taskin to Nicholls, no run  .length ball outside off, swinging late as the batsman shoulders arms again",Taskin,Nicholls,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Mustafizur to Guptill, no run 
length ball on the stumps, stays in his crease and tucks it towards forward square leg",2.1,0,0.0,"Mustafizur to Guptill, no run  .length ball on the stumps, stays in his crease and tucks it towards forward square leg",Mustafizur,Guptill,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Mustafizur to Guptill, no run 
length ball around off, defended towards extra cover from back foot",2.2,0,0.0,"Mustafizur to Guptill, no run  .length ball around off, defended towards extra cover from back foot",Mustafizur,Guptill,0.0,0,0,1,1,0.0,0,,0
