raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Southee to Brook, FOUR runs 
too straight, into the pads, tucked very fine, and Brook is away with a boundary!",0.1,4,4.0,"Southee to Brook, FOUR runs  .too straight, into the pads, tucked very fine, and Brook is away with a boundary!",Southee,Brook,4.0,1,0,1,1,4.0,0,,1
"0.2 
• 
Southee to Brook, no run 
better line, jagging a touch from just back of a length, and blocked under the eyeline on 
the back foot",0.2,0,0.0,"Southee to Brook, no run  .better line, jagging a touch from just back of a length, and blocked under the eyeline on  .the back foot",Southee,Brook,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Southee to Brook, no run 
full and threatening! Looked like the patented three-quarter ball, just nipping in on a 
pad-thwacking length, takes an inside-edge",0.3,0,0.0,"Southee to Brook, no run  .full and threatening! Looked like the patented three-quarter ball, just nipping in on a  .pad-thwacking length, takes an inside-edge",Southee,Brook,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Southee to Brook, no run 
zips away on a wider line, left alone with a wave of the bat 
Aditya: ""Any word on why Moeen Ali isn't playing? "" The short straight boundaries are 
very conducive to offspin. But don't tell Robert Croft that...",0.4,0,0.0,"Southee to Brook, no run  .zips away on a wider line, left alone with a wave of the bat",Southee,Brook,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Southee to Brook, 1 run 
angled bat outside off, tapped down to short third to trot off the strike",0.5,1,1.0,"Southee to Brook, 1 run  .angled bat outside off, tapped down to short third to trot off the strike",Southee,Brook,1.0,0,0,1,1,1.0,0,,1
"0.6 
1 
Southee to Malan, 1 run 
curls into the pads, on a full length, Malan's turn to clip calmly down to backward 
square. Both batters up and running at a run a ball. Easy peasy 
end of over 16 runs  
ENG: 6/0CRR: 6.00  
Dawid Malan1 (1b) 
Harry Brook5 (5b 1x4) 
Tim Southee 1-0-6-0 
Matt Henry, in flying form in limited-overs cricket for Somerset this summer, gets the 
day's second over",0.6,1,1.0,"Southee to Malan, 1 run  .curls into the pads, on a full length, Malan's turn to clip calmly down to backward  .square. Both batters up and running at a run a ball. Easy peasy",Southee,Malan,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Henry to Malan, no run 
lovely line, angled across Malan's bows, perfect length, drawing a prod and nearly 
finding the edge",1.1,0,0.0,"Henry to Malan, no run  .lovely line, angled across Malan's bows, perfect length, drawing a prod and nearly  .finding the edge",Henry,Malan,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Henry to Malan, 1 run 
steps across to off and taps the full length out to midwicket",1.2,1,1.0,"Henry to Malan, 1 run  .steps across to off and taps the full length out to midwicket",Henry,Malan,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Henry to Brook, no run 
through to the keeper outside off, good probing line 
Shiv: ""Why Boult is not playing? Injury or being punished for not accepting the central 
contract?"" He'll get his chance. I guess there might be a sense in giving the others first 
dibs...",1.3,0,0.0,"Henry to Brook, no run  .through to the keeper outside off, good probing line",Henry,Brook,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
Henry to Brook, 1 run 
fuller length, rolls the fingers and grips on the cutter. Blocked down into the crease and 
alert running from Malan to burgle the single",1.4,1,1.0,"Henry to Brook, 1 run  .fuller length, rolls the fingers and grips on the cutter. Blocked down into the crease and  .alert running from Malan to burgle the single",Henry,Brook,1.0,0,0,1,1,1.0,0,,1
"1.5 
1 
Henry to Malan, 1 run 
cracked on the front foot, hard at short cover. Good diving intercept, as that was 
travelling, but Young got down low to his left",1.5,1,1.0,"Henry to Malan, 1 run  .cracked on the front foot, hard at short cover. Good diving intercept, as that was  .travelling, but Young got down low to his left",Henry,Malan,1.0,0,0,1,1,1.0,0,,1
"1.6 
• 
Henry to Brook, no run 
tossed up and drilled into the off side 
end of over 23 runs  
ENG: 9/0CRR: 4.50  
Harry Brook6 (8b 1x4) 
Dawid Malan3 (4b) 
Matt Henry 1-0-3-0 
Tim Southee 1-0-6-0",1.6,0,0.0,"Henry to Brook, no run  .tossed up and drilled into the off side",Henry,Brook,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Southee to Malan, no run 
on the front foot, solid drive, straight at the fielder, but threatening poise on the stroke 
Kunjitha Bandar: ""Is it Matt Henry or Matt *Onry* (like the arsenal legend)? I've always 
been confused"" I would imagine the Kiwi vernacular is more like ""'Inry"" ... innit",2.1,0,0.0,"Southee to Malan, no run  .on the front foot, solid drive, straight at the fielder, but threatening poise on the stroke",Southee,Malan,0.0,0,0,1,1,0.0,0,,0
"2.2 
1 
Southee to Malan, 1 run 
tucked out to square leg and through for the single",2.2,1,1.0,"Southee to Malan, 1 run  .tucked out to square leg and through for the single",Southee,Malan,1.0,0,0,1,1,1.0,0,,1
"2.3 
• 
Southee to Brook, no run 
shape away, through to the keeper",2.3,0,0.0,"Southee to Brook, no run  .shape away, through to the keeper",Southee,Brook,0.0,0,0,1,1,0.0,0,,0
"2.4 
1 
Southee to Brook, 1 run 
opens the face on the back foot, tapped down to deep third",2.4,1,1.0,"Southee to Brook, 1 run  .opens the face on the back foot, tapped down to deep third",Southee,Brook,1.0,0,0,1,1,1.0,0,,1
