raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
W 
Boult to Bairstow, OUT 
flicked off the toes and straight to backward square! Devon Conway leaps superbly to 
his left, plucks a fast-travelling clip at a very tight, deliberate catching position, and New 
Zealand are up and running in emphatic style! 
Jonny Bairstow c Conway b Boult 0 (1b 0x4 0x6 1m) SR: 0",0.1,W,0.0,"Boult to Bairstow, OUT  .flicked off the toes and straight to backward square! Devon Conway leaps superbly to  .his left, plucks a fast-travelling clip at a very tight, deliberate catching position, and New  .Zealand are up and running in emphatic style!  .Jonny Bairstow c Conway b Boult 0 (1b 0x4 0x6 1m) SR: 0",Boult,Bairstow,0.0,0,0,1,1,0.0,1,c Conway b Boult,0
"0.2 
• 
Boult to Root, no run 
on the back foot, patted out to the off side 
Well, that's all a bit breathless!",0.2,0,0.0,"Boult to Root, no run  .on the back foot, patted out to the off side  .Well, that's all a bit breathless!",Boult,Root,0.0,0,0,1,1,0.0,0,,0
"0.3 
1b 
Boult to Root, 1 bye 
hits the seam, angles across the right-hander, who pokes as the ball goes by. The 
keeper can't gather cleanly",0.3,1b,1.0,"Boult to Root, 1 bye  .hits the seam, angles across the right-hander, who pokes as the ball goes by. The  .keeper can't gather cleanly",Boult,Root,0.0,0,0,1,1,0.0,0,,1
"0.4 
• 
Boult to Malan, no run 
presses back down the line of the ball",0.4,0,0.0,"Boult to Malan, no run  .presses back down the line of the ball",Boult,Malan,0.0,0,0,1,1,0.0,0,,0
"0.5 
1w 
Boult to Malan, 1 wide 
shaping down the leg-side, swinging further as it goes, good gather behind the stumps",0.5,1w,1.0,"Boult to Malan, 1 wide  .shaping down the leg-side, swinging further as it goes, good gather behind the stumps",Boult,Malan,0.0,0,0,0,0,1.0,0,,1
"0.5 
1 
Boult to Malan, 1 run 
on the front foot, places the bat through the line, into the off side. Malan is off the mark",0.5,1,1.0,"Boult to Malan, 1 run  .on the front foot, places the bat through the line, into the off side. Malan is off the mark",Boult,Malan,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Boult to Root, no run 
leans into the drive, on the front foot, straight at mid-off 
end of over 13 runs • 1 wicket 
ENG: 3/1CRR: 3.00  
Joe Root0 (3b) 
Dawid Malan1 (2b) 
Trent Boult 1-0-2-1 
Kyle Jamieson to share the new-ball honours",0.6,0,0.0,"Boult to Root, no run  .leans into the drive, on the front foot, straight at mid-off",Boult,Root,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Jamieson to Malan, FOUR runs 
poor ball, leg-sided and tapped nonchalantly off the pads, asking the ball to do too much 
and that's clean through backward square 
Sowmya : ""Universal Facts - Sun rises in the east, Lions are Carnivores, Trent Boult takes 
PP wickets/ an early striker""",1.1,4,4.0,"Jamieson to Malan, FOUR runs  .poor ball, leg-sided and tapped nonchalantly off the pads, asking the ball to do too much  .and that's clean through backward square",Jamieson,Malan,4.0,1,0,1,1,4.0,0,,1
"1.2 
• 
Jamieson to Malan, no run 
curling from just back of a length, tighter line in at off stump, pressed to cover",1.2,0,0.0,"Jamieson to Malan, no run  .curling from just back of a length, tighter line in at off stump, pressed to cover",Jamieson,Malan,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Jamieson to Malan, no run 
better areas from Jamieson, more bend from his high trajectory, into the pads and 
tapped to the on-side",1.3,0,0.0,"Jamieson to Malan, no run  .better areas from Jamieson, more bend from his high trajectory, into the pads and  .tapped to the on-side",Jamieson,Malan,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Jamieson to Malan, no run 
hops back onto the stumps to defend back down the line of the ball",1.4,0,0.0,"Jamieson to Malan, no run  .hops back onto the stumps to defend back down the line of the ball",Jamieson,Malan,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Jamieson to Malan, no run 
outside off, climbing through to the keeper on a fourth-stump line, left alone",1.5,0,0.0,"Jamieson to Malan, no run  .outside off, climbing through to the keeper on a fourth-stump line, left alone",Jamieson,Malan,0.0,0,0,1,1,0.0,0,,0
"1.6 
2 
Jamieson to Malan, 2 runs 
closes the face on the pads, and works the single to the leg side. Steady enough after 
that shock first ball 
Rhys: ""So given Bairstow is out first ball of the game, does that mean he'll be 
scapegoated for England losing the series and never play again? (Yours sincerely, chair 
of the Rory Burns fan club)"" 
end of over 26 runs  
ENG: 9/1CRR: 4.50  
Dawid Malan7 (8b 1x4) 
Joe Root0 (3b) 
Kyle Jamieson 1-0-6-0 
Trent Boult 1-0-2-1",1.6,2,2.0,"Jamieson to Malan, 2 runs  .closes the face on the pads, and works the single to the leg side. Steady enough after  .that shock first ball",Jamieson,Malan,2.0,0,0,1,1,2.0,0,,1
"2.1 
• 
Boult to Root, no run 
lovely line, bending from across Root's bows, back at his knee-roll. Defended with a high 
elbow",2.1,0,0.0,"Boult to Root, no run  .lovely line, bending from across Root's bows, back at his knee-roll. Defended with a high  .elbow",Boult,Root,0.0,0,0,1,1,0.0,0,,0
