raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bumrah to Conway, no run 
past the bat first ball! It's full, it's swinging away from off stump, and Conway's front 
foot doesn't really get forward. Pushes at it and the ball slides past his outside edge",0.1,0,0.0,"Bumrah to Conway, no run  .past the bat first ball! It's full, it's swinging away from off stump, and Conway's front  .foot doesn't really get forward. Pushes at it and the ball slides past his outside edge",Bumrah,Conway,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Bumrah to Conway, no run 
back of a length, now, angling across to finish just outside off, defended with soft hands 
into the point region",0.2,0,0.0,"Bumrah to Conway, no run  .back of a length, now, angling across to finish just outside off, defended with soft hands  .into the point region",Bumrah,Conway,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Bumrah to Conway, no run 
on the fuller side of a length, pitching outside leg and finishing on middle and leg, 
clipped watchfully towards mid-on",0.3,0,0.0,"Bumrah to Conway, no run  .on the fuller side of a length, pitching outside leg and finishing on middle and leg,  .clipped watchfully towards mid-on",Bumrah,Conway,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Bumrah to Conway, no run 
ooooh, this one swerves sharply back into the left-hander. Proper swing from the fuller 
side of a length, straightening sharply towards off stump. Pulls his front leg away from 
the line, pulls his bottom hand off the handle and defends into the on side",0.4,0,0.0,"Bumrah to Conway, no run  .ooooh, this one swerves sharply back into the left-hander. Proper swing from the fuller  .side of a length, straightening sharply towards off stump. Pulls his front leg away from  .the line, pulls his bottom hand off the handle and defends into the on side",Bumrah,Conway,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Bumrah to Conway, no run 
length ball slanting across into the corridor, doesn't swing back in this time. Left alone",0.5,0,0.0,"Bumrah to Conway, no run  .length ball slanting across into the corridor, doesn't swing back in this time. Left alone",Bumrah,Conway,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Bumrah to Conway, no run 
Bumrah starts with a maiden. Fuller this time, slanting away into the fifth-stump 
channel, asking Conway if he wants to drive. For now he's content to shoulder arms 
end of over 1Maiden 
NZ: 0/0CRR: 0.00  
Devon Conway0 (6b) 
Will Young0 (0b) 
Jasprit Bumrah 1-1-0-0 
Here's Mohammed Siraj. Two slips for Will Young. Deep third and fine leg are the two 
men back. 
 
Mohammed Siraj in Powerplay overs (in ODIs) 
BALLS 
858 
WKTS 
33 
4s/6s 
100/7 
ECON 
4.46 
AVE 
19.33",0.6,0,0.0,"Bumrah to Conway, no run  .Bumrah starts with a maiden. Fuller this time, slanting away into the fifth-stump  .channel, asking Conway if he wants to drive. For now he's content to shoulder arms",Bumrah,Conway,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Siraj to Young, no run 
length ball, a hint of outswing in the corridor. Left alone",1.1,0,0.0,"Siraj to Young, no run  .length ball, a hint of outswing in the corridor. Left alone",Siraj,Young,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Siraj to Young, FOUR runs 
shot. Fullish, offers a bit of width with this outswinger, and Young punches firmly on the 
up, into the turf and away into the gap between backward point and cover point",1.2,4,4.0,"Siraj to Young, FOUR runs  .shot. Fullish, offers a bit of width with this outswinger, and Young punches firmly on the  .up, into the turf and away into the gap between backward point and cover point",Siraj,Young,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
Siraj to Young, no run 
fullish outswinger again, a little closer to off stump. Left alone",1.3,0,0.0,"Siraj to Young, no run  .fullish outswinger again, a little closer to off stump. Left alone",Siraj,Young,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Siraj to Young, no run 
on the fuller side of a length again, outside off, Siraj is looking for outswing and is 
finding a bit of it. Left alone",1.4,0,0.0,"Siraj to Young, no run  .on the fuller side of a length again, outside off, Siraj is looking for outswing and is  .finding a bit of it. Left alone",Siraj,Young,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Siraj to Young, no run 
another leave. Good length in the fifth-stump channel, a hint of outswing",1.5,0,0.0,"Siraj to Young, no run  .another leave. Good length in the fifth-stump channel, a hint of outswing",Siraj,Young,0.0,0,0,1,1,0.0,0,,0
"1.6 
1 
Siraj to Young, 1 run 
back of a length in the corridor, lets it come and dabs it down to deep third 
end of over 25 runs  
NZ: 5/0CRR: 2.50  
Will Young5 (6b 1x4) 
Devon Conway0 (6b) 
Mohammed Siraj 1-0-5-0 
Jasprit Bumrah 1-1-0-0 
Arif: ""Will not Ashwin be better achoice (in place of Kuldeep) considering the left handed 
packed NZ lineup? "" -- India might have considered this option, especially given the 
batting cover Ashwin gives, but it's almost impossible to drop Kuldeep given how well 
he's bowling. 
Bumrah has two slips for Young as well.",1.6,1,1.0,"Siraj to Young, 1 run  .back of a length in the corridor, lets it come and dabs it down to deep third",Siraj,Young,1.0,0,0,1,1,1.0,0,,1
"2.1 
4 
Bumrah to Young, FOUR runs 
length ball in the corridor, and this one's the outswinger. Doesn't do a whole lot, and 
Young, hanging back, makes a late decision to dab at it after shaping to leave. Manages 
to dab it so fine that it beats deep third diving to his left",2.1,4,4.0,"Bumrah to Young, FOUR runs  .length ball in the corridor, and this one's the outswinger. Doesn't do a whole lot, and  .Young, hanging back, makes a late decision to dab at it after shaping to leave. Manages  .to dab it so fine that it beats deep third diving to his left",Bumrah,Young,4.0,1,0,1,1,4.0,0,,1
"2.2 
• 
Bumrah to Young, no run 
on a length, swinging away outside off, left alone",2.2,0,0.0,"Bumrah to Young, no run  .on a length, swinging away outside off, left alone",Bumrah,Young,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Bumrah to Young, no run 
another outswinger, but this one's directed at off stump and quite full. Defended back 
towards the bowler",2.3,0,0.0,"Bumrah to Young, no run  .another outswinger, but this one's directed at off stump and quite full. Defended back  .towards the bowler",Bumrah,Young,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Bumrah to Young, no run 
full again, outside off, gets a stride forward to push into the covers",2.4,0,0.0,"Bumrah to Young, no run  .full again, outside off, gets a stride forward to push into the covers",Bumrah,Young,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Bumrah to Young, no run 
lovely length in the fifth-stump channel, angling in from wide of the crease and swinging 
away so late that it gives the appearance of seam movement. Left alone 
 
Jasprit Bumrah vs NZ in ODIs 
INNS 
12 
WKTS 
13 
ECON 
4.65 
AVE 
37.15",2.5,0,0.0,"Bumrah to Young, no run  .lovely length in the fifth-stump channel, angling in from wide of the crease and swinging  .away so late that it gives the appearance of seam movement. Left alone  .  .Jasprit Bumrah vs NZ in ODIs  .INNS  .12  .WKTS  .13  .ECON  .4.65  .AVE  .37.15",Bumrah,Young,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Bumrah to Young, no run 
a bit fuller and closer to off stump, another outswinger. Gets his head on top of the ball 
and defends with soft hands into the point region 
end of over 34 runs  
NZ: 9/0CRR: 3.00  
Will Young9 (12b 2x4) 
Devon Conway0 (6b) 
Jasprit Bumrah 2-1-4-0 
Mohammed Siraj 1-0-5-0 
Siraj stays over the wicket to Conway. One slip and a short extra-cover.",2.6,0,0.0,"Bumrah to Young, no run  .a bit fuller and closer to off stump, another outswinger. Gets his head on top of the ball  .and defends with soft hands into the point region",Bumrah,Young,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Siraj to Conway, no run 
full, slanting away from off stump, driven to short extra",3.1,0,0.0,"Siraj to Conway, no run  .full, slanting away from off stump, driven to short extra",Siraj,Conway,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Siraj to Conway, no run 
length ball slanting across, finishing just outside off. Defended back to the bowler, 
though his intention was to play it into the covers. Hit the inside half of the bat - tends to 
happen quite often with Conway",3.2,0,0.0,"Siraj to Conway, no run  .length ball slanting across, finishing just outside off. Defended back to the bowler,  .though his intention was to play it into the covers. Hit the inside half of the bat - tends to  .happen quite often with Conway",Siraj,Conway,0.0,0,0,1,1,0.0,0,,0
"3.3 
W 
Siraj to Conway, OUT 
gone, Conway falls to a slightly soft dismissal. Terrific catch from Shreyas Iyer diving to 
his right at forward square leg, low and with both hands. On the fuller side of a length 
and at the stumps, and Conway leans forward to flick, but he hits it uppishly and Iyer 
was in position to pounce 
Devon Conway c Iyer b Mohammed Siraj 0 (9b 0x4 0x6 16m) SR: 0 
See all photos 
Rachin Ravindra walks out at No. 3. Left-hander replaces left-hander. Siraj continues 
from over the wicket.",3.3,W,0.0,"Siraj to Conway, OUT  .gone, Conway falls to a slightly soft dismissal. Terrific catch from Shreyas Iyer diving to  .his right at forward square leg, low and with both hands. On the fuller side of a length  .and at the stumps, and Conway leans forward to flick, but he hits it uppishly and Iyer  .was in position to pounce  .Devon Conway c Iyer b Mohammed Siraj 0 (9b 0x4 0x6 16m) SR: 0",Siraj,Conway,0.0,0,0,1,1,0.0,1,c Iyer b Mohammed Siraj,0
"3.4 
• 
Siraj to Ravindra, no run 
length ball slanting away from off stump, left alone",3.4,0,0.0,"Siraj to Ravindra, no run  .length ball slanting away from off stump, left alone",Siraj,Ravindra,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
Siraj to Ravindra, no run 
fullish, a hint of shape straightening it towards off stump. Presses forward and punches 
to cover point, where SKY stops it with a dive to his left",3.5,0,0.0,"Siraj to Ravindra, no run  .fullish, a hint of shape straightening it towards off stump. Presses forward and punches  .to cover point, where SKY stops it with a dive to his left",Siraj,Ravindra,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
Siraj to Ravindra, no run 
length ball, slanting across to finish on off stump, defended into the covers 
end of over 4Wicket maiden 
NZ: 9/1CRR: 2.25  
Rachin Ravindra0 (3b) 
Will Young9 (12b 2x4) 
Mohammed Siraj 2-1-5-1 
Jasprit Bumrah 2-1-4-0",3.6,0,0.0,"Siraj to Ravindra, no run  .length ball, slanting across to finish on off stump, defended into the covers",Siraj,Ravindra,0.0,0,0,1,1,0.0,0,,0
"4.1 
1 
Bumrah to Young, 1 run 
lovely delivery, hits the pitch hard on the shorter side of a length and gets it to straighten 
towards the top of off stump. Squared up a little, but plays close to his body and ends 
up half-deliberately guiding it down to deep third 
Stays over the wicket to Ravindra. Two slips.",4.1,1,1.0,"Bumrah to Young, 1 run  .lovely delivery, hits the pitch hard on the shorter side of a length and gets it to straighten  .towards the top of off stump. Squared up a little, but plays close to his body and ends  .up half-deliberately guiding it down to deep third  .Stays over the wicket to Ravindra. Two slips.",Bumrah,Young,1.0,0,0,1,1,1.0,0,,1
"4.2 
• 
Bumrah to Ravindra, no run 
back of a length, slanting across to finish close to off, chopped to backward point 
Round the wicket.",4.2,0,0.0,"Bumrah to Ravindra, no run  .back of a length, slanting across to finish close to off, chopped to backward point  .Round the wicket.",Bumrah,Ravindra,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
Bumrah to Ravindra, no run 
Length ball angling into the pads, looks to flick and misses, and the ball rolls off the pad 
to square leg. Looked to me like it was going down leg, and India didn't even appeal 
forcefully for lbw, but they've taken a review here. Interesting. Very interesting, because 
I think it's missing leg stump by a long way, from the first replay. Ball tracking confirms 
it. Poor review from India 
Pushker: ""Would you say this is a wicket planned in dressing room? Have seen Conway 
getting out a few times on well timed flicks"" -- He does tend to flick the ball in the air.",4.3,0,0.0,"Bumrah to Ravindra, no run  .Length ball angling into the pads, looks to flick and misses, and the ball rolls off the pad  .to square leg. Looked to me like it was going down leg, and India didn't even appeal  .forcefully for lbw, but they've taken a review here. Interesting. Very interesting, because  .I think it's missing leg stump by a long way, from the first replay. Ball tracking confirms  .it. Poor review from India",Bumrah,Ravindra,0.0,0,0,1,1,0.0,0,,0
"4.4 
• 
Bumrah to Ravindra, no run 
length ball angling in and finishing tight on off stump, defended into the off side",4.4,0,0.0,"Bumrah to Ravindra, no run  .length ball angling in and finishing tight on off stump, defended into the off side",Bumrah,Ravindra,0.0,0,0,1,1,0.0,0,,0
"4.5 
1 
Bumrah to Ravindra, 1 run 
length ball in the corridor, and Ravindra doesn't really get forward while trying to stab 
into the covers. Thick inside edge rolls into the backward square leg region 
Back over the wicket to Young.",4.5,1,1.0,"Bumrah to Ravindra, 1 run  .length ball in the corridor, and Ravindra doesn't really get forward while trying to stab  .into the covers. Thick inside edge rolls into the backward square leg region  .Back over the wicket to Young.",Bumrah,Ravindra,1.0,0,0,1,1,1.0,0,,1
"4.6 
• 
Bumrah to Young, no run 
and that's such a tight leave. Full, angling in a long way, and not far from off stump at 
all, but no harm done 
end of over 52 runs  
NZ: 11/1CRR: 2.20  
Will Young10 (14b 2x4) 
Rachin Ravindra1 (7b) 
Jasprit Bumrah 3-1-6-0 
Mohammed Siraj 2-1-5-1 
Siraj continues, over the wicket to Ravindra.",4.6,0,0.0,"Bumrah to Young, no run  .and that's such a tight leave. Full, angling in a long way, and not far from off stump at  .all, but no harm done",Bumrah,Young,0.0,0,0,1,1,0.0,0,,0
"5.1 
• 
Siraj to Ravindra, no run 
digs it in short now, angles it away from off stump. Looks to pull, can't really time it. 
Hammers it into the ground towards midwicket",5.1,0,0.0,"Siraj to Ravindra, no run  .digs it in short now, angles it away from off stump. Looks to pull, can't really time it.  .Hammers it into the ground towards midwicket",Siraj,Ravindra,0.0,0,0,1,1,0.0,0,,0
"5.2 
• 
Siraj to Ravindra, no run 
there's that scrambled-seam offcutter. Length ball, slanting across, and it moves away a 
long way to beat Ravindra's attempted on-the-up punch",5.2,0,0.0,"Siraj to Ravindra, no run  .there's that scrambled-seam offcutter. Length ball, slanting across, and it moves away a  .long way to beat Ravindra's attempted on-the-up punch",Siraj,Ravindra,0.0,0,0,1,1,0.0,0,,0
"5.3 
1 
Siraj to Ravindra, 1 run 
length ball angling across to off stump, defended with soft hands towards cover point, 
where Suryakumar fumbles a straightforward pick-up and concedes the single",5.3,1,1.0,"Siraj to Ravindra, 1 run  .length ball angling across to off stump, defended with soft hands towards cover point,  .where Suryakumar fumbles a straightforward pick-up and concedes the single",Siraj,Ravindra,1.0,0,0,1,1,1.0,0,,1
"5.4 
• 
Siraj to Young, no run 
full, angling in towards off stump, maybe nips in a little too. Siraj ends up with his hands 
on his head even though Young defends it solidly, because his front pad came a long 
way across and put him in position where a little more movement could have left him 
vulnerable to lbw",5.4,0,0.0,"Siraj to Young, no run  .full, angling in towards off stump, maybe nips in a little too. Siraj ends up with his hands  .on his head even though Young defends it solidly, because his front pad came a long  .way across and put him in position where a little more movement could have left him  .vulnerable to lbw",Siraj,Young,0.0,0,0,1,1,0.0,0,,0
"5.5 
1 
Siraj to Young, 1 run 
back of a length close to off stump, rides the bounce and defends into the point region",5.5,1,1.0,"Siraj to Young, 1 run  .back of a length close to off stump, rides the bounce and defends into the point region",Siraj,Young,1.0,0,0,1,1,1.0,0,,1
