raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Amir to McCullum, no run 
short in length, around the off stump line, defended back to the bowler",0.1,0,0.0,"Amir to McCullum, no run  .short in length, around the off stump line, defended back to the bowler",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Amir to McCullum, no run 
fuller, just outside off, left alone",0.2,0,0.0,"Amir to McCullum, no run  .fuller, just outside off, left alone",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.3 
2lb 
Amir to McCullum, 2 leg byes 
short in length, on the leg stump line, McCullum goes for the pull but doesn't connect 
and the ball bounds off his body to fine-leg region",0.3,2lb,2.0,"Amir to McCullum, 2 leg byes  .short in length, on the leg stump line, McCullum goes for the pull but doesn't connect  .and the ball bounds off his body to fine-leg region",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Amir to McCullum, no run 
bouncing delivery angling across McCullum who tries to get back and across but is 
beaten for pace",0.4,0,0.0,"Amir to McCullum, no run  .bouncing delivery angling across McCullum who tries to get back and across but is  .beaten for pace",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Amir to McCullum, no run 
lovely delivery, curving in from around the off stump, McCullum stabs it off the inner 
edge to back thigh",0.5,0,0.0,"Amir to McCullum, no run  .lovely delivery, curving in from around the off stump, McCullum stabs it off the inner  .edge to back thigh",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Amir to McCullum, no run 
walks down the track, gets a short-of-length delivery, guided out to backward point 
end of over 1Maiden 
NZ: 2/0CRR: 2.00 • RRR: 5.83 
Brendon McCullum0 (6b) 
Aaron Redmond0 (0b) 
Mohammad Amir 1-1-0-0",0.6,0,0.0,"Amir to McCullum, no run  .walks down the track, gets a short-of-length delivery, guided out to backward point",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Umar Gul to Redmond, no run 
really full delivery, just outside off, it goes under the bat, under the drive, and to the 
keeper",1.1,0,0.0,"Umar Gul to Redmond, no run  .really full delivery, just outside off, it goes under the bat, under the drive, and to the  .keeper",Umar Gul,Redmond,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Umar Gul to Redmond, no run 
short in length, straightening outside off stump, left alone",1.2,0,0.0,"Umar Gul to Redmond, no run  .short in length, straightening outside off stump, left alone",Umar Gul,Redmond,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Umar Gul to Redmond, no run 
short in length, in the zone outside off, left alone",1.3,0,0.0,"Umar Gul to Redmond, no run  .short in length, in the zone outside off, left alone",Umar Gul,Redmond,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Umar Gul to Redmond, no run 
beaten outside off. This one curves away late, Redmond has a waft but ...",1.4,0,0.0,"Umar Gul to Redmond, no run  .beaten outside off. This one curves away late, Redmond has a waft but ...",Umar Gul,Redmond,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Umar Gul to Redmond, no run 
And again. It straightens from short of length and Redmond ends up pushing inside the 
line",1.5,0,0.0,"Umar Gul to Redmond, no run  .And again. It straightens from short of length and Redmond ends up pushing inside the  .line",Umar Gul,Redmond,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Umar Gul to Redmond, no run 
on the off stump line, jabbed off the inner edge. Fine probing over 
end of over 2Maiden 
NZ: 2/0CRR: 1.00 • RRR: 5.95 
Aaron Redmond0 (6b) 
Brendon McCullum0 (6b) 
Umar Gul 1-1-0-0 
Mohammad Amir 1-1-0-0",1.6,0,0.0,"Umar Gul to Redmond, no run  .on the off stump line, jabbed off the inner edge. Fine probing over",Umar Gul,Redmond,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Amir to McCullum, no run 
length delivery straightening on the stumps, McCullum is clueless and is rapped high on 
the pad ..",2.1,0,0.0,"Amir to McCullum, no run  .length delivery straightening on the stumps, McCullum is clueless and is rapped high on  .the pad ..",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"2.2 
1 
Amir to McCullum, 1 run 
fuller, around the off stump, curves in, Baz goes for a cover drive but is beaten by the 
inward movement and edges it to the on side",2.2,1,1.0,"Amir to McCullum, 1 run  .fuller, around the off stump, curves in, Baz goes for a cover drive but is beaten by the  .inward movement and edges it to the on side",Amir,McCullum,1.0,0,0,1,1,1.0,0,,1
"2.3 
1 
Amir to Redmond, 1 run 
full inswinging delivery around off, driven to left of mid-off",2.3,1,1.0,"Amir to Redmond, 1 run  .full inswinging delivery around off, driven to left of mid-off",Amir,Redmond,1.0,0,0,1,1,1.0,0,,1
"2.4 
1lb 
Amir to McCullum, 1 leg bye 
walks across, tries to short-arm pull a short-of-length delviery but is beaten for pace 
again. Aamer gets the ball to skid on really quick and that skiddy pace is upsetting 
Mccullum's rhythm",2.4,1lb,1.0,"Amir to McCullum, 1 leg bye  .walks across, tries to short-arm pull a short-of-length delviery but is beaten for pace  .again. Aamer gets the ball to skid on really quick and that skiddy pace is upsetting  .Mccullum's rhythm",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Amir to Redmond, no run 
this one angles away from Redmond who has a flash at it but misses",2.5,0,0.0,"Amir to Redmond, no run  .this one angles away from Redmond who has a flash at it but misses",Amir,Redmond,0.0,0,0,1,1,0.0,0,,0
