raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Amir to McCullum, no run 
loud shout for lbw. That was close. It landed back of length, on the leg and middle and 
hit him high in front of middle. The height must have saved him there.",0.1,0,0.0,"Amir to McCullum, no run  .loud shout for lbw. That was close. It landed back of length, on the leg and middle and  .hit him high in front of middle. The height must have saved him there.",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Amir to McCullum, no run 
walks out and drives straight to short cover",0.2,0,0.0,"Amir to McCullum, no run  .walks out and drives straight to short cover",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Amir to McCullum, 1 run 
shuffles across, gets the ball from around off and middle and flicks it for a single",0.3,1,1.0,"Amir to McCullum, 1 run  .shuffles across, gets the ball from around off and middle and flicks it for a single",Amir,McCullum,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Amir to Redmond, no run 
around the off stump, bit of inswing, Aaron Redmond pushes it out to the off side.",0.4,0,0.0,"Amir to Redmond, no run  .around the off stump, bit of inswing, Aaron Redmond pushes it out to the off side.",Amir,Redmond,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Amir to Redmond, no run 
around the off stump, shaping away this time, Redmond leans across to defend to the 
off side",0.5,0,0.0,"Amir to Redmond, no run  .around the off stump, shaping away this time, Redmond leans across to defend to the  .off side",Amir,Redmond,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Amir to Redmond, FOUR runs 
cracking square drive. Fullish, pushed across Redmond who plays it past the diving 
point fielder 
end of over 15 runs  
NZ: 5/0CRR: 5.00  
Aaron Redmond4 (3b 1x4) 
Brendon McCullum1 (3b) 
Mohammad Amir 1-0-5-0 
I am Sriram Veera, your commentator today and Binoy George & Sanjay Murari are on 
the scoring duty.",0.6,4,4.0,"Amir to Redmond, FOUR runs  .cracking square drive. Fullish, pushed across Redmond who plays it past the diving  .point fielder",Amir,Redmond,4.0,1,0,1,1,4.0,0,,1
"1.1 
• 
Umar Gul to McCullum, no run 
lovely delivery, moving away late and McCullum is beaten, pushing inside the line 
Hussam: ""Can you tell me why Umar Akmal is left out? Surely you can't axe a guy after 
one failure. This is very damaging."" Well. Younis at the toss said it was part of the 
rotation policy. Make what you want of it.",1.1,0,0.0,"Umar Gul to McCullum, no run  .lovely delivery, moving away late and McCullum is beaten, pushing inside the line",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Umar Gul to McCullum, no run 
lands on a length outside off and goes to the keeper",1.2,0,0.0,"Umar Gul to McCullum, no run  .lands on a length outside off and goes to the keeper",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Umar Gul to McCullum, no run 
full in length, straightening on the middle stump line. pushed back to the bowler",1.3,0,0.0,"Umar Gul to McCullum, no run  .full in length, straightening on the middle stump line. pushed back to the bowler",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Umar Gul to McCullum, no run 
walks across to the off side and shoulders arms",1.4,0,0.0,"Umar Gul to McCullum, no run  .walks across to the off side and shoulders arms",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Umar Gul to McCullum, no run 
his back foot is in line with the middle stump and he places the bat down on the ground 
outside the off stump. He gets behind the line of this length delivery to defend",1.5,0,0.0,"Umar Gul to McCullum, no run  .his back foot is in line with the middle stump and he places the bat down on the ground  .outside the off stump. He gets behind the line of this length delivery to defend",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.6 
1 
Umar Gul to McCullum, 1 run 
around the off stump, pushed to extra cover for a single 
end of over 21 run  
NZ: 6/0CRR: 3.00  
Brendon McCullum2 (9b) 
Aaron Redmond4 (3b 1x4) 
Umar Gul 1-0-1-0 
Mohammad Amir 1-0-5-0 
Jon: ""Broom in - hope he can get a good score and start to justify his place (if required, 
no doubt he will be...). Also picking Millsy and Bondy to claim a few wickets in the first 
10 overs of Pakistan's innings..""",1.6,1,1.0,"Umar Gul to McCullum, 1 run  .around the off stump, pushed to extra cover for a single",Umar Gul,McCullum,1.0,0,0,1,1,1.0,0,,1
"2.1 
• 
Amir to McCullum, no run 
moves forward and jabs it out to the off side",2.1,0,0.0,"Amir to McCullum, no run  .moves forward and jabs it out to the off side",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Amir to McCullum, no run 
walks down the track and a has a big slog across the line but can't get bat on ball...",2.2,0,0.0,"Amir to McCullum, no run  .walks down the track and a has a big slog across the line but can't get bat on ball...",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"2.3 
2 
Amir to McCullum, 2 runs 
shuffles across to clip a back-of-length delivery to deep square-leg region",2.3,2,2.0,"Amir to McCullum, 2 runs  .shuffles across to clip a back-of-length delivery to deep square-leg region",Amir,McCullum,2.0,0,0,1,1,2.0,0,,1
"2.4 
4lb 
Amir to McCullum, 4 leg byes 
shout for lbw but turned down. Again, McCullum was on the shuffle and is hit in front of 
leg and middle. But it pitched outside leg stump",2.4,4lb,4.0,"Amir to McCullum, 4 leg byes  .shout for lbw but turned down. Again, McCullum was on the shuffle and is hit in front of  .leg and middle. But it pitched outside leg stump",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Amir to McCullum, no run 
bangs it in short, McCullum drops his wrists, gets the bat out of the way and sways 
away",2.5,0,0.0,"Amir to McCullum, no run  .bangs it in short, McCullum drops his wrists, gets the bat out of the way and sways  .away",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"2.6 
2 
Amir to McCullum, 2 runs 
on the middle stump line, worked towards deep backward square-leg and runs hard to 
come back for the second 
end of over 38 runs  
NZ: 14/0CRR: 4.66  
Brendon McCullum6 (15b) 
Aaron Redmond4 (3b 1x4) 
Mohammad Amir 2-0-9-0 
Umar Gul 1-0-1-0 
Phil: ""Comon' Baz - show some form and put my concerns to rest! Otherwise, someone 
please shift him back to the middle order..""",2.6,2,2.0,"Amir to McCullum, 2 runs  .on the middle stump line, worked towards deep backward square-leg and runs hard to  .come back for the second",Amir,McCullum,2.0,0,0,1,1,2.0,0,,1
"3.1 
1 
Umar Gul to Redmond, 1 run 
on the middle stump line, pushed towards mid-on and he scampers across and dives in 
the end to get inside the crease",3.1,1,1.0,"Umar Gul to Redmond, 1 run  .on the middle stump line, pushed towards mid-on and he scampers across and dives in  .the end to get inside the crease",Umar Gul,Redmond,1.0,0,0,1,1,1.0,0,,1
"3.2 
4 
Umar Gul to McCullum, FOUR runs 
Shot. It was the bouncer and McCullum plays a lovely crunchy pull shot. Perhaps. Gul 
thought McCullum would be advancing down the track",3.2,4,4.0,"Umar Gul to McCullum, FOUR runs  .Shot. It was the bouncer and McCullum plays a lovely crunchy pull shot. Perhaps. Gul  .thought McCullum would be advancing down the track",Umar Gul,McCullum,4.0,1,0,1,1,4.0,0,,1
"3.3 
1 
Umar Gul to McCullum, 1 run 
back of length, outside the off stump, McCullum gets the bottom edge on the cut shot",3.3,1,1.0,"Umar Gul to McCullum, 1 run  .back of length, outside the off stump, McCullum gets the bottom edge on the cut shot",Umar Gul,McCullum,1.0,0,0,1,1,1.0,0,,1
"3.4 
• 
Umar Gul to Redmond, no run 
just outside off stump, defended to cover",3.4,0,0.0,"Umar Gul to Redmond, no run  .just outside off stump, defended to cover",Umar Gul,Redmond,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
Umar Gul to Redmond, no run 
leans forward to defend a length delivery",3.5,0,0.0,"Umar Gul to Redmond, no run  .leans forward to defend a length delivery",Umar Gul,Redmond,0.0,0,0,1,1,0.0,0,,0
"3.6 
1 
Umar Gul to Redmond, 1 run 
back of length, on the middle, tapped close on the leg side and off they go for the quick 
single 
Owais: ""Butt is still in and Umer Akmal is out ? how about you promote Kamran Akmal 
to open, get rid of Butt and strengthen your middle order by having both Malik and Umer 
in there? .."" 
end of over 47 runs  
NZ: 21/0CRR: 5.25  
Aaron Redmond6 (7b 1x4) 
Brendon McCullum11 (17b 1x4) 
Umar Gul 2-0-8-0 
Mohammad Amir 2-0-9-0",3.6,1,1.0,"Umar Gul to Redmond, 1 run  .back of length, on the middle, tapped close on the leg side and off they go for the quick  .single",Umar Gul,Redmond,1.0,0,0,1,1,1.0,0,,1
"4.1 
W 
Amir to Redmond, OUT 
Full in length, moving across Redmond who tries to lift it over the off-side field but 
mistimes it straight to mid-off. The bat-face wobbled at the point of impact and he 
couldn't time or provide any power to that shot. 
Aaron Redmond c Younis Khan b Mohammad Amir 6 (8b 1x4 0x6 18m) SR: 75 
Chris: ""For me Khalid Latif was the unsung hero of the 1st ODI in only his second ODI he 
held his end together with wickets tumbling at the other end allowing a platform to be 
build for the onslaught at the end of the innings.""",4.1,W,0.0,"Amir to Redmond, OUT  .Full in length, moving across Redmond who tries to lift it over the off-side field but  .mistimes it straight to mid-off. The bat-face wobbled at the point of impact and he  .couldn't time or provide any power to that shot.  .Aaron Redmond c Younis Khan b Mohammad Amir 6 (8b 1x4 0x6 18m) SR: 75",Amir,Redmond,0.0,0,0,1,1,0.0,1,c Younis Khan b Mohammad Amir,0
"4.2 
• 
Amir to Guptill, no run 
moving away from the batsman who pushes inside the line and Kamran collects",4.2,0,0.0,"Amir to Guptill, no run  .moving away from the batsman who pushes inside the line and Kamran collects",Amir,Guptill,0.0,0,0,1,1,0.0,0,,0
"4.3 
4 
Amir to Guptill, FOUR runs 
fullish, on the middle, trying to get the lbw but Guptill is alert, makes sure the front leg 
doesn't come in the way and whips the ball through midwicket",4.3,4,4.0,"Amir to Guptill, FOUR runs  .fullish, on the middle, trying to get the lbw but Guptill is alert, makes sure the front leg  .doesn't come in the way and whips the ball through midwicket",Amir,Guptill,4.0,1,0,1,1,4.0,0,,1
"4.4 
• 
Amir to Guptill, no run 
lands on a length around off and moves away further, left alone",4.4,0,0.0,"Amir to Guptill, no run  .lands on a length around off and moves away further, left alone",Amir,Guptill,0.0,0,0,1,1,0.0,0,,0
