raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Boult to Abdullah Shafique, no run 
a little bit of shape in off a length. Defended",0.1,0,0.0,"Boult to Abdullah Shafique, no run  .a little bit of shape in off a length. Defended",Boult,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Boult to Abdullah Shafique, no run 
another one around that good length that's driven to mid-on",0.2,0,0.0,"Boult to Abdullah Shafique, no run  .another one around that good length that's driven to mid-on",Boult,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.3 
4 
Boult to Abdullah Shafique, FOUR runs 
picked up over midwicket. Didn't get all of it and looked risky, but these are the kinds of 
risks Pakistan will simply have to take. Runs away for four",0.3,4,4.0,"Boult to Abdullah Shafique, FOUR runs  .picked up over midwicket. Didn't get all of it and looked risky, but these are the kinds of  .risks Pakistan will simply have to take. Runs away for four",Boult,Abdullah Shafique,4.0,1,0,1,1,4.0,0,,1
"0.4 
• 
Boult to Abdullah Shafique, no run 
inswinging yorker, something of a low full toss. Driven to midwicket",0.4,0,0.0,"Boult to Abdullah Shafique, no run  .inswinging yorker, something of a low full toss. Driven to midwicket",Boult,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Boult to Abdullah Shafique, no run 
this one shapes the other way. Abdullah hung his bat out at it but fortunately for him, it 
was doing too much",0.5,0,0.0,"Boult to Abdullah Shafique, no run  .this one shapes the other way. Abdullah hung his bat out at it but fortunately for him, it  .was doing too much",Boult,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"0.6 
1w 
Boult to Abdullah Shafique, 1 wide 
loose shot, swing and a miss at a wide one. A little too wide for the umpire's liking",0.6,1w,1.0,"Boult to Abdullah Shafique, 1 wide  .loose shot, swing and a miss at a wide one. A little too wide for the umpire's liking",Boult,Abdullah Shafique,0.0,0,0,0,0,1.0,0,,1
"0.6 
• 
Boult to Abdullah Shafique, no run 
back of a length, worked to midwicket 
end of over 15 runs  
PAK: 5/0CRR: 5.00 • RRR: 8.10 • Need 397 runs from 49 overs 
Abdullah Shafique4 (6b 1x4) 
Fakhar Zaman0 (0b) 
Trent Boult 1-0-5-0",0.6,0,0.0,"Boult to Abdullah Shafique, no run  .back of a length, worked to midwicket",Boult,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Southee to Zaman, no run 
length ball to start up, Fakhar clips into the onside 
Kannan: ""Chasing 400 requires at least two big partnerships and cameos from others. I 
don't think Pakistan that fire power today."" 
Waseem : ""Ver easy chaes of you think like this, 200/0 in 30 and then t20 202 in 20?Wao 
""",1.1,0,0.0,"Southee to Zaman, no run  .length ball to start up, Fakhar clips into the onside",Southee,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Southee to Zaman, no run 
lands on leg stump and raps the pad high on the thigh",1.2,0,0.0,"Southee to Zaman, no run  .lands on leg stump and raps the pad high on the thigh",Southee,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Southee to Zaman, 1 run 
works it into the onside to get himself off the mark",1.3,1,1.0,"Southee to Zaman, 1 run  .works it into the onside to get himself off the mark",Southee,Zaman,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Southee to Abdullah Shafique, no run 
a bit of outward shape and Abdullah lets it go",1.4,0,0.0,"Southee to Abdullah Shafique, no run  .a bit of outward shape and Abdullah lets it go",Southee,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Southee to Abdullah Shafique, no run 
length delivery on fourth stump that he blocks",1.5,0,0.0,"Southee to Abdullah Shafique, no run  .length delivery on fourth stump that he blocks",Southee,Abdullah Shafique,0.0,0,0,1,1,0.0,0,,0
