raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Amir to McCullum, 1 run 
off the mark, good line, just a fraction outside off, pushed wide of extra cover to pinch a 
quick single",0.1,1,1.0,"Amir to McCullum, 1 run  .off the mark, good line, just a fraction outside off, pushed wide of extra cover to pinch a  .quick single",Amir,McCullum,1.0,0,0,1,1,1.0,0,,1
"0.2 
1 
Amir to Redmond, 1 run 
short of a good length on the of, pushes at it off the back foot, gets a thick edge down 
to third man for a single",0.2,1,1.0,"Amir to Redmond, 1 run  .short of a good length on the of, pushes at it off the back foot, gets a thick edge down  .to third man for a single",Amir,Redmond,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Amir to McCullum, no run 
charges ahead, just a hint, and then opts to leave it go as it lands in the channel outside 
off",0.3,0,0.0,"Amir to McCullum, no run  .charges ahead, just a hint, and then opts to leave it go as it lands in the channel outside  .off",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Amir to McCullum, no run 
good length on the off,. driven crisply but straight to extra cover, well connected",0.4,0,0.0,"Amir to McCullum, no run  .good length on the off,. driven crisply but straight to extra cover, well connected",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Amir to McCullum, no run 
beaten, bowled at 135.9 kmph, darted away from a short of a good length on the off 
stump to just escape the outside edge as he tried to keep it down",0.5,0,0.0,"Amir to McCullum, no run  .beaten, bowled at 135.9 kmph, darted away from a short of a good length on the off  .stump to just escape the outside edge as he tried to keep it down",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Amir to McCullum, no run 
beaten again, much fuller this time, angling away from him, leaves him as he prods at it 
Nice start by Aamer, got a bit of movement and stuck to an accurate line, just in and 
around off 
end of over 12 runs  
NZ: 2/0CRR: 2.00  
Brendon McCullum1 (5b) 
Aaron Redmond1 (1b) 
Mohammad Amir 1-0-2-0 
Gul steams in 
Josh Cairns: ""Am I the only person that still beleives in Neil Broom? Whilst his run 
scoring ability currently seems to be in absentia, he continues to show plenty of 
gumption, particularly in the field. I predict he will come good today and make at least 
30, maybe even 35.""",0.6,0,0.0,"Amir to McCullum, no run  .beaten again, much fuller this time, angling away from him, leaves him as he prods at it  .Nice start by Aamer, got a bit of movement and stuck to an accurate line, just in and  .around off",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Umar Gul to Redmond, 1 run 
misfield! Pushed off the front foot to extra cover and a fumble allows them a single",1.1,1,1.0,"Umar Gul to Redmond, 1 run  .misfield! Pushed off the front foot to extra cover and a fumble allows them a single",Umar Gul,Redmond,1.0,0,0,1,1,1.0,0,,1
"1.2 
4 
Umar Gul to McCullum, FOUR runs 
driven on the up and firmly, pitched up outside off, he leans into it and cracks it wide of 
mid-off for the first boundary of the day",1.2,4,4.0,"Umar Gul to McCullum, FOUR runs  .driven on the up and firmly, pitched up outside off, he leans into it and cracks it wide of  .mid-off for the first boundary of the day",Umar Gul,McCullum,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
Umar Gul to McCullum, no run 
angling in towards middle, presents the straight bat while driving it towards mid-on",1.3,0,0.0,"Umar Gul to McCullum, no run  .angling in towards middle, presents the straight bat while driving it towards mid-on",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Umar Gul to McCullum, no run 
he's striking them well, fullish on the off, timed beautifully but straight to mid-off 
Looking to play straight is McCullum, the right way to go",1.4,0,0.0,"Umar Gul to McCullum, no run  .he's striking them well, fullish on the off, timed beautifully but straight to mid-off  .Looking to play straight is McCullum, the right way to go",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Umar Gul to McCullum, no run 
short of a good length on middle, maintains its line, not much movement for Gul here, 
pushed back to the bowler",1.5,0,0.0,"Umar Gul to McCullum, no run  .short of a good length on middle, maintains its line, not much movement for Gul here,  .pushed back to the bowler",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Umar Gul to McCullum, no run 
shortish on the off, slower one there, bowled at 116.9 kmph, punches it past the bowler 
to mid-off 
Steady start by Gul too, but Aamer was able to extract more out of the pitch and the 
conditions in his first over. Pretty nippy as well 
end of over 25 runs  
NZ: 7/0CRR: 3.50  
Brendon McCullum5 (10b 1x4) 
Aaron Redmond2 (2b) 
Umar Gul 1-0-5-0 
Mohammad Amir 1-0-2-0",1.6,0,0.0,"Umar Gul to McCullum, no run  .shortish on the off, slower one there, bowled at 116.9 kmph, punches it past the bowler  .to mid-off  .Steady start by Gul too, but Aamer was able to extract more out of the pitch and the  .conditions in his first over. Pretty nippy as well",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Amir to Redmond, no run 
fullish outside off, bowled at 135.7 kmph, leaves it be, not tempted into the drive",2.1,0,0.0,"Amir to Redmond, no run  .fullish outside off, bowled at 135.7 kmph, leaves it be, not tempted into the drive",Amir,Redmond,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Amir to Redmond, no run 
short of a good length outside off this time, just leaving him a hint, lets it go",2.2,0,0.0,"Amir to Redmond, no run  .short of a good length outside off this time, just leaving him a hint, lets it go",Amir,Redmond,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Amir to Redmond, no run 
shortish outside off, getting it to leave the right hander, he watches it through, opting to 
stay patient early on",2.3,0,0.0,"Amir to Redmond, no run  .shortish outside off, getting it to leave the right hander, he watches it through, opting to  .stay patient early on",Amir,Redmond,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Amir to Redmond, no run 
probing line, just a fraction outside off, defends it rock solid towards point",2.4,0,0.0,"Amir to Redmond, no run  .probing line, just a fraction outside off, defends it rock solid towards point",Amir,Redmond,0.0,0,0,1,1,0.0,0,,0
"2.5 
4 
Amir to Redmond, FOUR runs 
shortish outside off, plenty of width, slashes hard with a bent knee, flies off the outside 
edge over the slips wide of third man",2.5,4,4.0,"Amir to Redmond, FOUR runs  .shortish outside off, plenty of width, slashes hard with a bent knee, flies off the outside  .edge over the slips wide of third man",Amir,Redmond,4.0,1,0,1,1,4.0,0,,1
"2.6 
1 
Amir to Redmond, 1 run 
similar attempt, gets it much squarer this time,uppish but well wide of point, down 
towards third man for a single 
end of over 35 runs  
NZ: 12/0CRR: 4.00  
Aaron Redmond7 (8b 1x4) 
Brendon McCullum5 (10b 1x4) 
Mohammad Amir 2-0-7-0 
Umar Gul 1-0-5-0 
A slip in place and a short extra cover",2.6,1,1.0,"Amir to Redmond, 1 run  .similar attempt, gets it much squarer this time,uppish but well wide of point, down  .towards third man for a single",Amir,Redmond,1.0,0,0,1,1,1.0,0,,1
"3.1 
2 
Umar Gul to Redmond, 2 runs 
angling it on the pads, works it wide of mid-on for a couple of runs",3.1,2,2.0,"Umar Gul to Redmond, 2 runs  .angling it on the pads, works it wide of mid-on for a couple of runs",Umar Gul,Redmond,2.0,0,0,1,1,2.0,0,,1
"3.2 
• 
Umar Gul to Redmond, no run 
lands on a good length on the off, defended wide of extra cover, thinks of a single but 
he's sent back in time",3.2,0,0.0,"Umar Gul to Redmond, no run  .lands on a good length on the off, defended wide of extra cover, thinks of a single but  .he's sent back in time",Umar Gul,Redmond,0.0,0,0,1,1,0.0,0,,0
"3.3 
1lb 
Umar Gul to Redmond, 1 leg bye 
bangs it hard on middle, tries to work it square from the crease, rapped on the thighs, 
sneaks a run as it rolls over into the off side",3.3,1lb,1.0,"Umar Gul to Redmond, 1 leg bye  .bangs it hard on middle, tries to work it square from the crease, rapped on the thighs,  .sneaks a run as it rolls over into the off side",Umar Gul,Redmond,0.0,0,0,1,1,0.0,0,,0
"3.4 
• 
Umar Gul to McCullum, no run 
pushed it full on the off, defended watchfully to mid-off, bowled at 135 kmph",3.4,0,0.0,"Umar Gul to McCullum, no run  .pushed it full on the off, defended watchfully to mid-off, bowled at 135 kmph",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"3.5 
1 
Umar Gul to McCullum, 1 run 
short of a good length on the off, taps it back to the bowler who needlessly hurls it back 
onto the stumps at the striker's end, conceding a run off the ricochet in the process",3.5,1,1.0,"Umar Gul to McCullum, 1 run  .short of a good length on the off, taps it back to the bowler who needlessly hurls it back  .onto the stumps at the striker's end, conceding a run off the ricochet in the process",Umar Gul,McCullum,1.0,0,0,1,1,1.0,0,,1
"3.6 
• 
Umar Gul to Redmond, no run 
short on the off, chops it down towards point 
A sedate start by the openers, it's been a chanceless one. The Pakistan bowlers have 
bowled at a fair pace, but it's only Aamer who's looked threatening 
end of over 44 runs  
NZ: 16/0CRR: 4.00  
Aaron Redmond9 (12b 1x4) 
Brendon McCullum6 (12b 1x4) 
Umar Gul 2-0-8-0 
Mohammad Amir 2-0-7-0",3.6,0,0.0,"Umar Gul to Redmond, no run  .short on the off, chops it down towards point  .A sedate start by the openers, it's been a chanceless one. The Pakistan bowlers have  .bowled at a fair pace, but it's only Aamer who's looked threatening",Umar Gul,Redmond,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Amir to McCullum, no run 
short on the off and shoots off the pitch, tries to play the upper-cut, doesn't connect",4.1,0,0.0,"Amir to McCullum, no run  .short on the off and shoots off the pitch, tries to play the upper-cut, doesn't connect",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"4.2 
1 
Amir to McCullum, 1 run 
short of a length on the off, cuts it down towards point",4.2,1,1.0,"Amir to McCullum, 1 run  .short of a length on the off, cuts it down towards point",Amir,McCullum,1.0,0,0,1,1,1.0,0,,1
"4.3 
• 
Amir to Redmond, no run 
shortish on the off, gets back and taps it down onto the pitch",4.3,0,0.0,"Amir to Redmond, no run  .shortish on the off, gets back and taps it down onto the pitch",Amir,Redmond,0.0,0,0,1,1,0.0,0,,0
"4.4 
1 
Amir to Redmond, 1 run 
easily done, knocks it down just wide of extra cover and steals a run",4.4,1,1.0,"Amir to Redmond, 1 run  .easily done, knocks it down just wide of extra cover and steals a run",Amir,Redmond,1.0,0,0,1,1,1.0,0,,1
"4.5 
1 
Amir to McCullum, 1 run 
out comes the pull but doesn't connect it all too well, deliberately played it down 
towards fine leg for a single",4.5,1,1.0,"Amir to McCullum, 1 run  .out comes the pull but doesn't connect it all too well, deliberately played it down  .towards fine leg for a single",Amir,McCullum,1.0,0,0,1,1,1.0,0,,1
"4.6 
• 
Amir to Redmond, no run 
beaten for the third time in the innings by Aamer, testing length outside off and moves 
away after landing, beating his attempted push 
end of over 53 runs  
NZ: 19/0CRR: 3.80  
Aaron Redmond10 (15b 1x4) 
Brendon McCullum8 (15b 1x4) 
Mohammad Amir 3-0-10-0 
Umar Gul 2-0-8-0",4.6,0,0.0,"Amir to Redmond, no run  .beaten for the third time in the innings by Aamer, testing length outside off and moves  .away after landing, beating his attempted push",Amir,Redmond,0.0,0,0,1,1,0.0,0,,0
"5.1 
• 
Umar Gul to McCullum, no run 
short on the off, pushes it uppishly towards cover",5.1,0,0.0,"Umar Gul to McCullum, no run  .short on the off, pushes it uppishly towards cover",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"5.2 
• 
Umar Gul to McCullum, no run 
appeal for lbw, short of a good length outside off, darts in, first time for Gul, gets across 
the line to work it past midwicket, gets an inside edge onto his pads, that can't be given",5.2,0,0.0,"Umar Gul to McCullum, no run  .appeal for lbw, short of a good length outside off, darts in, first time for Gul, gets across  .the line to work it past midwicket, gets an inside edge onto his pads, that can't be given",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"5.3 
• 
Umar Gul to McCullum, no run 
shortish on the off, punched off the back foot to cover",5.3,0,0.0,"Umar Gul to McCullum, no run  .shortish on the off, punched off the back foot to cover",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"5.4 
1lb 
Umar Gul to McCullum, 1 leg bye 
goes for the pull but it comes onto him a little too quickly, short on middle, tries to 
smack it past square, is struck on the chest 
Just a trickle of fans at the ground, a very low turnout for the decider; it should swell by 
the time Pakistan begin their chase",5.4,1lb,1.0,"Umar Gul to McCullum, 1 leg bye  .goes for the pull but it comes onto him a little too quickly, short on middle, tries to  .smack it past square, is struck on the chest  .Just a trickle of fans at the ground, a very low turnout for the decider; it should swell by  .the time Pakistan begin their chase",Umar Gul,McCullum,0.0,0,0,1,1,0.0,0,,0
"5.5 
• 
Umar Gul to Redmond, no run",5.5,0,0.0,"Umar Gul to Redmond, no run",Umar Gul,Redmond,0.0,0,0,1,1,0.0,0,,0
"5.6 
• 
Umar Gul to Redmond, no run 
full on the off, drives it with a bit of a flourish past the outstretched hands of Gul down 
to mid-off where a diving stop saves a few runs 
end of over 6Maiden 
NZ: 20/0CRR: 3.33  
Aaron Redmond10 (17b 1x4) 
Brendon McCullum8 (19b 1x4) 
Umar Gul 3-1-8-0 
Mohammad Amir 3-0-10-0",5.6,0,0.0,"Umar Gul to Redmond, no run  .full on the off, drives it with a bit of a flourish past the outstretched hands of Gul down  .to mid-off where a diving stop saves a few runs",Umar Gul,Redmond,0.0,0,0,1,1,0.0,0,,0
"6.1 
1 
Amir to McCullum, 1 run 
shortish on the off, guides it down to third man for a single",6.1,1,1.0,"Amir to McCullum, 1 run  .shortish on the off, guides it down to third man for a single",Amir,McCullum,1.0,0,0,1,1,1.0,0,,1
"6.2 
• 
Amir to Redmond, no run 
play and a miss, short and wide, slashes at it, doesn't make contact",6.2,0,0.0,"Amir to Redmond, no run  .play and a miss, short and wide, slashes at it, doesn't make contact",Amir,Redmond,0.0,0,0,1,1,0.0,0,,0
"6.3 
1 
Amir to Redmond, 1 run 
short of a good length on the off, eases it past a diving point for a single to third man",6.3,1,1.0,"Amir to Redmond, 1 run  .short of a good length on the off, eases it past a diving point for a single to third man",Amir,Redmond,1.0,0,0,1,1,1.0,0,,1
"6.4 
• 
Amir to McCullum, no run 
fooled by the slightly slower one, the offcutter at 125 kmph, swung hard at it but it cut 
away to roll down to the keeper",6.4,0,0.0,"Amir to McCullum, no run  .fooled by the slightly slower one, the offcutter at 125 kmph, swung hard at it but it cut  .away to roll down to the keeper",Amir,McCullum,0.0,0,0,1,1,0.0,0,,0
"6.5 
4 
Amir to McCullum, FOUR runs 
connects this time, came onto him at the right pace, short on the off and he got into 
position early, rocking forward and smashing it over square leg",6.5,4,4.0,"Amir to McCullum, FOUR runs  .connects this time, came onto him at the right pace, short on the off and he got into  .position early, rocking forward and smashing it over square leg",Amir,McCullum,4.0,1,0,1,1,4.0,0,,1
