raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Bilal Khan to Vikramjit Singh, 1 run 
Off the mark straight away. Edged though. This was slightly shorter of a good length on 
off, shaping away and squares Singh right up. It grabs the edge but falls short of first 
slip, who fumbles and allows the single 
See all photos",0.1,1,1.0,"Bilal Khan to Vikramjit Singh, 1 run  .Off the mark straight away. Edged though. This was slightly shorter of a good length on  .off, shaping away and squares Singh right up. It grabs the edge but falls short of first  .slip, who fumbles and allows the single  .See all photos",Bilal Khan,Vikramjit Singh,1.0,0,0,1,1,1.0,0,,1
"0.2 
2 
Bilal Khan to O'Dowd, 2 runs 
short of a length on the pads, tucked behind square leg for a couple",0.2,2,2.0,"Bilal Khan to O'Dowd, 2 runs  .short of a length on the pads, tucked behind square leg for a couple",Bilal Khan,O'Dowd,2.0,0,0,1,1,2.0,0,,1
"0.3 
• 
Bilal Khan to O'Dowd, no run 
good length on off, nice shape back in. Defended on the front foot",0.3,0,0.0,"Bilal Khan to O'Dowd, no run  .good length on off, nice shape back in. Defended on the front foot",Bilal Khan,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Bilal Khan to O'Dowd, no run 
fuller this time, another inducker. Defended in front of off",0.4,0,0.0,"Bilal Khan to O'Dowd, no run  .fuller this time, another inducker. Defended in front of off",Bilal Khan,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Bilal Khan to O'Dowd, no run 
good length just outside off, holds it's line this time. Defended towards point",0.5,0,0.0,"Bilal Khan to O'Dowd, no run  .good length just outside off, holds it's line this time. Defended towards point",Bilal Khan,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Bilal Khan to O'Dowd, no run 
good length on middle and leg, worked straight at short midwicket 
end of over 13 runs  
NED: 3/0CRR: 3.00  
Max O'Dowd2 (5b) 
Vikramjit Singh1 (1b) 
Bilal Khan 1-0-3-0 
Kaleemullah now, right-arm over",0.6,0,0.0,"Bilal Khan to O'Dowd, no run  .good length on middle and leg, worked straight at short midwicket",Bilal Khan,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Kaleemullah to Vikramjit Singh, no run 
back of a length on leg, defended on the back foot",1.1,0,0.0,"Kaleemullah to Vikramjit Singh, no run  .back of a length on leg, defended on the back foot",Kaleemullah,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Kaleemullah to Vikramjit Singh, no run 
fuller just outside off, driven to extra cover",1.2,0,0.0,"Kaleemullah to Vikramjit Singh, no run  .fuller just outside off, driven to extra cover",Kaleemullah,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Kaleemullah to Vikramjit Singh, no run 
back of a length on off, punched back towards mid-off 
Commentators observing that Kaleemullah has a similar action and run-up to former Sri 
Lankan fast bowler Dilhara Fernando. Yup, I see it.",1.3,0,0.0,"Kaleemullah to Vikramjit Singh, no run  .back of a length on off, punched back towards mid-off  .Commentators observing that Kaleemullah has a similar action and run-up to former Sri  .Lankan fast bowler Dilhara Fernando. Yup, I see it.",Kaleemullah,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Kaleemullah to Vikramjit Singh, no run 
good length on off, defended on the front foot",1.4,0,0.0,"Kaleemullah to Vikramjit Singh, no run  .good length on off, defended on the front foot",Kaleemullah,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Kaleemullah to Vikramjit Singh, no run 
good length on off, hint of shape back in. Driven to mid-off",1.5,0,0.0,"Kaleemullah to Vikramjit Singh, no run  .good length on off, hint of shape back in. Driven to mid-off",Kaleemullah,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Kaleemullah to Vikramjit Singh, no run 
full on off, 124kph, driven to the right of mid-off this time but he gets across quickly and 
stops the single 
end of over 2Maiden 
NED: 3/0CRR: 1.50  
Vikramjit Singh1 (7b) 
Max O'Dowd2 (5b) 
Kaleemullah 1-1-0-0 
Bilal Khan 1-0-3-0",1.6,0,0.0,"Kaleemullah to Vikramjit Singh, no run  .full on off, 124kph, driven to the right of mid-off this time but he gets across quickly and  .stops the single",Kaleemullah,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"2.1 
1 
Bilal Khan to O'Dowd, 1 run 
slightly back of a length just outside off, stays back and pushes this to the right of point 
for a quick single",2.1,1,1.0,"Bilal Khan to O'Dowd, 1 run  .slightly back of a length just outside off, stays back and pushes this to the right of point  .for a quick single",Bilal Khan,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"2.2 
1 
Bilal Khan to Vikramjit Singh, 1 run 
good length on the stumps, pitches middle and shapes away a touch. Singh is caught 
on the crease defending. But it's with soft hands so the outside edge goes low down 
towards third man",2.2,1,1.0,"Bilal Khan to Vikramjit Singh, 1 run  .good length on the stumps, pitches middle and shapes away a touch. Singh is caught  .on the crease defending. But it's with soft hands so the outside edge goes low down  .towards third man",Bilal Khan,Vikramjit Singh,1.0,0,0,1,1,1.0,0,,1
