raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bilal Khan to Bhurtel, no run",0.1,0,0.0,"Bilal Khan to Bhurtel, no run",Bilal Khan,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Bilal Khan to Bhurtel, no run",0.2,0,0.0,"Bilal Khan to Bhurtel, no run",Bilal Khan,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Bilal Khan to Bhurtel, no run",0.3,0,0.0,"Bilal Khan to Bhurtel, no run",Bilal Khan,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Bilal Khan to Bhurtel, no run",0.4,0,0.0,"Bilal Khan to Bhurtel, no run",Bilal Khan,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Bilal Khan to Bhurtel, no run",0.5,0,0.0,"Bilal Khan to Bhurtel, no run",Bilal Khan,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Bilal Khan to Bhurtel, no run 
end of over 1Maiden 
NEP: 0/0CRR: 0.00  
Kushal Bhurtel0 (6b) 
Aasif Sheikh0 (0b) 
Bilal Khan 1-1-0-0",0.6,0,0.0,"Bilal Khan to Bhurtel, no run",Bilal Khan,Bhurtel,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Kaleemullah to Aasif Sheikh, no run",1.1,0,0.0,"Kaleemullah to Aasif Sheikh, no run",Kaleemullah,Aasif Sheikh,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Kaleemullah to Aasif Sheikh, no run",1.2,0,0.0,"Kaleemullah to Aasif Sheikh, no run",Kaleemullah,Aasif Sheikh,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Kaleemullah to Aasif Sheikh, no run",1.3,0,0.0,"Kaleemullah to Aasif Sheikh, no run",Kaleemullah,Aasif Sheikh,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Kaleemullah to Aasif Sheikh, no run",1.4,0,0.0,"Kaleemullah to Aasif Sheikh, no run",Kaleemullah,Aasif Sheikh,0.0,0,0,1,1,0.0,0,,0
