raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Watt to Prajapati, no run 
full on sixth stump. Pushed to point off the outside half of the bat",0.1,0,0.0,"Watt to Prajapati, no run  .full on sixth stump. Pushed to point off the outside half of the bat",Watt,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Watt to Prajapati, no run 
good length just outside off, and it goes on with the arm. He tried to poke, but was 
beaten",0.2,0,0.0,"Watt to Prajapati, no run  .good length just outside off, and it goes on with the arm. He tried to poke, but was  .beaten",Watt,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Watt to Prajapati, no run 
shortish ball, angled in, and ends on off. Punched to cover",0.3,0,0.0,"Watt to Prajapati, no run  .shortish ball, angled in, and ends on off. Punched to cover",Watt,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Watt to Prajapati, 1 run 
very full on leg, and nudged to deep square leg to get going",0.4,1,1.0,"Watt to Prajapati, 1 run  .very full on leg, and nudged to deep square leg to get going",Watt,Prajapati,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Watt to Jatinder, no run 
shortish and wider of off. Finds cover with his slap",0.5,0,0.0,"Watt to Jatinder, no run  .shortish and wider of off. Finds cover with his slap",Watt,Jatinder,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Watt to Jatinder, no run 
much fuller on off, and tapped down 
end of over 11 run  
OMA: 1/0CRR: 1.00 • RRR: 6.53 • Need 320 runs from 49 overs 
Jatinder Singh0 (2b) 
Kashyap Prajapati1 (4b) 
Mark Watt 1-0-1-0 
Sole from the other end. Two slip there.",0.6,0,0.0,"Watt to Jatinder, no run  .much fuller on off, and tapped down",Watt,Jatinder,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Sole to Prajapati, no run 
hard length first up, as it skids through from outside off to end on middle and leg. 
Dabbed down with the closed face of the bat",1.1,0,0.0,"Sole to Prajapati, no run  .hard length first up, as it skids through from outside off to end on middle and leg.  .Dabbed down with the closed face of the bat",Sole,Prajapati,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Sole to Prajapati, no run 
shorter side of a length, and wide of off. Angles in later, after the batter lets it go",1.2,0,0.0,"Sole to Prajapati, no run  .shorter side of a length, and wide of off. Angles in later, after the batter lets it go",Sole,Prajapati,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Sole to Prajapati, no run 
goes on a length on fifth stump, as Jatinder tried to push but was beaten, with the ball 
passing the outside edge",1.3,0,0.0,"Sole to Prajapati, no run  .goes on a length on fifth stump, as Jatinder tried to push but was beaten, with the ball  .passing the outside edge",Sole,Prajapati,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Sole to Prajapati, no run 
another push and a miss. This time the length was fuller than the previous ball, and the 
line was wide of off. Jatinder went flaying away from his body, but missed",1.4,0,0.0,"Sole to Prajapati, no run  .another push and a miss. This time the length was fuller than the previous ball, and the  .line was wide of off. Jatinder went flaying away from his body, but missed",Sole,Prajapati,0.0,0,0,1,1,0.0,0,,0
"1.5 
1lb 
Sole to Prajapati, 1 leg bye 
good length ball, which angles in to take his pad toward an imaginary short fine, as he 
misses his flick",1.5,1lb,1.0,"Sole to Prajapati, 1 leg bye  .good length ball, which angles in to take his pad toward an imaginary short fine, as he  .misses his flick",Sole,Prajapati,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Sole to Jatinder, no run 
full ball in the channel outside off, shapes back in. Appeal for leg before, but that 
seemed to be heading down 
end of over 2Maiden 
OMA: 2/0CRR: 1.00 • RRR: 6.64 • Need 319 runs from 48 overs 
Jatinder Singh0 (3b) 
Kashyap Prajapati1 (9b) 
Chris Sole 1-1-0-0 
Mark Watt 1-0-1-0",1.6,0,0.0,"Sole to Jatinder, no run  .full ball in the channel outside off, shapes back in. Appeal for leg before, but that  .seemed to be heading down",Sole,Jatinder,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Watt to Prajapati, no run 
full and slower on off. Pushed towards cover, and is sent back",2.1,0,0.0,"Watt to Prajapati, no run  .full and slower on off. Pushed towards cover, and is sent back",Watt,Prajapati,0.0,0,0,1,1,0.0,0,,0
