raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
2 
Junaid Siddique to Prajapati, 2 runs",0.1,2,2.0,"Junaid Siddique to Prajapati, 2 runs",Junaid Siddique,Prajapati,2.0,0,0,1,1,2.0,0,,1
"0.2 
4 
Junaid Siddique to Prajapati, FOUR runs",0.2,4,4.0,"Junaid Siddique to Prajapati, FOUR runs",Junaid Siddique,Prajapati,4.0,1,0,1,1,4.0,0,,1
"0.3 
• 
Junaid Siddique to Prajapati, no run",0.3,0,0.0,"Junaid Siddique to Prajapati, no run",Junaid Siddique,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Junaid Siddique to Prajapati, no run",0.4,0,0.0,"Junaid Siddique to Prajapati, no run",Junaid Siddique,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Junaid Siddique to Prajapati, no run",0.5,0,0.0,"Junaid Siddique to Prajapati, no run",Junaid Siddique,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Junaid Siddique to Prajapati, FOUR runs 
end of over 110 runs  
OMA: 10/0CRR: 10.00 • RRR: 4.63 
Kashyap Prajapati10 (6b 2x4) 
Jatinder Singh0 (0b) 
Junaid Siddique 1-0-10-0",0.6,4,4.0,"Junaid Siddique to Prajapati, FOUR runs",Junaid Siddique,Prajapati,4.0,1,0,1,1,4.0,0,,1
"1.1 
• 
Aayan Afzal Khan to Jatinder, no run",1.1,0,0.0,"Aayan Afzal Khan to Jatinder, no run",Aayan Afzal Khan,Jatinder,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Aayan Afzal Khan to Jatinder, no run",1.2,0,0.0,"Aayan Afzal Khan to Jatinder, no run",Aayan Afzal Khan,Jatinder,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Aayan Afzal Khan to Jatinder, no run",1.3,0,0.0,"Aayan Afzal Khan to Jatinder, no run",Aayan Afzal Khan,Jatinder,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Aayan Afzal Khan to Jatinder, no run",1.4,0,0.0,"Aayan Afzal Khan to Jatinder, no run",Aayan Afzal Khan,Jatinder,0.0,0,0,1,1,0.0,0,,0
