raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Fazalhaq Farooqi to Zaman, no run 
Gets the inswing early. On a length moving into the batter, who looks to flick it away, but 
misses. Gets hit on the pads, but the balls would have slid down leg. 
ShahSafeer: ""Babar should've dropped himself to give Abdullah Shafique a go! "" That's a, 
um, brave comment.",0.1,0,0.0,"Fazalhaq Farooqi to Zaman, no run  .Gets the inswing early. On a length moving into the batter, who looks to flick it away, but  .misses. Gets hit on the pads, but the balls would have slid down leg.",Fazalhaq Farooqi,Zaman,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Fazalhaq Farooqi to Zaman, no run 
Back of a length ball with a bit of nip into the batter, who is hit on the hips as the ball 
rolls to the on-side",0.2,0,0.0,"Fazalhaq Farooqi to Zaman, no run  .Back of a length ball with a bit of nip into the batter, who is hit on the hips as the ball  .rolls to the on-side",Fazalhaq Farooqi,Zaman,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Fazalhaq Farooqi to Zaman, 1 run 
Again, a hint of movement into Fakhar, but the line was too straight. He waits for it and 
glances it down to deep fine leg to get off the mark. 
Nabeel : ""200 for fakhar today."" 
Similar field and angles for Imam",0.3,1,1.0,"Fazalhaq Farooqi to Zaman, 1 run  .Again, a hint of movement into Fakhar, but the line was too straight. He waits for it and  .glances it down to deep fine leg to get off the mark.",Fazalhaq Farooqi,Zaman,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Fazalhaq Farooqi to Imam-ul-Haq, no run 
Oh, that's gone low, very low! Hit a foot hole? Lenght ball well outside off, Imam 
shoulders arms and the balls just scoots through to Gurbaz",0.4,0,0.0,"Fazalhaq Farooqi to Imam-ul-Haq, no run  .Oh, that's gone low, very low! Hit a foot hole? Lenght ball well outside off, Imam  .shoulders arms and the balls just scoots through to Gurbaz",Fazalhaq Farooqi,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Fazalhaq Farooqi to Imam-ul-Haq, 1 run 
Edged and past the slips! On a length shaping well away from Imam, who has a full-
blooded cover drive. Can only get a thick edge but as he had thrown the kitchen sink at 
it, the ball evades the two slips. Deep third does the mopping up",0.5,1,1.0,"Fazalhaq Farooqi to Imam-ul-Haq, 1 run  .Edged and past the slips! On a length shaping well away from Imam, who has a full- .blooded cover drive. Can only get a thick edge but as he had thrown the kitchen sink at  .it, the ball evades the two slips. Deep third does the mopping up",Fazalhaq Farooqi,Imam-ul-Haq,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Fazalhaq Farooqi to Zaman, no run 
Similar length ball shaping away from Fakhar, who also looks to smack the leather out 
of the new ball. Connects at thin air 
end of over 12 runs  
PAK: 2/0CRR: 2.00  
Fakhar Zaman1 (4b) 
Imam-ul-Haq1 (2b) 
Fazalhaq Farooqi 1-0-2-0 
Siidra: ""Looking forward for the Pak v Ind match next Saturday! "" You're are so not alone 
Mujeeb Ur Rahman to share the new ball. He is around the wicket with a slip in place",0.6,0,0.0,"Fazalhaq Farooqi to Zaman, no run  .Similar length ball shaping away from Fakhar, who also looks to smack the leather out  .of the new ball. Connects at thin air",Fazalhaq Farooqi,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Mujeeb to Imam-ul-Haq, no run 
A touch short and wide, he mistimes his cut to cover",1.1,0,0.0,"Mujeeb to Imam-ul-Haq, no run  .A touch short and wide, he mistimes his cut to cover",Mujeeb,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Mujeeb to Imam-ul-Haq, no run 
Oh, that almost rolls back onto his stumps. Length on leg stump and some turn into 
Imam. He is hit on the pad and the ball then rolls perilously close to leg stump",1.2,0,0.0,"Mujeeb to Imam-ul-Haq, no run  .Oh, that almost rolls back onto his stumps. Length on leg stump and some turn into  .Imam. He is hit on the pad and the ball then rolls perilously close to leg stump",Mujeeb,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Mujeeb to Imam-ul-Haq, no run 
Shimmies a touch and drives towards cover",1.3,0,0.0,"Mujeeb to Imam-ul-Haq, no run  .Shimmies a touch and drives towards cover",Mujeeb,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Mujeeb to Imam-ul-Haq, no run 
Short and wide, he goes back and cuts it hard but extra cover does really well to dive to 
his right and intercept",1.4,0,0.0,"Mujeeb to Imam-ul-Haq, no run  .Short and wide, he goes back and cuts it hard but extra cover does really well to dive to  .his right and intercept",Mujeeb,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
