raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Shaheen Shah Afridi to Tanzid Hasan, no run 
Finds some away swing to beat the bat. It was very full and just within the off-side 
tramline. Tanzid went for the drive through cover but the ball went away to beat the 
outside edge. 
A bit of disturbance in the background has Tanzid pull out as Shaheen was running in.",0.1,0,0.0,"Shaheen Shah Afridi to Tanzid Hasan, no run  .Finds some away swing to beat the bat. It was very full and just within the off-side  .tramline. Tanzid went for the drive through cover but the ball went away to beat the  .outside edge.  .A bit of disturbance in the background has Tanzid pull out as Shaheen was running in.",Shaheen Shah Afridi,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Shaheen Shah Afridi to Tanzid Hasan, no run 
Length just outside off, 137ks, defended to the bowler after sliding across.",0.2,0,0.0,"Shaheen Shah Afridi to Tanzid Hasan, no run  .Length just outside off, 137ks, defended to the bowler after sliding across.",Shaheen Shah Afridi,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Shaheen Shah Afridi to Tanzid Hasan, no run 
Full on fourth, worked to mid-on",0.3,0,0.0,"Shaheen Shah Afridi to Tanzid Hasan, no run  .Full on fourth, worked to mid-on",Shaheen Shah Afridi,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shaheen Shah Afridi to Tanzid Hasan, no run 
Full around off, 129ks, defended to point. Tanzid going across early again 
 
Shaheen Shah Afridi in Powerplay overs (in ODIs) 
BALLS 
1179 
WKTS 
37 
4s/6s 
139/13 
ECON 
5.00 
AVE 
26.59",0.4,0,0.0,"Shaheen Shah Afridi to Tanzid Hasan, no run  .Full around off, 129ks, defended to point. Tanzid going across early again  .  .Shaheen Shah Afridi in Powerplay overs (in ODIs)  .BALLS  .1179  .WKTS  .37  .4s/6s  .139/13  .ECON  .5.00  .AVE  .26.59",Shaheen Shah Afridi,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.5 
W 
Shaheen Shah Afridi to Tanzid Hasan, OUT 
Big lbw appeal, given! Is Shaheen's 100th ODI wicket confirmed? Not yet, Tanzid 
reviews. Shaheen was shaping it away, keeping the ball outside off till now. This time, 
he darts it in off a length. 130ks, Tanzid was stuck on the crease and tried to turn it 
across. Got beat on the inside edge, ball hit the top of the front pad. Hawk-Eye shows 
it'd go on to clip the top of leg stump. That confirms it. Shaheen has 100 ODI wickets! 
Tanzid Hasan lbw b Shaheen Shah Afridi 0 (5b 0x4 0x6 7m) SR: 0 
See all photos 
Shanto in",0.5,W,0.0,"Shaheen Shah Afridi to Tanzid Hasan, OUT  .Big lbw appeal, given! Is Shaheen's 100th ODI wicket confirmed? Not yet, Tanzid  .reviews. Shaheen was shaping it away, keeping the ball outside off till now. This time,  .he darts it in off a length. 130ks, Tanzid was stuck on the crease and tried to turn it  .across. Got beat on the inside edge, ball hit the top of the front pad. Hawk-Eye shows  .it'd go on to clip the top of leg stump. That confirms it. Shaheen has 100 ODI wickets!  .Tanzid Hasan lbw b Shaheen Shah Afridi 0 (5b 0x4 0x6 7m) SR: 0",Shaheen Shah Afridi,Tanzid Hasan,0.0,0,0,1,1,0.0,1,lbw b Shaheen Shah Afridi,0
"0.6 
• 
Shaheen Shah Afridi to Shanto, no run 
Full on off, 132ks, defended back to the bowler 
Arslan : ""First Over Wicket Love Story is Back with Shaheen Shah Afridi "" 
end of over 1Wicket maiden 
BAN: 0/1CRR: 0.00  
Najmul Hossain Shanto0 (1b) 
Litton Das0 (0b) 
Shaheen Shah Afridi 1-1-0-1 
Iftikhar gets the new ball",0.6,0,0.0,"Shaheen Shah Afridi to Shanto, no run  .Full on off, 132ks, defended back to the bowler",Shaheen Shah Afridi,Shanto,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Iftikhar to Litton Das, no run 
Full around off, defended to point",1.1,0,0.0,"Iftikhar to Litton Das, no run  .Full around off, defended to point",Iftikhar,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Iftikhar to Litton Das, no run 
Nudges the full ball on the pads to square leg",1.2,0,0.0,"Iftikhar to Litton Das, no run  .Nudges the full ball on the pads to square leg",Iftikhar,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Iftikhar to Litton Das, no run 
Fullish ball on middle and off, seemed to have dipped. Clipped to square leg. Litton's 
feet were late to adjust but the bat managed to come down in time",1.3,0,0.0,"Iftikhar to Litton Das, no run  .Fullish ball on middle and off, seemed to have dipped. Clipped to square leg. Litton's  .feet were late to adjust but the bat managed to come down in time",Iftikhar,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Iftikhar to Litton Das, no run 
Blocks it to the leg side off a fullish length again",1.4,0,0.0,"Iftikhar to Litton Das, no run  .Blocks it to the leg side off a fullish length again",Iftikhar,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.5 
1 
Iftikhar to Litton Das, 1 run 
Full on middle and off, goes across and turns it just behind square",1.5,1,1.0,"Iftikhar to Litton Das, 1 run  .Full on middle and off, goes across and turns it just behind square",Iftikhar,Litton Das,1.0,0,0,1,1,1.0,0,,1
"1.6 
4 
Iftikhar to Shanto, FOUR runs 
Shaheen dives to the right at short third but can't stop it. It was a fullish ball just outside 
off, Shanto opened the face and directed the ball. Played it late and let the outfield do 
the rest. He did take off for a run and Litton was stuck but Afridi's diagonal dive let them 
free. 
end of over 25 runs  
BAN: 5/1CRR: 2.50  
Najmul Hossain Shanto4 (2b 1x4) 
Litton Das1 (5b) 
Iftikhar Ahmed 1-0-5-0 
Shaheen Shah Afridi 1-1-0-1",1.6,4,4.0,"Iftikhar to Shanto, FOUR runs  .Shaheen dives to the right at short third but can't stop it. It was a fullish ball just outside  .off, Shanto opened the face and directed the ball. Played it late and let the outfield do  .the rest. He did take off for a run and Litton was stuck but Afridi's diagonal dive let them  .free.",Iftikhar,Shanto,4.0,1,0,1,1,4.0,0,,1
"2.1 
• 
Shaheen Shah Afridi to Litton Das, no run 
Short and wide, Litton flashes and misses. Tried to carve it square.",2.1,0,0.0,"Shaheen Shah Afridi to Litton Das, no run  .Short and wide, Litton flashes and misses. Tried to carve it square.",Shaheen Shah Afridi,Litton Das,0.0,0,0,1,1,0.0,0,,0
