raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Taskin to Zaman, no run 
Full on middle, hint of swing into the left-arm batter and Fakhar tucks it to square leg",0.1,0,0.0,"Taskin to Zaman, no run  .Full on middle, hint of swing into the left-arm batter and Fakhar tucks it to square leg",Taskin,Zaman,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Taskin to Zaman, no run 
On a length on off, Fakhar defends",0.2,0,0.0,"Taskin to Zaman, no run  .On a length on off, Fakhar defends",Taskin,Zaman,0.0,0,0,1,1,0.0,0,,0
"0.3 
4 
Taskin to Zaman, FOUR runs 
And Pakistan are away! This is too full and straight on middle. Fakhar takes the 
invitation and flicks it away with ease in front of square 
Matthew: ""Shane Watson? Nah! The great Glenn Turner scored 141* out of Worcs' total 
of 169 in the County Championship in 1977! """,0.3,4,4.0,"Taskin to Zaman, FOUR runs  .And Pakistan are away! This is too full and straight on middle. Fakhar takes the  .invitation and flicks it away with ease in front of square",Taskin,Zaman,4.0,1,0,1,1,4.0,0,,1
"0.4 
• 
Taskin to Zaman, no run 
Length ball on leg, he nudges it to midwicket",0.4,0,0.0,"Taskin to Zaman, no run  .Length ball on leg, he nudges it to midwicket",Taskin,Zaman,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Taskin to Zaman, no run 
Bouncer on leg, Fakhar goes for the pull and the bowler and keeper go up in appeal! Well 
directed bouncer. But Shakib is not interested in reviewing 
That bouncer was at 141kph",0.5,0,0.0,"Taskin to Zaman, no run  .Bouncer on leg, Fakhar goes for the pull and the bowler and keeper go up in appeal! Well  .directed bouncer. But Shakib is not interested in reviewing  .That bouncer was at 141kph",Taskin,Zaman,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Taskin to Zaman, FOUR runs 
Strays onto the pads again and this time Fakhar glances it fine on the leg side and it's 
wide of long leg so the batter will pick up another boundary 
end of over 18 runs  
PAK: 8/0CRR: 8.00 • RRR: 3.79 • Need 186 runs from 49 overs 
Fakhar Zaman8 (6b 2x4) 
Imam-ul-Haq0 (0b) 
Taskin Ahmed 1-0-8-0 
Shoriful Islam from the other end. Two slips",0.6,4,4.0,"Taskin to Zaman, FOUR runs  .Strays onto the pads again and this time Fakhar glances it fine on the leg side and it's  .wide of long leg so the batter will pick up another boundary",Taskin,Zaman,4.0,1,0,1,1,4.0,0,,1
"1.1 
• 
Shoriful Islam to Imam-ul-Haq, no run 
Full around off, shaping away and Imam drives to cover along the ground",1.1,0,0.0,"Shoriful Islam to Imam-ul-Haq, no run  .Full around off, shaping away and Imam drives to cover along the ground",Shoriful Islam,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Shoriful Islam to Imam-ul-Haq, no run 
On a length outside off, Imam leaves it alone, shouldering arms",1.2,0,0.0,"Shoriful Islam to Imam-ul-Haq, no run  .On a length outside off, Imam leaves it alone, shouldering arms",Shoriful Islam,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Shoriful Islam to Imam-ul-Haq, no run 
Beats the outside edge! It's on a length outside off and it's swinging away again. Imam 
pokes his bat out but is beaten as the ball also stays slightly low",1.3,0,0.0,"Shoriful Islam to Imam-ul-Haq, no run  .Beats the outside edge! It's on a length outside off and it's swinging away again. Imam  .pokes his bat out but is beaten as the ball also stays slightly low",Shoriful Islam,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Shoriful Islam to Imam-ul-Haq, no run 
Fuller outside off and swings and seams away past the outside edge as Imam looks to 
defend again",1.4,0,0.0,"Shoriful Islam to Imam-ul-Haq, no run  .Fuller outside off and swings and seams away past the outside edge as Imam looks to  .defend again",Shoriful Islam,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
