raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bond to Salman Butt, no run 
high bouncer that climbs well over the batsman ...",0.1,0,0.0,"Bond to Salman Butt, no run  .high bouncer that climbs well over the batsman ...",Bond,Salman Butt,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Bond to Salman Butt, no run 
good bounce and carry here. It kicked up from short of length outside off, left alone",0.2,0,0.0,"Bond to Salman Butt, no run  .good bounce and carry here. It kicked up from short of length outside off, left alone",Bond,Salman Butt,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Bond to Salman Butt, no run 
short in length, outside off, left alone",0.3,0,0.0,"Bond to Salman Butt, no run  .short in length, outside off, left alone",Bond,Salman Butt,0.0,0,0,1,1,0.0,0,,0
"0.4 
W 
Bond to Salman Butt, OUT 
Salman Butt's comeback doesn't quite last long. Bondy has struck. It was a back-of-
length delivery that moved away from the stumps and Butt was almost squared-up as 
he pushed at it and edged it behind. Fine delivery. 
Salman Butt c †McCullum b Bond 0 (4b 0x4 0x6 1m) SR: 0",0.4,W,0.0,"Bond to Salman Butt, OUT  .Salman Butt's comeback doesn't quite last long. Bondy has struck. It was a back-of- .length delivery that moved away from the stumps and Butt was almost squared-up as  .he pushed at it and edged it behind. Fine delivery.  .Salman Butt c †McCullum b Bond 0 (4b 0x4 0x6 1m) SR: 0",Bond,Salman Butt,0.0,0,0,1,1,0.0,1,c †McCullum b Bond,0
"0.5 
• 
Bond to Younis, no run 
length delivery outside off stump, left alone",0.5,0,0.0,"Bond to Younis, no run  .length delivery outside off stump, left alone",Bond,Younis,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Bond to Younis, no run 
around the off stump line, pushed out to the point region 
end of over 1Wicket maiden 
PAK: 0/1CRR: 0.00  
Younis Khan0 (2b) 
Khalid Latif0 (0b) 
Shane Bond 1-1-0-1",0.6,0,0.0,"Bond to Younis, no run  .around the off stump line, pushed out to the point region",Bond,Younis,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Southee to Khalid Latif, no run 
lands back of length around off and moves away ... left alone",1.1,0,0.0,"Southee to Khalid Latif, no run  .lands back of length around off and moves away ... left alone",Southee,Khalid Latif,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Southee to Khalid Latif, no run 
fuller in length, again shapes away from the off stump, left alone",1.2,0,0.0,"Southee to Khalid Latif, no run  .fuller in length, again shapes away from the off stump, left alone",Southee,Khalid Latif,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Southee to Khalid Latif, no run 
leans forward to push it out to cover",1.3,0,0.0,"Southee to Khalid Latif, no run  .leans forward to push it out to cover",Southee,Khalid Latif,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Southee to Khalid Latif, no run 
lovely movement, again curving away from the off stump, Latif shaped to play at it 
before he withdrew his bat away 
There is bounce, carry and movement on offer 
Well, that early wicket will have caused a minor riot on our Facebook page. Go forth and 
click",1.4,0,0.0,"Southee to Khalid Latif, no run  .lovely movement, again curving away from the off stump, Latif shaped to play at it  .before he withdrew his bat away  .There is bounce, carry and movement on offer  .Well, that early wicket will have caused a minor riot on our Facebook page. Go forth and  .click",Southee,Khalid Latif,0.0,0,0,1,1,0.0,0,,0
