raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Shaheen Shah Afridi to Conway, 1 wide 
starts off with one sliding down leg. No swing at the moment",0.1,1w,1.0,"Shaheen Shah Afridi to Conway, 1 wide  .starts off with one sliding down leg. No swing at the moment",Shaheen Shah Afridi,Conway,0.0,0,0,0,0,1.0,0,,1
"0.1 
• 
Shaheen Shah Afridi to Conway, no run 
a bit of shape there, certainly. Some extra bounce, too, hits him high on the bat",0.1,0,0.0,"Shaheen Shah Afridi to Conway, no run  .a bit of shape there, certainly. Some extra bounce, too, hits him high on the bat",Shaheen Shah Afridi,Conway,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Shaheen Shah Afridi to Conway, no run 
slightly fuller in search of swing. Defended down the ground",0.2,0,0.0,"Shaheen Shah Afridi to Conway, no run  .slightly fuller in search of swing. Defended down the ground",Shaheen Shah Afridi,Conway,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Shaheen Shah Afridi to Conway, no run 
another length ball and some extra bounce once more",0.3,0,0.0,"Shaheen Shah Afridi to Conway, no run  .another length ball and some extra bounce once more",Shaheen Shah Afridi,Conway,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shaheen Shah Afridi to Conway, no run 
angling down leg as it hits him on the front pad",0.4,0,0.0,"Shaheen Shah Afridi to Conway, no run  .angling down leg as it hits him on the front pad",Shaheen Shah Afridi,Conway,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Shaheen Shah Afridi to Conway, no run 
angling away as Conway drives towards point 
The sun's come out now",0.5,0,0.0,"Shaheen Shah Afridi to Conway, no run  .angling away as Conway drives towards point  .The sun's come out now",Shaheen Shah Afridi,Conway,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Shaheen Shah Afridi to Conway, no run 
squared him up slightly but he keeps it out. Tight first over from Shaheen 
end of over 11 run  
NZ: 1/0CRR: 1.00  
Devon Conway0 (6b) 
Rachin Ravindra0 (0b) 
Shaheen Shah Afridi 1-0-1-0 
RaviChandra: ""Does spinners have any purchase on this wicket? Not sure why NZ gone 
with two spinners"" Clearly one captain thinks they will more than the other. 
Azhar Ali: ""What does the pitch say ?How it will behave ?"" It has so far proven resistant 
to interrogation",0.6,0,0.0,"Shaheen Shah Afridi to Conway, no run  .squared him up slightly but he keeps it out. Tight first over from Shaheen",Shaheen Shah Afridi,Conway,0.0,0,0,1,1,0.0,0,,0
"1.1 
1w 
Hasan Ali to Ravindra, 1 wide 
like Shaheen, he starts off with a wide down leg, too",1.1,1w,1.0,"Hasan Ali to Ravindra, 1 wide  .like Shaheen, he starts off with a wide down leg, too",Hasan Ali,Ravindra,0.0,0,0,0,0,1.0,0,,1
"1.1 
• 
Hasan Ali to Ravindra, no run 
back of a length, punched to mid-off",1.1,0,0.0,"Hasan Ali to Ravindra, no run  .back of a length, punched to mid-off",Hasan Ali,Ravindra,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Hasan Ali to Ravindra, no run 
thick outside edge towards the offside",1.2,0,0.0,"Hasan Ali to Ravindra, no run  .thick outside edge towards the offside",Hasan Ali,Ravindra,0.0,0,0,1,1,0.0,0,,0
