raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1lb 
Mills to Salman Butt, 1 leg bye 
swinging in a touch, on middle and moving down leg, tries to work it away behind 
square, brushes the pads and they sneak a leg bye",0.1,1lb,1.0,"Mills to Salman Butt, 1 leg bye  .swinging in a touch, on middle and moving down leg, tries to work it away behind  .square, brushes the pads and they sneak a leg bye",Mills,Salman Butt,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Mills to Khalid Latif, no run 
lands on a good length on the off stump, defended towards cover from the crease",0.2,0,0.0,"Mills to Khalid Latif, no run  .lands on a good length on the off stump, defended towards cover from the crease",Mills,Khalid Latif,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Mills to Khalid Latif, no run 
moving away a hint, withdraws his bat at the right time, gets it to land on a good length 
and leave the right hander 
Two slips in place",0.3,0,0.0,"Mills to Khalid Latif, no run  .moving away a hint, withdraws his bat at the right time, gets it to land on a good length  .and leave the right hander  .Two slips in place",Mills,Khalid Latif,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Mills to Khalid Latif, no run 
short of a good length on the off, tapped to extra cover from the crease",0.4,0,0.0,"Mills to Khalid Latif, no run  .short of a good length on the off, tapped to extra cover from the crease",Mills,Khalid Latif,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Mills to Khalid Latif, no run 
probing him outside off, bowled it at 127.5 kmph, cut away just a hint, defended it well 
with an open face to point",0.5,0,0.0,"Mills to Khalid Latif, no run  .probing him outside off, bowled it at 127.5 kmph, cut away just a hint, defended it well  .with an open face to point",Mills,Khalid Latif,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Mills to Khalid Latif, no run 
dropped, an early chance missed, a tough one, was testing him outside off, bowled it on 
a length, moved away and produced the outside edge but McCullum, who dived full 
length to his right, was unable to hang on 
Mills was on target in the first over, but New Zealand have missed a crucial opportunity 
first up 
end of over 1Maiden 
PAK: 1/0CRR: 1.00 • RRR: 4.30 
Khalid Latif0 (5b) 
Salman Butt0 (1b) 
Kyle Mills 1-1-0-0 
Bond steams in",0.6,0,0.0,"Mills to Khalid Latif, no run  .dropped, an early chance missed, a tough one, was testing him outside off, bowled it on  .a length, moved away and produced the outside edge but McCullum, who dived full  .length to his right, was unable to hang on  .Mills was on target in the first over, but New Zealand have missed a crucial opportunity  .first up",Mills,Khalid Latif,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Bond to Salman Butt, no run 
short of a good length on the off, knocked down towards cover from the crease",1.1,0,0.0,"Bond to Salman Butt, no run  .short of a good length on the off, knocked down towards cover from the crease",Bond,Salman Butt,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Bond to Salman Butt, no run",1.2,0,0.0,"Bond to Salman Butt, no run",Bond,Salman Butt,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Bond to Salman Butt, no run 
bowled at 119.3 kmph, trying to deceive him a little with the grunt, a touch too wide, left 
alone to the keeper",1.3,0,0.0,"Bond to Salman Butt, no run  .bowled at 119.3 kmph, trying to deceive him a little with the grunt, a touch too wide, left  .alone to the keeper",Bond,Salman Butt,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Bond to Salman Butt, no run 
short of a length, chases it but it leaves him further, misses",1.4,0,0.0,"Bond to Salman Butt, no run  .short of a length, chases it but it leaves him further, misses",Bond,Salman Butt,0.0,0,0,1,1,0.0,0,,0
