raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Shaheen Shah Afridi to de Kock, no run 
good length, outside off. Cuts in front of square on the off side",0.1,0,0.0,"Shaheen Shah Afridi to de Kock, no run  .good length, outside off. Cuts in front of square on the off side",Shaheen Shah Afridi,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Shaheen Shah Afridi to de Kock, 1 run 
full, on off. Angling into his pads, and flicked to fine leg for a single",0.2,1,1.0,"Shaheen Shah Afridi to de Kock, 1 run  .full, on off. Angling into his pads, and flicked to fine leg for a single",Shaheen Shah Afridi,de Kock,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Shaheen Shah Afridi to Markram, no run 
good length ball, outside off. Shoulders his arms. Nice carry through to Riz",0.3,0,0.0,"Shaheen Shah Afridi to Markram, no run  .good length ball, outside off. Shoulders his arms. Nice carry through to Riz",Shaheen Shah Afridi,Markram,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shaheen Shah Afridi to Markram, no run 
good length, on off. Shoulders his arms, and it goes just over off stump! Bit of late 
movement into the right-hander",0.4,0,0.0,"Shaheen Shah Afridi to Markram, no run  .good length, on off. Shoulders his arms, and it goes just over off stump! Bit of late  .movement into the right-hander",Shaheen Shah Afridi,Markram,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Shaheen Shah Afridi to Markram, no run 
good length, outside off. Angling across. Shoulders his arms",0.5,0,0.0,"Shaheen Shah Afridi to Markram, no run  .good length, outside off. Angling across. Shoulders his arms",Shaheen Shah Afridi,Markram,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Shaheen Shah Afridi to Markram, FOUR runs 
good length, outside off. Angling further away, and flayed off the back foot, struck over 
point! Four to bookend the over 
end of over 15 runs  
SA: 5/0CRR: 5.00  
Aiden Markram4 (4b 1x4) 
Quinton de Kock1 (2b) 
Shaheen Shah Afridi 1-0-5-0",0.6,4,4.0,"Shaheen Shah Afridi to Markram, FOUR runs  .good length, outside off. Angling further away, and flayed off the back foot, struck over  .point! Four to bookend the over",Shaheen Shah Afridi,Markram,4.0,1,0,1,1,4.0,0,,1
"1.1 
• 
Mohammad Hasnain to de Kock, no run 
good length, on middle and leg. Defended from near his chest off the back foot",1.1,0,0.0,"Mohammad Hasnain to de Kock, no run  .good length, on middle and leg. Defended from near his chest off the back foot",Mohammad Hasnain,de Kock,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Mohammad Hasnain to de Kock, no run 
slapped to point, but stopped by the fielder",1.2,0,0.0,"Mohammad Hasnain to de Kock, no run  .slapped to point, but stopped by the fielder",Mohammad Hasnain,de Kock,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Mohammad Hasnain to de Kock, no run 
good length, on middle and leg. Nudged to midwicket, but for no run",1.3,0,0.0,"Mohammad Hasnain to de Kock, no run  .good length, on middle and leg. Nudged to midwicket, but for no run",Mohammad Hasnain,de Kock,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
Mohammad Hasnain to de Kock, 1 run 
good length, on middle and leg. Flicked, finds square leg",1.4,1,1.0,"Mohammad Hasnain to de Kock, 1 run  .good length, on middle and leg. Flicked, finds square leg",Mohammad Hasnain,de Kock,1.0,0,0,1,1,1.0,0,,1
"1.5 
4 
Mohammad Hasnain to Markram, FOUR runs 
full, on middle and elg. Flicked, past square leg, and fine leg can't cut it off either!",1.5,4,4.0,"Mohammad Hasnain to Markram, FOUR runs  .full, on middle and elg. Flicked, past square leg, and fine leg can't cut it off either!",Mohammad Hasnain,Markram,4.0,1,0,1,1,4.0,0,,1
"1.6 
1w 
Mohammad Hasnain to Markram, 1 wide 
good length, outside off stump. Left alone, but given a wide",1.6,1w,1.0,"Mohammad Hasnain to Markram, 1 wide  .good length, outside off stump. Left alone, but given a wide",Mohammad Hasnain,Markram,0.0,0,0,0,0,1.0,0,,1
