raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Markram to Imam-ul-Haq, no run 
tossed up on a length outside off, comes forward to defend to cover",0.1,0,0.0,"Markram to Imam-ul-Haq, no run  .tossed up on a length outside off, comes forward to defend to cover",Markram,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Markram to Imam-ul-Haq, no run 
gets some turn first up does Markram. Length ball on middle, Imam goes back and 
across to defend",0.2,0,0.0,"Markram to Imam-ul-Haq, no run  .gets some turn first up does Markram. Length ball on middle, Imam goes back and  .across to defend",Markram,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Markram to Imam-ul-Haq, no run 
fuller, fired in on off, defended back to the bowler",0.3,0,0.0,"Markram to Imam-ul-Haq, no run  .fuller, fired in on off, defended back to the bowler",Markram,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Markram to Imam-ul-Haq, no run 
nicely tossed up. Great loop by Markram on that one, brings Iman on the front foot to 
defend solidly",0.4,0,0.0,"Markram to Imam-ul-Haq, no run  .nicely tossed up. Great loop by Markram on that one, brings Iman on the front foot to  .defend solidly",Markram,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Markram to Imam-ul-Haq, 1 run 
length ball, he goes right back and flicks it off his pads through square leg",0.5,1,1.0,"Markram to Imam-ul-Haq, 1 run  .length ball, he goes right back and flicks it off his pads through square leg",Markram,Imam-ul-Haq,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Markram to Zaman, no run 
tossed up very full, dips on him, ends up as a yorker almost, dug back out to the bowler 
great first over from Markram. Got some pleasing loop going there too, and found some 
turn. 
end of over 11 run  
PAK: 1/0CRR: 1.00  
Fakhar Zaman0 (1b) 
Imam-ul-Haq1 (5b) 
Aiden Markram 1-0-1-0 
- picked up a quad injury. 
Osman: ""Why van der Dussen is not in the playing XI for SA?"" 
Beuran now, with two slips.",0.6,0,0.0,"Markram to Zaman, no run  .tossed up very full, dips on him, ends up as a yorker almost, dug back out to the bowler  .great first over from Markram. Got some pleasing loop going there too, and found some  .turn.",Markram,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Hendricks to Imam-ul-Haq, 1 run 
full, tailing into him, clipped between mid-on and midwicket",1.1,1,1.0,"Hendricks to Imam-ul-Haq, 1 run  .full, tailing into him, clipped between mid-on and midwicket",Hendricks,Imam-ul-Haq,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Hendricks to Zaman, no run 
back of a length in the channel, he shoulders arms to it",1.2,0,0.0,"Hendricks to Zaman, no run  .back of a length in the channel, he shoulders arms to it",Hendricks,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Hendricks to Zaman, no run 
length ball nipping back into him, hits him high on the thigh pad. Zaman misses with the 
attempted flick 
- I personally, don't see anything wrong in players leaving early for the IPL. In pandemic 
times, you don't have the luxury of last-moment travel. Plus the World T20 is in India, 
and the IPL is excellent prep for that, if it comes to country vs club debates... 
Burns : ""Shouldn't all these SA Players prioritize playing for their country rather than 
leaving early for IPL? International matters more than domestic. Nothing more 
disappointing to see all these players preferring the big bucks than representing their 
nation. Missing a few IPL games won't affect the teams much as they all have strong 
bench strengths. Why have they all left in advance?""",1.3,0,0.0,"Hendricks to Zaman, no run  .length ball nipping back into him, hits him high on the thigh pad. Zaman misses with the  .attempted flick  .- I personally, don't see anything wrong in players leaving early for the IPL. In pandemic  .times, you don't have the luxury of last-moment travel. Plus the World T20 is in India,  .and the IPL is excellent prep for that, if it comes to country vs club debates...",Hendricks,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Hendricks to Zaman, no run 
back of a length jagging into him again, struck on the thigh pad. Decent bounce by 
Beuran",1.4,0,0.0,"Hendricks to Zaman, no run  .back of a length jagging into him again, struck on the thigh pad. Decent bounce by  .Beuran",Hendricks,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Hendricks to Zaman, no run 
this one is bowled in the channel and goes straight on, Zaman shoulders arms to it",1.5,0,0.0,"Hendricks to Zaman, no run  .this one is bowled in the channel and goes straight on, Zaman shoulders arms to it",Hendricks,Zaman,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Hendricks to Zaman, no run 
brings the line a mite closer now so that it's threatening off stump - but keeps the length 
on the shorter side. Zaman defends it from the crease, with the ball rising above waist 
height 
end of over 21 run  
PAK: 2/0CRR: 1.00  
Fakhar Zaman0 (6b) 
Imam-ul-Haq2 (6b) 
Beuran Hendricks 1-0-1-0 
Aiden Markram 1-0-1-0 
Vivaan : ""Opens the bowling, opens the batting, hit the stumps from the boundary line, 
takes great catches, is there anything Aiden Markram can't do""",1.6,0,0.0,"Hendricks to Zaman, no run  .brings the line a mite closer now so that it's threatening off stump - but keeps the length  .on the shorter side. Zaman defends it from the crease, with the ball rising above waist  .height",Hendricks,Zaman,0.0,0,0,1,1,0.0,0,,0
"2.1 
1 
Markram to Imam-ul-Haq, 1 run 
over-pitched a tad and sliding down leg, picked off through midwicket",2.1,1,1.0,"Markram to Imam-ul-Haq, 1 run  .over-pitched a tad and sliding down leg, picked off through midwicket",Markram,Imam-ul-Haq,1.0,0,0,1,1,1.0,0,,1
