raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Ngarava to Imam-ul-Haq, no run 
fuller in length, just outside off, leans well forward and drives to extra cover",0.1,0,0.0,"Ngarava to Imam-ul-Haq, no run  .fuller in length, just outside off, leans well forward and drives to extra cover",Ngarava,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Ngarava to Imam-ul-Haq, no run 
back of length, on off stump, goes back and pushes to gully",0.2,0,0.0,"Ngarava to Imam-ul-Haq, no run  .back of length, on off stump, goes back and pushes to gully",Ngarava,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"0.3 
4 
Ngarava to Imam-ul-Haq, FOUR runs 
Great shot to gets off the mark! Full on off stump, comes forward and just time and 
finds the gap at covers for four",0.3,4,4.0,"Ngarava to Imam-ul-Haq, FOUR runs  .Great shot to gets off the mark! Full on off stump, comes forward and just time and  .finds the gap at covers for four",Ngarava,Imam-ul-Haq,4.0,1,0,1,1,4.0,0,,1
"0.4 
4 
Ngarava to Imam-ul-Haq, FOUR runs 
Cover drive followed by a pull shot! slightly short in length, on off stump, Imam pulls it 
away and keeps it down to wide of backward square leg fielder for four",0.4,4,4.0,"Ngarava to Imam-ul-Haq, FOUR runs  .Cover drive followed by a pull shot! slightly short in length, on off stump, Imam pulls it  .away and keeps it down to wide of backward square leg fielder for four",Ngarava,Imam-ul-Haq,4.0,1,0,1,1,4.0,0,,1
"0.5 
• 
Ngarava to Imam-ul-Haq, no run 
back of length, on off stump, punches to point",0.5,0,0.0,"Ngarava to Imam-ul-Haq, no run  .back of length, on off stump, punches to point",Ngarava,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"0.6 
1w 
Ngarava to Imam-ul-Haq, 1 wide 
good length ball, angling down the leg side through to keeper for a wide",0.6,1w,1.0,"Ngarava to Imam-ul-Haq, 1 wide  .good length ball, angling down the leg side through to keeper for a wide",Ngarava,Imam-ul-Haq,0.0,0,0,0,0,1.0,0,,1
"0.6 
• 
Ngarava to Imam-ul-Haq, no run 
back of length, stands tall and defends to leg side, thinks about a run but decided 
against it 
end of over 19 runs  
PAK: 9/0CRR: 9.00 • RRR: 4.04 
Imam-ul-Haq8 (6b 2x4) 
Abid Ali0 (0b) 
Richard Ngarava 1-0-9-0",0.6,0,0.0,"Ngarava to Imam-ul-Haq, no run  .back of length, stands tall and defends to leg side, thinks about a run but decided  .against it",Ngarava,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Muzarabani to Abid Ali, 1 run 
short in length, outside off, cuts it to backward point for a single and gets off the mark",1.1,1,1.0,"Muzarabani to Abid Ali, 1 run  .short in length, outside off, cuts it to backward point for a single and gets off the mark",Muzarabani,Abid Ali,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Muzarabani to Imam-ul-Haq, no run 
good length ball, just outside off and left alone",1.2,0,0.0,"Muzarabani to Imam-ul-Haq, no run  .good length ball, just outside off and left alone",Muzarabani,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Muzarabani to Imam-ul-Haq, no run 
lovely delivery, pitches on middle stump and moves away, Imam tries to defend and 
gets beaten",1.3,0,0.0,"Muzarabani to Imam-ul-Haq, no run  .lovely delivery, pitches on middle stump and moves away, Imam tries to defend and  .gets beaten",Muzarabani,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
