raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Arshdeep to Ravindra, no run 
back of a length outside off. Shapes away and also keeps a little low. Ravindra goes 
wafting at it and only connects with fresh air",0.1,0,0.0,"Arshdeep to Ravindra, no run  .back of a length outside off. Shapes away and also keeps a little low. Ravindra goes  .wafting at it and only connects with fresh air",Arshdeep,Ravindra,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Arshdeep to Ravindra, FOUR runs 
Ravindra off the mark with a four! Back of a length outside off. Ravindra rises with the 
bounce, gets on top of it and cuts it past cover point. Deep backward point, running to 
his left, slides but the ball trickles into the rope off his hand!",0.2,4,4.0,"Arshdeep to Ravindra, FOUR runs  .Ravindra off the mark with a four! Back of a length outside off. Ravindra rises with the  .bounce, gets on top of it and cuts it past cover point. Deep backward point, running to  .his left, slides but the ball trickles into the rope off his hand!",Arshdeep,Ravindra,4.0,1,0,1,1,4.0,0,,1
"0.3 
• 
Arshdeep to Ravindra, no run 
back of a length outside off. Ravindra waits for it and opens his bat face to dab it 
towards short third",0.3,0,0.0,"Arshdeep to Ravindra, no run  .back of a length outside off. Ravindra waits for it and opens his bat face to dab it  .towards short third",Arshdeep,Ravindra,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Arshdeep to Ravindra, 1 run 
back of a length outside off. Ravindra gets up on his toes and jabs it enough to extra 
cover's right to pick up a single 
Piyush Jha: ""I have always wondered about two things. First Will My Comment ever be 
published by Cricinfo "" -- What's the second?",0.4,1,1.0,"Arshdeep to Ravindra, 1 run  .back of a length outside off. Ravindra gets up on his toes and jabs it enough to extra  .cover's right to pick up a single",Arshdeep,Ravindra,1.0,0,0,1,1,1.0,0,,1
"0.5 
4 
Arshdeep to Conway, FOUR runs 
Conway is up and running too! Back of a length, offering a hint of width. Conway lets 
the ball do its thing before playing right under his eyes. Bisects backward point and 
short third with precision! 
Santhosh : ""Starts off with only a 4 not a 6 and that too off the 2nd ball? Not good 
enough.:-) :-)"" -- Arya has spoiled us! 
 
Arshdeep Singh in Powerplay overs (in T20s) 
BALLS 
1511 
WKTS 
76 
4s/6s 
273/42 
ECON 
7.94 
AVE 
26.34",0.5,4,4.0,"Arshdeep to Conway, FOUR runs  .Conway is up and running too! Back of a length, offering a hint of width. Conway lets  .the ball do its thing before playing right under his eyes. Bisects backward point and  .short third with precision!",Arshdeep,Conway,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Arshdeep to Conway, no run 
fullish in the channel. Shapes away a little and Conway, pressing forward, drives with an 
open bat face towards point 
end of over 19 runs  
CSK: 9/0CRR: 9.00 • RRR: 11.10 • Need 211 runs from 114b 
Devon Conway4 (2b 1x4) 
Rachin Ravindra5 (4b 1x4) 
Arshdeep Singh 1-0-9-0 
Thakur, subbed in an over ago, will share the new ball. Around the wicket",0.6,0,0.0,"Arshdeep to Conway, no run  .fullish in the channel. Shapes away a little and Conway, pressing forward, drives with an  .open bat face towards point",Arshdeep,Conway,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Thakur to Ravindra, no run 
length outside off. Ravindra gets onto the front foot and jabs it towards cover. Good 
work by Stoinis to his left to stop it",1.1,0,0.0,"Thakur to Ravindra, no run  .length outside off. Ravindra gets onto the front foot and jabs it towards cover. Good  .work by Stoinis to his left to stop it",Thakur,Ravindra,0.0,0,0,1,1,0.0,0,,0
"1.2 
3 
Thakur to Ravindra, 3 runs 
back of a length outside off. Ravindra has a waft at it and squirts it off the inside edge. 
Arshdeep makes up lots of ground on the fine leg fence and seems to pull it back in. 
Top hustle! 
There is a slip in place",1.2,3,3.0,"Thakur to Ravindra, 3 runs  .back of a length outside off. Ravindra has a waft at it and squirts it off the inside edge.  .Arshdeep makes up lots of ground on the fine leg fence and seems to pull it back in.  .Top hustle!  .There is a slip in place",Thakur,Ravindra,3.0,0,0,1,1,3.0,0,,1
"1.3 
• 
Thakur to Conway, no run 
oh! Length ball in the channel and this seems to just straighten a shade after pitching. 
Conway, having advanced, goes feeling for it and is beaten on the outside",1.3,0,0.0,"Thakur to Conway, no run  .oh! Length ball in the channel and this seems to just straighten a shade after pitching.  .Conway, having advanced, goes feeling for it and is beaten on the outside",Thakur,Conway,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Thakur to Conway, no run 
full and wide outside off. Conway gets onto the front foot and drives it towards cover 
Sairam Rajagopa: ""How many uncapped players have csk ever fielded ? Can't think of 
one"" -- Well, Dhoni was an ""uncapped"" player for retention purposes...",1.4,0,0.0,"Thakur to Conway, no run  .full and wide outside off. Conway gets onto the front foot and drives it towards cover",Thakur,Conway,0.0,0,0,1,1,0.0,0,,0
