raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Siraj to Arya, no run 
short of a length and shaping back into middle, Arya rises with the bounce and defends 
back",0.1,0,0.0,"Siraj to Arya, no run  .short of a length and shaping back into middle, Arya rises with the bounce and defends  .back",Siraj,Arya,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Siraj to Arya, FOUR runs 
pick-up shot for four! Siraj bowls full on the pads and Arya displays strong wrists and a 
great hand-eye coordination. One bounce to the midwicket boundary",0.2,4,4.0,"Siraj to Arya, FOUR runs  .pick-up shot for four! Siraj bowls full on the pads and Arya displays strong wrists and a  .great hand-eye coordination. One bounce to the midwicket boundary",Siraj,Arya,4.0,1,0,1,1,4.0,0,,1
"0.3 
4lb 
Siraj to Arya, 4 leg byes 
off the pads, races away to the fine leg boundary. Poor line from Siraj. Doesn't matter 
how the runs come for Kings",0.3,4lb,4.0,"Siraj to Arya, 4 leg byes  .off the pads, races away to the fine leg boundary. Poor line from Siraj. Doesn't matter  .how the runs come for Kings",Siraj,Arya,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Siraj to Arya, no run 
solidly defends back as he stands tall 
Hardik says: ""I guess GT made a mistake by naming Phillips in Impact sub. He should 
be in XI instead of Shahrukh. He can come in place of any Indian pacer. We all know the 
value of Phillips in field plus his golden arm bowling. He is an asset for any team.""",0.4,0,0.0,"Siraj to Arya, no run  .solidly defends back as he stands tall",Siraj,Arya,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Siraj to Arya, no run 
has a big swing at that but is beaten by the angle across",0.5,0,0.0,"Siraj to Arya, no run  .has a big swing at that but is beaten by the angle across",Siraj,Arya,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Siraj to Arya, no run 
heaves across the line, gets a thickish inside edge that rolls to short fine. 
end of over 18 runs  
PBKS: 8/0CRR: 8.00  
Priyansh Arya4 (6b 1x4) 
Prabhsimran Singh0 (0b) 
Mohammed Siraj 1-0-4-0 
If fate had its way, Priyansh Arya would've been a breakout India U-19 star alongside 
Yashasvi Jaiswal. But he's had to take the long and winding road up. Here he chats 
about his journey into the big league.",0.6,0,0.0,"Siraj to Arya, no run  .heaves across the line, gets a thickish inside edge that rolls to short fine.",Siraj,Arya,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Rabada to Prabhsimran, no run 
Bunted to the off side",1.1,0,0.0,"Rabada to Prabhsimran, no run  .Bunted to the off side",Rabada,Prabhsimran,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Rabada to Prabhsimran, 1 run 
worked to long leg as they jog the single, Prabhsimran off the mark",1.2,1,1.0,"Rabada to Prabhsimran, 1 run  .worked to long leg as they jog the single, Prabhsimran off the mark",Rabada,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
"1.3 
2 
Rabada to Arya, 2 runs 
lofted over cover, got more elevation than distance. Also ended up slicing it a touch. 
Spongy bounce perhaps?",1.3,2,2.0,"Rabada to Arya, 2 runs  .lofted over cover, got more elevation than distance. Also ended up slicing it a touch.  .Spongy bounce perhaps?",Rabada,Arya,2.0,0,0,1,1,2.0,0,,1
"1.4 
1 
Rabada to Arya, 1 run 
mid-off, mid-on converge as Arya hits it high into the night sky, Arshad from mid-off 
finally goes for it but he had Rashid at the corner of his eye, and in the end the ball 
swirls away from him and goes straight through his hands. Big miss. 
See all photos",1.4,1,1.0,"Rabada to Arya, 1 run  .mid-off, mid-on converge as Arya hits it high into the night sky, Arshad from mid-off  .finally goes for it but he had Rashid at the corner of his eye, and in the end the ball  .swirls away from him and goes straight through his hands. Big miss.  .See all photos",Rabada,Arya,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
Rabada to Prabhsimran, no run 
steps out to swing this length ball over mid-on but misses",1.5,0,0.0,"Rabada to Prabhsimran, no run  .steps out to swing this length ball over mid-on but misses",Rabada,Prabhsimran,0.0,0,0,1,1,0.0,0,,0
"1.6 
4 
Rabada to Prabhsimran, FOUR runs 
a misfield from Arshad again, that's gonna have Rabada fuming! Prabhsimran didn't 
time this low full toss down the ground and Arshad ended up diving over the ball at mid-
on. Tough, tough start to the season for him. 
end of over 28 runs  
PBKS: 16/0CRR: 8.00  
Prabhsimran Singh5 (4b 1x4) 
Priyansh Arya7 (8b 1x4) 
Kagiso Rabada 1-0-8-0 
Mohammed Siraj 1-0-4-0",1.6,4,4.0,"Rabada to Prabhsimran, FOUR runs  .a misfield from Arshad again, that's gonna have Rabada fuming! Prabhsimran didn't  .time this low full toss down the ground and Arshad ended up diving over the ball at mid- .on. Tough, tough start to the season for him.",Rabada,Prabhsimran,4.0,1,0,1,1,4.0,0,,1
"2.1 
1lb 
Siraj to Arya, 1 leg bye 
late swing back in to strike the pad as Arya looks to flick, but the ball would've missed 
leg. They scamper a leg bye. Also pitched outside leg, so wouldn't have been an lbw 
anyway 
 
Prabhsimran Singh vs right-arm pace in T20s 
RUNS 
617 
OUTS 
26 
4s/6s 
62/40 
SR 
154.25 
AVE 
23.73",2.1,1lb,1.0,"Siraj to Arya, 1 leg bye  .late swing back in to strike the pad as Arya looks to flick, but the ball would've missed  .leg. They scamper a leg bye. Also pitched outside leg, so wouldn't have been an lbw  .anyway  .  .Prabhsimran Singh vs right-arm pace in T20s  .RUNS  .617  .OUTS  .26  .4s/6s  .62/40  .SR  .154.25  .AVE  .23.73",Siraj,Arya,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Siraj to Prabhsimran, no run 
beaten by late movement as he tries to steer this to square third",2.2,0,0.0,"Siraj to Prabhsimran, no run  .beaten by late movement as he tries to steer this to square third",Siraj,Prabhsimran,0.0,0,0,1,1,0.0,0,,0
