raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Arshdeep to Rickelton, no run 
Hint of away swing as Arshdeep goes fuller and just outside off stump. Rickelton pings 
it off the middle of the bat but straight to short cover. 
 
Ryan Rickelton vs Arshdeep Singh 
BALLS 
25 
RUNS 
28 
OUTS 
2 
SR 
112.00 
4s/6s 
3/1",0.1,0,0.0,"Arshdeep to Rickelton, no run  .Hint of away swing as Arshdeep goes fuller and just outside off stump. Rickelton pings  .it off the middle of the bat but straight to short cover.  .  .Ryan Rickelton vs Arshdeep Singh  .BALLS  .25  .RUNS  .28  .OUTS  .2  .SR  .112.00  .4s/6s  .3/1",Arshdeep,Rickelton,0.0,0,0,1,1,0.0,0,,0
"0.2 
2 
Arshdeep to Rickelton, 2 runs 
Not entirely in control but Rickelton is off the mark. Lovely away shape on this length 
ball just outside off. Rickelton pushes at it, gets a bit of a leading edge but through the 
covers",0.2,2,2.0,"Arshdeep to Rickelton, 2 runs  .Not entirely in control but Rickelton is off the mark. Lovely away shape on this length  .ball just outside off. Rickelton pushes at it, gets a bit of a leading edge but through the  .covers",Arshdeep,Rickelton,2.0,0,0,1,1,2.0,0,,1
"0.3 
• 
Arshdeep to Rickelton, no run 
Big booming inswinger and Rickelton was almost done in there. He did not spot that 
and he drove on the up. Ends up completely miscuing it but thankfully for him, the ball 
falls short of cover",0.3,0,0.0,"Arshdeep to Rickelton, no run  .Big booming inswinger and Rickelton was almost done in there. He did not spot that  .and he drove on the up. Ends up completely miscuing it but thankfully for him, the ball  .falls short of cover",Arshdeep,Rickelton,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Arshdeep to Rickelton, FOUR runs 
Goes short and Rickelton gets his boundary counter running with a pull. Banged in 
shoulder-high on leg stump, he gets on top of the bounce and pulls to the deep 
backward square leg fence",0.4,4,4.0,"Arshdeep to Rickelton, FOUR runs  .Goes short and Rickelton gets his boundary counter running with a pull. Banged in  .shoulder-high on leg stump, he gets on top of the bounce and pulls to the deep  .backward square leg fence",Arshdeep,Rickelton,4.0,1,0,1,1,4.0,0,,1
"0.5 
2 
Arshdeep to Rickelton, 2 runs 
Length ball shaping away from Rickelton outside off. He squirts it off the outer half of 
the blade to the right of deep point. But Wadhera sprints and saves two 
Slip goes",0.5,2,2.0,"Arshdeep to Rickelton, 2 runs  .Length ball shaping away from Rickelton outside off. He squirts it off the outer half of  .the blade to the right of deep point. But Wadhera sprints and saves two  .Slip goes",Arshdeep,Rickelton,2.0,0,0,1,1,2.0,0,,1
"0.6 
• 
Arshdeep to Rickelton, no run 
Fuller shaping away from Rickelton outside off, he looks to push it through the offside, 
and misses 
end of over 18 runs  
MI: 8/0CRR: 8.00  
Ryan Rickelton8 (6b 1x4) 
Rohit Sharma0 (0b) 
Arshdeep Singh 1-0-8-0 
Kyle Jamieson has the new ball from the other end. He is over the wicket. A slip is 
around",0.6,0,0.0,"Arshdeep to Rickelton, no run  .Fuller shaping away from Rickelton outside off, he looks to push it through the offside,  .and misses",Arshdeep,Rickelton,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Jamieson to Rohit Sharma, 1 run 
Good length ball outside off, he gets on top of the bounce and pushes towards point 
Stays over the wicket to the left-hander with a slip around",1.1,1,1.0,"Jamieson to Rohit Sharma, 1 run  .Good length ball outside off, he gets on top of the bounce and pushes towards point  .Stays over the wicket to the left-hander with a slip around",Jamieson,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Jamieson to Rickelton, no run 
In-dipper on a length on middle and leg, he ticks this towards mid-on",1.2,0,0.0,"Jamieson to Rickelton, no run  .In-dipper on a length on middle and leg, he ticks this towards mid-on",Jamieson,Rickelton,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Jamieson to Rickelton, FOUR runs 
There is a deep point in place, but he ain't getting anywhere close to that. Short and 
wide, he frees his arms and slams this past point for his second four",1.3,4,4.0,"Jamieson to Rickelton, FOUR runs  .There is a deep point in place, but he ain't getting anywhere close to that. Short and  .wide, he frees his arms and slams this past point for his second four",Jamieson,Rickelton,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Jamieson to Rickelton, no run 
On a length outside off, he steps across and pushes towards cover",1.4,0,0.0,"Jamieson to Rickelton, no run  .On a length outside off, he steps across and pushes towards cover",Jamieson,Rickelton,0.0,0,0,1,1,0.0,0,,0
