raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Bhuvneshwar to Arya, FOUR runs 
PBKS and Arya are away with a four. Loosener and that is dealt with. On a length down 
leg, he nudges this fine to the vacant fine leg fence",0.1,4,4.0,"Bhuvneshwar to Arya, FOUR runs  .PBKS and Arya are away with a four. Loosener and that is dealt with. On a length down  .leg, he nudges this fine to the vacant fine leg fence",Bhuvneshwar,Arya,4.0,1,0,1,1,4.0,0,,1
"0.2 
1 
Bhuvneshwar to Arya, 1 run 
On a length on Arya's pads, he works this to deep midwicket 
Stays over the wicket to Prabhsimran with a slip around",0.2,1,1.0,"Bhuvneshwar to Arya, 1 run  .On a length on Arya's pads, he works this to deep midwicket  .Stays over the wicket to Prabhsimran with a slip around",Bhuvneshwar,Arya,1.0,0,0,1,1,1.0,0,,1
"0.3 
1 
Bhuvneshwar to Prabhsimran, 1 run 
Short of a good length ball just outside off, he he pats this to the right of short third who 
dives and keeps them down to a run",0.3,1,1.0,"Bhuvneshwar to Prabhsimran, 1 run  .Short of a good length ball just outside off, he he pats this to the right of short third who  .dives and keeps them down to a run",Bhuvneshwar,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Bhuvneshwar to Arya, no run 
In the air but goes to Hazlewood on the bounce. Length ball outside off, he pushes this 
on the up to mid-off. Was aerial for quite a bit",0.4,0,0.0,"Bhuvneshwar to Arya, no run  .In the air but goes to Hazlewood on the bounce. Length ball outside off, he pushes this  .on the up to mid-off. Was aerial for quite a bit",Bhuvneshwar,Arya,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Bhuvneshwar to Arya, 1 run 
Length ball on middle and leg stump, Arya works this to deep backward square leg",0.5,1,1.0,"Bhuvneshwar to Arya, 1 run  .Length ball on middle and leg stump, Arya works this to deep backward square leg",Bhuvneshwar,Arya,1.0,0,0,1,1,1.0,0,,1
"0.6 
6 
Bhuvneshwar to Prabhsimran, SIX runs 
In the aiiiiiir and just over a leaping Salt at deep third. Oof, Prabhsimran's heart would 
have been in his mouth. Short of a length ball outside off, he carves this up and over and 
Salt despite that leap can't keep that inside the field of play 
end of over 113 runs  
PBKS: 13/0CRR: 13.00 • RRR: 9.36 • Need 178 runs from 114b 
Prabhsimran Singh7 (2b 1x6) 
Priyansh Arya6 (4b 1x4) 
Bhuvneshwar Kumar 1-0-13-0 
Dayal from over the wicket with a slip around",0.6,6,6.0,"Bhuvneshwar to Prabhsimran, SIX runs  .In the aiiiiiir and just over a leaping Salt at deep third. Oof, Prabhsimran's heart would  .have been in his mouth. Short of a length ball outside off, he carves this up and over and  .Salt despite that leap can't keep that inside the field of play",Bhuvneshwar,Prabhsimran,6.0,0,1,1,1,6.0,0,,1
"1.1 
• 
Yash Dayal to Arya, no run 
On a length outside off stump, he punches this on the up but can't beat cover",1.1,0,0.0,"Yash Dayal to Arya, no run  .On a length outside off stump, he punches this on the up but can't beat cover",Yash Dayal,Arya,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Yash Dayal to Arya, FOUR runs 
Sliced past short third! Back of a length ball well outside off. They width was the key as 
Arya throws his hands at it and beats short third 
 
Priyansh Arya in IPL, 2025 
INNS 
17 
RUNS 
463 
SR 
181.56 
AVE 
28.93 
HS 
103",1.2,4,4.0,"Yash Dayal to Arya, FOUR runs  .Sliced past short third! Back of a length ball well outside off. They width was the key as  .Arya throws his hands at it and beats short third  .  .Priyansh Arya in IPL, 2025  .INNS  .17  .RUNS  .463  .SR  .181.56  .AVE  .28.93  .HS  .103",Yash Dayal,Arya,4.0,1,0,1,1,4.0,0,,1
"1.3 
1 
Yash Dayal to Arya, 1 run 
Fullish in length just around off stump, he opens the face of the bat and glides this to 
the right of Krunal at backward point who does well",1.3,1,1.0,"Yash Dayal to Arya, 1 run  .Fullish in length just around off stump, he opens the face of the bat and glides this to  .the right of Krunal at backward point who does well",Yash Dayal,Arya,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Yash Dayal to Prabhsimran, no run 
On a length angling away from Prabhsimran just around off stump. He plays with a 
slight open face of the bat to point",1.4,0,0.0,"Yash Dayal to Prabhsimran, no run  .On a length angling away from Prabhsimran just around off stump. He plays with a  .slight open face of the bat to point",Yash Dayal,Prabhsimran,0.0,0,0,1,1,0.0,0,,0
