raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Soper to Johnson, no run",0.1,0,0.0,"Soper to Johnson, no run",Soper,Johnson,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Soper to Johnson, 1 run",0.2,1,1.0,"Soper to Johnson, 1 run",Soper,Johnson,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Soper to Spoors, no run",0.3,0,0.0,"Soper to Spoors, no run",Soper,Spoors,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Soper to Spoors, no run",0.4,0,0.0,"Soper to Spoors, no run",Soper,Spoors,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Soper to Spoors, no run",0.5,0,0.0,"Soper to Spoors, no run",Soper,Spoors,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Soper to Spoors, no run 
end of over 11 run  
CAN: 1/0CRR: 1.00  
Matthew Spoors0 (4b) 
Aaron Johnson1 (2b) 
Chad Soper 1-0-1-0",0.6,0,0.0,"Soper to Spoors, no run",Soper,Spoors,0.0,0,0,1,1,0.0,0,,0
"1.1 
4lb 
Kamea to Johnson, 4 leg byes",1.1,4lb,4.0,"Kamea to Johnson, 4 leg byes",Kamea,Johnson,0.0,0,0,1,1,0.0,0,,0
"1.2 
2 
Kamea to Johnson, 2 runs",1.2,2,2.0,"Kamea to Johnson, 2 runs",Kamea,Johnson,2.0,0,0,1,1,2.0,0,,1
"1.3 
• 
Kamea to Johnson, no run",1.3,0,0.0,"Kamea to Johnson, no run",Kamea,Johnson,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Kamea to Johnson, no run",1.4,0,0.0,"Kamea to Johnson, no run",Kamea,Johnson,0.0,0,0,1,1,0.0,0,,0
"1.5 
4 
Kamea to Johnson, FOUR runs",1.5,4,4.0,"Kamea to Johnson, FOUR runs",Kamea,Johnson,4.0,1,0,1,1,4.0,0,,1
