raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Junaid Siddique to Ura, FOUR runs",0.1,4,4.0,"Junaid Siddique to Ura, FOUR runs",Junaid Siddique,Ura,4.0,1,0,1,1,4.0,0,,1
"0.2 
• 
Junaid Siddique to Ura, no run",0.2,0,0.0,"Junaid Siddique to Ura, no run",Junaid Siddique,Ura,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Junaid Siddique to Ura, no run",0.3,0,0.0,"Junaid Siddique to Ura, no run",Junaid Siddique,Ura,0.0,0,0,1,1,0.0,0,,0
"0.4 
1w 
Junaid Siddique to Ura, 1 wide",0.4,1w,1.0,"Junaid Siddique to Ura, 1 wide",Junaid Siddique,Ura,0.0,0,0,0,0,1.0,0,,1
"0.4 
• 
Junaid Siddique to Ura, no run",0.4,0,0.0,"Junaid Siddique to Ura, no run",Junaid Siddique,Ura,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Junaid Siddique to Ura, no run",0.5,0,0.0,"Junaid Siddique to Ura, no run",Junaid Siddique,Ura,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Junaid Siddique to Ura, no run 
end of over 15 runs  
PNG: 5/0CRR: 5.00 • RRR: 5.22 
Tony Ura4 (6b 1x4) 
Kiplin Doriga0 (0b) 
Junaid Siddique 1-0-5-0",0.6,0,0.0,"Junaid Siddique to Ura, no run",Junaid Siddique,Ura,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Sharma to Doriga, no run",1.1,0,0.0,"Sharma to Doriga, no run",Sharma,Doriga,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Sharma to Doriga, no run",1.2,0,0.0,"Sharma to Doriga, no run",Sharma,Doriga,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Sharma to Doriga, no run",1.3,0,0.0,"Sharma to Doriga, no run",Sharma,Doriga,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Sharma to Doriga, FOUR runs",1.4,4,4.0,"Sharma to Doriga, FOUR runs",Sharma,Doriga,4.0,1,0,1,1,4.0,0,,1
"1.5 
• 
Sharma to Doriga, no run",1.5,0,0.0,"Sharma to Doriga, no run",Sharma,Doriga,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Sharma to Doriga, no run 
end of over 24 runs  
PNG: 9/0CRR: 4.50 • RRR: 5.25 
Kiplin Doriga4 (6b 1x4) 
Tony Ura4 (6b 1x4) 
Sanchit Sharma 1-0-4-0 
Junaid Siddique 1-0-5-0",1.6,0,0.0,"Sharma to Doriga, no run",Sharma,Doriga,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Junaid Siddique to Ura, no run",2.1,0,0.0,"Junaid Siddique to Ura, no run",Junaid Siddique,Ura,0.0,0,0,1,1,0.0,0,,0
"2.2 
1w 
Junaid Siddique to Ura, 1 wide",2.2,1w,1.0,"Junaid Siddique to Ura, 1 wide",Junaid Siddique,Ura,0.0,0,0,0,0,1.0,0,,1
"2.2 
2 
Junaid Siddique to Ura, 2 runs",2.2,2,2.0,"Junaid Siddique to Ura, 2 runs",Junaid Siddique,Ura,2.0,0,0,1,1,2.0,0,,1
"2.3 
4 
Junaid Siddique to Ura, FOUR runs",2.3,4,4.0,"Junaid Siddique to Ura, FOUR runs",Junaid Siddique,Ura,4.0,1,0,1,1,4.0,0,,1
"2.4 
• 
Junaid Siddique to Ura, no run",2.4,0,0.0,"Junaid Siddique to Ura, no run",Junaid Siddique,Ura,0.0,0,0,1,1,0.0,0,,0
"2.5 
1 
Junaid Siddique to Ura, 1 run",2.5,1,1.0,"Junaid Siddique to Ura, 1 run",Junaid Siddique,Ura,1.0,0,0,1,1,1.0,0,,1
"2.6 
4lb 
Junaid Siddique to Doriga, 4 leg byes 
end of over 312 runs  
PNG: 21/0CRR: 7.00 • RRR: 5.10 
Kiplin Doriga4 (7b 1x4) 
Tony Ura11 (11b 2x4) 
Junaid Siddique 2-0-13-0 
Sanchit Sharma 1-0-4-0",2.6,4lb,4.0,"Junaid Siddique to Doriga, 4 leg byes",Junaid Siddique,Doriga,0.0,0,0,1,1,0.0,0,,0
"3.1 
1 
Sharma to Ura, 1 run",3.1,1,1.0,"Sharma to Ura, 1 run",Sharma,Ura,1.0,0,0,1,1,1.0,0,,1
"3.2 
• 
Sharma to Doriga, no run",3.2,0,0.0,"Sharma to Doriga, no run",Sharma,Doriga,0.0,0,0,1,1,0.0,0,,0
"3.3 
2 
Sharma to Doriga, 2 runs",3.3,2,2.0,"Sharma to Doriga, 2 runs",Sharma,Doriga,2.0,0,0,1,1,2.0,0,,1
"3.4 
4 
Sharma to Doriga, FOUR runs",3.4,4,4.0,"Sharma to Doriga, FOUR runs",Sharma,Doriga,4.0,1,0,1,1,4.0,0,,1
"3.5 
4 
Sharma to Doriga, FOUR runs",3.5,4,4.0,"Sharma to Doriga, FOUR runs",Sharma,Doriga,4.0,1,0,1,1,4.0,0,,1
"3.6 
6 
Sharma to Doriga, SIX runs 
end of over 417 runs  
PNG: 38/0CRR: 9.50 • RRR: 4.84 
Kiplin Doriga20 (12b 3x4 1x6) 
Tony Ura12 (12b 2x4) 
Sanchit Sharma 2-0-21-0 
Junaid Siddique 2-0-13-0",3.6,6,6.0,"Sharma to Doriga, SIX runs",Sharma,Doriga,6.0,0,1,1,1,6.0,0,,1
"4.1 
• 
Junaid Siddique to Ura, no run",4.1,0,0.0,"Junaid Siddique to Ura, no run",Junaid Siddique,Ura,0.0,0,0,1,1,0.0,0,,0
"4.2 
3 
Junaid Siddique to Ura, 3 runs",4.2,3,3.0,"Junaid Siddique to Ura, 3 runs",Junaid Siddique,Ura,3.0,0,0,1,1,3.0,0,,1
"4.3 
• 
Junaid Siddique to Doriga, no run",4.3,0,0.0,"Junaid Siddique to Doriga, no run",Junaid Siddique,Doriga,0.0,0,0,1,1,0.0,0,,0
"4.4 
• 
Junaid Siddique to Doriga, no run",4.4,0,0.0,"Junaid Siddique to Doriga, no run",Junaid Siddique,Doriga,0.0,0,0,1,1,0.0,0,,0
"4.5 
1 
Junaid Siddique to Doriga, 1 run",4.5,1,1.0,"Junaid Siddique to Doriga, 1 run",Junaid Siddique,Doriga,1.0,0,0,1,1,1.0,0,,1
"4.6 
1 
Junaid Siddique to Ura, 1 run 
end of over 55 runs  
PNG: 43/0CRR: 8.60 • RRR: 4.84 
Tony Ura16 (15b 2x4) 
Kiplin Doriga21 (15b 3x4 1x6) 
Junaid Siddique 3-0-18-0 
Sanchit Sharma 2-0-21-0",4.6,1,1.0,"Junaid Siddique to Ura, 1 run",Junaid Siddique,Ura,1.0,0,0,1,1,1.0,0,,1
"5.1 
• 
Aayan Afzal Khan to Ura, no run",5.1,0,0.0,"Aayan Afzal Khan to Ura, no run",Aayan Afzal Khan,Ura,0.0,0,0,1,1,0.0,0,,0
"5.2 
1 
Aayan Afzal Khan to Ura, 1 run",5.2,1,1.0,"Aayan Afzal Khan to Ura, 1 run",Aayan Afzal Khan,Ura,1.0,0,0,1,1,1.0,0,,1
"5.3 
• 
Aayan Afzal Khan to Doriga, no run",5.3,0,0.0,"Aayan Afzal Khan to Doriga, no run",Aayan Afzal Khan,Doriga,0.0,0,0,1,1,0.0,0,,0
"5.4 
1 
Aayan Afzal Khan to Doriga, 1 run",5.4,1,1.0,"Aayan Afzal Khan to Doriga, 1 run",Aayan Afzal Khan,Doriga,1.0,0,0,1,1,1.0,0,,1
"5.5 
• 
Aayan Afzal Khan to Ura, no run",5.5,0,0.0,"Aayan Afzal Khan to Ura, no run",Aayan Afzal Khan,Ura,0.0,0,0,1,1,0.0,0,,0
"5.6 
• 
Aayan Afzal Khan to Ura, no run 
end of over 62 runs  
PNG: 45/0CRR: 7.50 • RRR: 4.90 
Tony Ura17 (19b 2x4) 
Kiplin Doriga22 (17b 3x4 1x6) 
Aayan Afzal Khan 1-0-2-0 
Junaid Siddique 3-0-18-0",5.6,0,0.0,"Aayan Afzal Khan to Ura, no run",Aayan Afzal Khan,Ura,0.0,0,0,1,1,0.0,0,,0
"6.1 
• 
Junaid Siddique to Doriga, no run",6.1,0,0.0,"Junaid Siddique to Doriga, no run",Junaid Siddique,Doriga,0.0,0,0,1,1,0.0,0,,0
"6.2 
• 
Junaid Siddique to Doriga, no run",6.2,0,0.0,"Junaid Siddique to Doriga, no run",Junaid Siddique,Doriga,0.0,0,0,1,1,0.0,0,,0
"6.3 
3 
Junaid Siddique to Doriga, 3 runs",6.3,3,3.0,"Junaid Siddique to Doriga, 3 runs",Junaid Siddique,Doriga,3.0,0,0,1,1,3.0,0,,1
"6.4 
• 
Junaid Siddique to Ura, no run",6.4,0,0.0,"Junaid Siddique to Ura, no run",Junaid Siddique,Ura,0.0,0,0,1,1,0.0,0,,0
"6.5 
• 
Junaid Siddique to Ura, no run",6.5,0,0.0,"Junaid Siddique to Ura, no run",Junaid Siddique,Ura,0.0,0,0,1,1,0.0,0,,0
"6.6 
• 
Junaid Siddique to Ura, no run 
end of over 73 runs  
PNG: 48/0CRR: 6.85 • RRR: 4.95 
Tony Ura17 (22b 2x4) 
Kiplin Doriga25 (20b 3x4 1x6) 
Junaid Siddique 4-0-21-0 
Aayan Afzal Khan 1-0-2-0",6.6,0,0.0,"Junaid Siddique to Ura, no run",Junaid Siddique,Ura,0.0,0,0,1,1,0.0,0,,0
"7.1 
• 
Aayan Afzal Khan to Doriga, no run",7.1,0,0.0,"Aayan Afzal Khan to Doriga, no run",Aayan Afzal Khan,Doriga,0.0,0,0,1,1,0.0,0,,0
"7.2 
• 
Aayan Afzal Khan to Doriga, no run",7.2,0,0.0,"Aayan Afzal Khan to Doriga, no run",Aayan Afzal Khan,Doriga,0.0,0,0,1,1,0.0,0,,0
"7.3 
• 
Aayan Afzal Khan to Doriga, no run",7.3,0,0.0,"Aayan Afzal Khan to Doriga, no run",Aayan Afzal Khan,Doriga,0.0,0,0,1,1,0.0,0,,0
"7.4 
2lb 
Aayan Afzal Khan to Doriga, 2 leg byes",7.4,2lb,2.0,"Aayan Afzal Khan to Doriga, 2 leg byes",Aayan Afzal Khan,Doriga,0.0,0,0,1,1,0.0,0,,0
"7.5 
1 
Aayan Afzal Khan to Doriga, 1 run",7.5,1,1.0,"Aayan Afzal Khan to Doriga, 1 run",Aayan Afzal Khan,Doriga,1.0,0,0,1,1,1.0,0,,1
"7.6 
• 
Aayan Afzal Khan to Ura, no run 
end of over 83 runs  
PNG: 51/0CRR: 6.37 • RRR: 5.00 
Tony Ura17 (23b 2x4) 
Kiplin Doriga26 (25b 3x4 1x6) 
Aayan Afzal Khan 2-0-3-0 
Junaid Siddique 4-0-21-0",7.6,0,0.0,"Aayan Afzal Khan to Ura, no run",Aayan Afzal Khan,Ura,0.0,0,0,1,1,0.0,0,,0
