raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Netravalkar to Ura, no run",0.1,0,0.0,"Netravalkar to Ura, no run",Netravalkar,Ura,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Netravalkar to Ura, no run",0.2,0,0.0,"Netravalkar to Ura, no run",Netravalkar,Ura,0.0,0,0,1,1,0.0,0,,0
"0.3 
4lb 
Netravalkar to Ura, 4 leg byes",0.3,4lb,4.0,"Netravalkar to Ura, 4 leg byes",Netravalkar,Ura,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Netravalkar to Ura, 1 run",0.4,1,1.0,"Netravalkar to Ura, 1 run",Netravalkar,Ura,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Netravalkar to Doriga, no run",0.5,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Netravalkar to Doriga, no run 
end of over 15 runs  
PNG: 5/0CRR: 5.00 • RRR: 4.71 • Need 231 runs from 49 overs 
Kiplin Doriga0 (2b) 
Tony Ura1 (4b) 
Saurabh Netravalkar 1-0-1-0",0.6,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Ali Khan to Ura, 1 run",1.1,1,1.0,"Ali Khan to Ura, 1 run",Ali Khan,Ura,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Ali Khan to Doriga, no run",1.2,0,0.0,"Ali Khan to Doriga, no run",Ali Khan,Doriga,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Ali Khan to Doriga, 1 run",1.3,1,1.0,"Ali Khan to Doriga, 1 run",Ali Khan,Doriga,1.0,0,0,1,1,1.0,0,,1
"1.4 
4 
Ali Khan to Ura, FOUR runs",1.4,4,4.0,"Ali Khan to Ura, FOUR runs",Ali Khan,Ura,4.0,1,0,1,1,4.0,0,,1
"1.5 
4 
Ali Khan to Ura, FOUR runs",1.5,4,4.0,"Ali Khan to Ura, FOUR runs",Ali Khan,Ura,4.0,1,0,1,1,4.0,0,,1
"1.6 
• 
Ali Khan to Ura, no run 
end of over 210 runs  
PNG: 15/0CRR: 7.50 • RRR: 4.60 • Need 221 runs from 48 overs 
Tony Ura10 (8b 2x4) 
Kiplin Doriga1 (4b) 
Ali Khan 1-0-10-0 
Saurabh Netravalkar 1-0-1-0",1.6,0,0.0,"Ali Khan to Ura, no run",Ali Khan,Ura,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Netravalkar to Doriga, no run",2.1,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"2.2 
1 
Netravalkar to Doriga, 1 run",2.2,1,1.0,"Netravalkar to Doriga, 1 run",Netravalkar,Doriga,1.0,0,0,1,1,1.0,0,,1
"2.3 
1 
Netravalkar to Ura, 1 run",2.3,1,1.0,"Netravalkar to Ura, 1 run",Netravalkar,Ura,1.0,0,0,1,1,1.0,0,,1
"2.4 
• 
Netravalkar to Doriga, no run",2.4,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"2.5 
1 
Netravalkar to Doriga, 1 run",2.5,1,1.0,"Netravalkar to Doriga, 1 run",Netravalkar,Doriga,1.0,0,0,1,1,1.0,0,,1
"2.6 
• 
Netravalkar to Ura, no run 
end of over 33 runs  
PNG: 18/0CRR: 6.00 • RRR: 4.63 • Need 218 runs from 47 overs 
Tony Ura11 (10b 2x4) 
Kiplin Doriga3 (8b) 
Saurabh Netravalkar 2-0-4-0 
Ali Khan 1-0-10-0",2.6,0,0.0,"Netravalkar to Ura, no run",Netravalkar,Ura,0.0,0,0,1,1,0.0,0,,0
"3.1 
1lb 
Ali Khan to Doriga, 1 leg bye",3.1,1lb,1.0,"Ali Khan to Doriga, 1 leg bye",Ali Khan,Doriga,0.0,0,0,1,1,0.0,0,,0
"3.2 
4 
Ali Khan to Ura, FOUR runs",3.2,4,4.0,"Ali Khan to Ura, FOUR runs",Ali Khan,Ura,4.0,1,0,1,1,4.0,0,,1
"3.3 
W 
Ali Khan to Ura, OUT 
Tony Ura c †Patel b Ali Khan 15 (12b 3x4 0x6) SR: 125",3.3,W,0.0,"Ali Khan to Ura, OUT  .Tony Ura c †Patel b Ali Khan 15 (12b 3x4 0x6) SR: 125",Ali Khan,Ura,0.0,0,0,1,1,0.0,1,c †Patel b Ali Khan,0
"3.4 
• 
Ali Khan to Bau, no run",3.4,0,0.0,"Ali Khan to Bau, no run",Ali Khan,Bau,0.0,0,0,1,1,0.0,0,,0
"3.5 
4 
Ali Khan to Bau, FOUR runs",3.5,4,4.0,"Ali Khan to Bau, FOUR runs",Ali Khan,Bau,4.0,1,0,1,1,4.0,0,,1
"3.6 
• 
Ali Khan to Bau, no run 
end of over 49 runs • 1 wicket 
PNG: 27/1CRR: 6.75 • RRR: 4.54 • Need 209 runs from 46 overs 
Sese Bau4 (3b 1x4) 
Kiplin Doriga3 (9b) 
Ali Khan 2-0-18-1 
Saurabh Netravalkar 2-0-4-0",3.6,0,0.0,"Ali Khan to Bau, no run",Ali Khan,Bau,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Netravalkar to Doriga, no run",4.1,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Netravalkar to Doriga, no run",4.2,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
Netravalkar to Doriga, no run",4.3,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"4.4 
• 
Netravalkar to Doriga, no run",4.4,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"4.5 
• 
Netravalkar to Doriga, no run",4.5,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"4.6 
• 
Netravalkar to Doriga, no run 
end of over 5Maiden 
PNG: 27/1CRR: 5.40 • RRR: 4.64 • Need 209 runs from 45 overs 
Kiplin Doriga3 (15b) 
Sese Bau4 (3b 1x4) 
Saurabh Netravalkar 3-1-4-0 
Ali Khan 2-0-18-1",4.6,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"5.1 
• 
Ali Khan to Bau, no run",5.1,0,0.0,"Ali Khan to Bau, no run",Ali Khan,Bau,0.0,0,0,1,1,0.0,0,,0
"5.2 
• 
Ali Khan to Bau, no run",5.2,0,0.0,"Ali Khan to Bau, no run",Ali Khan,Bau,0.0,0,0,1,1,0.0,0,,0
"5.3 
• 
Ali Khan to Bau, no run",5.3,0,0.0,"Ali Khan to Bau, no run",Ali Khan,Bau,0.0,0,0,1,1,0.0,0,,0
"5.4 
W 
Ali Khan to Bau, OUT 
Sese Bau b Ali Khan 4 (7b 1x4 0x6) SR: 57.14",5.4,W,0.0,"Ali Khan to Bau, OUT  .Sese Bau b Ali Khan 4 (7b 1x4 0x6) SR: 57.14",Ali Khan,Bau,0.0,0,0,1,1,0.0,1,b Ali Khan,0
"5.5 
2 
Ali Khan to Vala, 2 runs",5.5,2,2.0,"Ali Khan to Vala, 2 runs",Ali Khan,Vala,2.0,0,0,1,1,2.0,0,,1
"5.6 
• 
Ali Khan to Vala, no run 
end of over 62 runs • 1 wicket 
PNG: 29/2CRR: 4.83 • RRR: 4.70 • Need 207 runs from 44 overs 
Assad Vala2 (2b) 
Kiplin Doriga3 (15b) 
Ali Khan 3-0-20-2 
Saurabh Netravalkar 3-1-4-0",5.6,0,0.0,"Ali Khan to Vala, no run",Ali Khan,Vala,0.0,0,0,1,1,0.0,0,,0
"6.1 
• 
Netravalkar to Doriga, no run",6.1,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"6.2 
• 
Netravalkar to Doriga, no run",6.2,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"6.3 
• 
Netravalkar to Doriga, no run",6.3,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"6.4 
• 
Netravalkar to Doriga, no run",6.4,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"6.5 
• 
Netravalkar to Doriga, no run",6.5,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"6.6 
• 
Netravalkar to Doriga, no run 
end of over 7Maiden 
PNG: 29/2CRR: 4.14 • RRR: 4.81 • Need 207 runs from 43 overs 
Kiplin Doriga3 (21b) 
Assad Vala2 (2b) 
Saurabh Netravalkar 4-2-4-0 
Ali Khan 3-0-20-2",6.6,0,0.0,"Netravalkar to Doriga, no run",Netravalkar,Doriga,0.0,0,0,1,1,0.0,0,,0
"7.1 
• 
Ali Khan to Vala, no run",7.1,0,0.0,"Ali Khan to Vala, no run",Ali Khan,Vala,0.0,0,0,1,1,0.0,0,,0
"7.2 
1 
Ali Khan to Vala, 1 run",7.2,1,1.0,"Ali Khan to Vala, 1 run",Ali Khan,Vala,1.0,0,0,1,1,1.0,0,,1
"7.3 
W 
Ali Khan to Doriga, OUT 
Kiplin Doriga lbw b Ali Khan 3 (22b 0x4 0x6) SR: 13.63",7.3,W,0.0,"Ali Khan to Doriga, OUT  .Kiplin Doriga lbw b Ali Khan 3 (22b 0x4 0x6) SR: 13.63",Ali Khan,Doriga,0.0,0,0,1,1,0.0,1,lbw b Ali Khan,0
"7.4 
• 
Ali Khan to Hiri, no run",7.4,0,0.0,"Ali Khan to Hiri, no run",Ali Khan,Hiri,0.0,0,0,1,1,0.0,0,,0
"7.5 
• 
Ali Khan to Hiri, no run",7.5,0,0.0,"Ali Khan to Hiri, no run",Ali Khan,Hiri,0.0,0,0,1,1,0.0,0,,0
"7.6 
• 
Ali Khan to Hiri, no run 
end of over 81 run • 1 wicket 
PNG: 30/3CRR: 3.75 • RRR: 4.90 • Need 206 runs from 42 overs 
Hiri Hiri0 (3b) 
Assad Vala3 (4b) 
Ali Khan 4-0-21-3 
Saurabh Netravalkar 4-2-4-0",7.6,0,0.0,"Ali Khan to Hiri, no run",Ali Khan,Hiri,0.0,0,0,1,1,0.0,0,,0
"8.1 
• 
Netravalkar to Vala, no run",8.1,0,0.0,"Netravalkar to Vala, no run",Netravalkar,Vala,0.0,0,0,1,1,0.0,0,,0
"8.2 
• 
Netravalkar to Vala, no run",8.2,0,0.0,"Netravalkar to Vala, no run",Netravalkar,Vala,0.0,0,0,1,1,0.0,0,,0
"8.3 
1 
Netravalkar to Vala, 1 run",8.3,1,1.0,"Netravalkar to Vala, 1 run",Netravalkar,Vala,1.0,0,0,1,1,1.0,0,,1
"8.4 
• 
Netravalkar to Hiri, no run",8.4,0,0.0,"Netravalkar to Hiri, no run",Netravalkar,Hiri,0.0,0,0,1,1,0.0,0,,0
"8.5 
• 
Netravalkar to Hiri, no run",8.5,0,0.0,"Netravalkar to Hiri, no run",Netravalkar,Hiri,0.0,0,0,1,1,0.0,0,,0
"8.6 
• 
Netravalkar to Hiri, no run 
end of over 91 run  
PNG: 31/3CRR: 3.44 • RRR: 5.00 • Need 205 runs from 41 overs 
Hiri Hiri0 (6b) 
Assad Vala4 (7b) 
Saurabh Netravalkar 5-2-5-0 
Ali Khan 4-0-21-3",8.6,0,0.0,"Netravalkar to Hiri, no run",Netravalkar,Hiri,0.0,0,0,1,1,0.0,0,,0
"9.1 
• 
Ali Khan to Vala, no run",9.1,0,0.0,"Ali Khan to Vala, no run",Ali Khan,Vala,0.0,0,0,1,1,0.0,0,,0
"9.2 
• 
Ali Khan to Vala, no run",9.2,0,0.0,"Ali Khan to Vala, no run",Ali Khan,Vala,0.0,0,0,1,1,0.0,0,,0
"9.3 
• 
Ali Khan to Vala, no run",9.3,0,0.0,"Ali Khan to Vala, no run",Ali Khan,Vala,0.0,0,0,1,1,0.0,0,,0
"9.4 
• 
Ali Khan to Vala, no run",9.4,0,0.0,"Ali Khan to Vala, no run",Ali Khan,Vala,0.0,0,0,1,1,0.0,0,,0
"9.5 
3 
Ali Khan to Vala, 3 runs",9.5,3,3.0,"Ali Khan to Vala, 3 runs",Ali Khan,Vala,3.0,0,0,1,1,3.0,0,,1
"9.6 
• 
Ali Khan to Hiri, no run 
end of over 103 runs  
PNG: 34/3CRR: 3.40 • RRR: 5.05 • Need 202 runs from 40 overs 
Hiri Hiri0 (7b) 
Assad Vala7 (12b) 
Ali Khan 5-0-24-3 
Saurabh Netravalkar 5-2-5-0",9.6,0,0.0,"Ali Khan to Hiri, no run",Ali Khan,Hiri,0.0,0,0,1,1,0.0,0,,0
"10.1 
1 
Patel to Vala, 1 run",10.1,1,1.0,"Patel to Vala, 1 run",Patel,Vala,1.0,0,0,1,1,1.0,0,,1
"10.2 
• 
Patel to Hiri, no run",10.2,0,0.0,"Patel to Hiri, no run",Patel,Hiri,0.0,0,0,1,1,0.0,0,,0
"10.3 
1 
Patel to Hiri, 1 run",10.3,1,1.0,"Patel to Hiri, 1 run",Patel,Hiri,1.0,0,0,1,1,1.0,0,,1
"10.4 
1 
Patel to Vala, 1 run",10.4,1,1.0,"Patel to Vala, 1 run",Patel,Vala,1.0,0,0,1,1,1.0,0,,1
"10.5 
• 
Patel to Hiri, no run",10.5,0,0.0,"Patel to Hiri, no run",Patel,Hiri,0.0,0,0,1,1,0.0,0,,0
"10.6 
• 
Patel to Hiri, no run 
end of over 113 runs  
PNG: 37/3CRR: 3.36 • RRR: 5.10 • Need 199 runs from 39 overs 
Hiri Hiri1 (11b) 
Assad Vala9 (14b) 
Nisarg Patel 1-0-3-0 
Ali Khan 5-0-24-3",10.6,0,0.0,"Patel to Hiri, no run",Patel,Hiri,0.0,0,0,1,1,0.0,0,,0
"11.1 
• 
Ali Khan to Vala, no run",11.1,0,0.0,"Ali Khan to Vala, no run",Ali Khan,Vala,0.0,0,0,1,1,0.0,0,,0
"11.2 
• 
Ali Khan to Vala, no run",11.2,0,0.0,"Ali Khan to Vala, no run",Ali Khan,Vala,0.0,0,0,1,1,0.0,0,,0
"11.3 
2 
Ali Khan to Vala, 2 runs",11.3,2,2.0,"Ali Khan to Vala, 2 runs",Ali Khan,Vala,2.0,0,0,1,1,2.0,0,,1
"11.4 
4 
Ali Khan to Vala, FOUR runs",11.4,4,4.0,"Ali Khan to Vala, FOUR runs",Ali Khan,Vala,4.0,1,0,1,1,4.0,0,,1
"11.5 
1 
Ali Khan to Vala, 1 run",11.5,1,1.0,"Ali Khan to Vala, 1 run",Ali Khan,Vala,1.0,0,0,1,1,1.0,0,,1
"11.6 
• 
Ali Khan to Hiri, no run 
end of over 127 runs  
PNG: 44/3CRR: 3.66 • RRR: 5.05 • Need 192 runs from 38 overs 
Hiri Hiri1 (12b) 
Assad Vala16 (19b 1x4) 
Ali Khan 6-0-31-3 
Nisarg Patel 1-0-3-0",11.6,0,0.0,"Ali Khan to Hiri, no run",Ali Khan,Hiri,0.0,0,0,1,1,0.0,0,,0
"12.1 
• 
Patel to Vala, no run",12.1,0,0.0,"Patel to Vala, no run",Patel,Vala,0.0,0,0,1,1,0.0,0,,0
"12.2 
1 
Patel to Vala, 1 run",12.2,1,1.0,"Patel to Vala, 1 run",Patel,Vala,1.0,0,0,1,1,1.0,0,,1
"12.3 
1 
Patel to Hiri, 1 run",12.3,1,1.0,"Patel to Hiri, 1 run",Patel,Hiri,1.0,0,0,1,1,1.0,0,,1
"12.4 
• 
Patel to Vala, no run",12.4,0,0.0,"Patel to Vala, no run",Patel,Vala,0.0,0,0,1,1,0.0,0,,0
"12.5 
1 
Patel to Vala, 1 run",12.5,1,1.0,"Patel to Vala, 1 run",Patel,Vala,1.0,0,0,1,1,1.0,0,,1
"12.6 
• 
Patel to Hiri, no run 
end of over 133 runs  
PNG: 47/3CRR: 3.61 • RRR: 5.10 • Need 189 runs from 37 overs 
Hiri Hiri2 (14b) 
Assad Vala18 (23b 1x4) 
Nisarg Patel 2-0-6-0 
Ali Khan 6-0-31-3",12.6,0,0.0,"Patel to Hiri, no run",Patel,Hiri,0.0,0,0,1,1,0.0,0,,0
