raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Krunal to Mhatre, no run 
darted in on a length on off. Comes in with the arm and Mhatre hurriedly jams it off the 
inside edge into his pads",0.1,0,0.0,"Krunal to Mhatre, no run  .darted in on a length on off. Comes in with the arm and Mhatre hurriedly jams it off the  .inside edge into his pads",Krunal,Mhatre,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Krunal to Mhatre, no run 
flighted up a little more and much fuller on leg stump. Mhatre plays all around this and 
gets pinged on the pads",0.2,0,0.0,"Krunal to Mhatre, no run  .flighted up a little more and much fuller on leg stump. Mhatre plays all around this and  .gets pinged on the pads",Krunal,Mhatre,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Krunal to Mhatre, no run 
pushed in again, on a length just outside off. Comes in with the arm and Mhatre taps it 
tamely towards the bowler",0.3,0,0.0,"Krunal to Mhatre, no run  .pushed in again, on a length just outside off. Comes in with the arm and Mhatre taps it  .tamely towards the bowler",Krunal,Mhatre,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Krunal to Mhatre, FOUR runs 
Mhatre lands his first punch! Floatier and into the slot just outside off. Mhatre gets 
down on one knee early and bangs it over the bowler's head! 
Slip goes out",0.4,4,4.0,"Krunal to Mhatre, FOUR runs  .Mhatre lands his first punch! Floatier and into the slot just outside off. Mhatre gets  .down on one knee early and bangs it over the bowler's head!  .Slip goes out",Krunal,Mhatre,4.0,1,0,1,1,4.0,0,,1
"0.5 
1 
Krunal to Mhatre, 1 run 
fired in full on leg stump. Mhatre has a swing at this too and squirts it off the inside 
edge towards square leg 
Rasheed on strike for the first time this innings",0.5,1,1.0,"Krunal to Mhatre, 1 run  .fired in full on leg stump. Mhatre has a swing at this too and squirts it off the inside  .edge towards square leg  .Rasheed on strike for the first time this innings",Krunal,Mhatre,1.0,0,0,1,1,1.0,0,,1
"0.6 
1 
Krunal to Rasheed, 1 run 
back of a length on leg stump. Rasheed uses the pace and glances it towards short fine 
leg. Ngidi dives smartly to his left and ensures it is just a single 
end of over 16 runs  
CSK: 6/0CRR: 6.00 • RRR: 10.94 • Need 208 runs from 114b 
Shaik Rasheed1 (1b) 
Ayush Mhatre5 (5b 1x4) 
Krunal Pandya 1-0-6-0 
Bhuvneshwar to share the new ball. Wide slip in place",0.6,1,1.0,"Krunal to Rasheed, 1 run  .back of a length on leg stump. Rasheed uses the pace and glances it towards short fine  .leg. Ngidi dives smartly to his left and ensures it is just a single",Krunal,Rasheed,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Bhuvneshwar to Rasheed, no run 
back of a length outside off. Shapes away slightly and Rasheed gets up on his toes to 
punch it towards extra cover 
 
Shaik Rasheed vs Bhuvneshwar Kumar 
BALLS 
4 
RUNS 
8 
OUTS 
0 
SR 
200.00 
4s/6s 
2/0",1.1,0,0.0,"Bhuvneshwar to Rasheed, no run  .back of a length outside off. Shapes away slightly and Rasheed gets up on his toes to  .punch it towards extra cover  .  .Shaik Rasheed vs Bhuvneshwar Kumar  .BALLS  .4  .RUNS  .8  .OUTS  .0  .SR  .200.00  .4s/6s  .2/0",Bhuvneshwar,Rasheed,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Bhuvneshwar to Rasheed, no run 
back of a length outside off. Rasheed has a tentative stab at it and jams it off the inside 
edge into his pads 
A sedate start for CSK so far, which is in contrast to how RCB began. They managed 13 
in the first over itself",1.2,0,0.0,"Bhuvneshwar to Rasheed, no run  .back of a length outside off. Rasheed has a tentative stab at it and jams it off the inside  .edge into his pads  .A sedate start for CSK so far, which is in contrast to how RCB began. They managed 13  .in the first over itself",Bhuvneshwar,Rasheed,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Bhuvneshwar to Rasheed, 1 run 
back of a length outside off. Rasheed waits for it and drops it into the off side for an 
easy single",1.3,1,1.0,"Bhuvneshwar to Rasheed, 1 run  .back of a length outside off. Rasheed waits for it and drops it into the off side for an  .easy single",Bhuvneshwar,Rasheed,1.0,0,0,1,1,1.0,0,,1
"1.4 
4 
Bhuvneshwar to Mhatre, FOUR runs 
deft touch! Back of a length outside off. Mhatre seems to wind up to go downtown 
initially before changing his stroke. Plays it late and then steers it between backward 
point and short third!",1.4,4,4.0,"Bhuvneshwar to Mhatre, FOUR runs  .deft touch! Back of a length outside off. Mhatre seems to wind up to go downtown  .initially before changing his stroke. Plays it late and then steers it between backward  .point and short third!",Bhuvneshwar,Mhatre,4.0,1,0,1,1,4.0,0,,1
"1.5 
• 
Bhuvneshwar to Mhatre, no run 
angled in on a length on middle and off. Mhatre stays leg side of the ball and plays it 
back to the bowler",1.5,0,0.0,"Bhuvneshwar to Mhatre, no run  .angled in on a length on middle and off. Mhatre stays leg side of the ball and plays it  .back to the bowler",Bhuvneshwar,Mhatre,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Bhuvneshwar to Mhatre, no run 
back of a length outside off. Mhatre has an ungainly hack at it and cloths it on the 
bounce to mid on 
end of over 25 runs  
CSK: 11/0CRR: 5.50 • RRR: 11.27 • Need 203 runs from 108b 
Ayush Mhatre9 (8b 2x4) 
Shaik Rasheed2 (4b) 
Bhuvneshwar Kumar 1-0-5-0 
Krunal Pandya 1-0-6-0 
Just the one over of spin. Here's Dayal",1.6,0,0.0,"Bhuvneshwar to Mhatre, no run  .back of a length outside off. Mhatre has an ungainly hack at it and cloths it on the  .bounce to mid on",Bhuvneshwar,Mhatre,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Yash Dayal to Rasheed, no run 
short and wide outside off. Rasheed has a pop at it but ends up chopping it towards 
short third 
CSK need a few boundaries to get their innings going and so far, they have been unable 
to do so",2.1,0,0.0,"Yash Dayal to Rasheed, no run  .short and wide outside off. Rasheed has a pop at it but ends up chopping it towards  .short third  .CSK need a few boundaries to get their innings going and so far, they have been unable  .to do so",Yash Dayal,Rasheed,0.0,0,0,1,1,0.0,0,,0
"2.2 
1 
Yash Dayal to Rasheed, 1 run 
shortish on the hips. Rasheed gets inside the line and pulls it on the bounce to deep 
backward square leg. Rasheed will feel he missed out there",2.2,1,1.0,"Yash Dayal to Rasheed, 1 run  .shortish on the hips. Rasheed gets inside the line and pulls it on the bounce to deep  .backward square leg. Rasheed will feel he missed out there",Yash Dayal,Rasheed,1.0,0,0,1,1,1.0,0,,1
"2.3 
1 
Yash Dayal to Mhatre, 1 run 
almost a wicket! Hard length on middle and off. Skids off the surface and gets big on 
Mhatre as he looks to pull. Cloths it uppishly and Dayal nearly makes it stick with his left 
hand",2.3,1,1.0,"Yash Dayal to Mhatre, 1 run  .almost a wicket! Hard length on middle and off. Skids off the surface and gets big on  .Mhatre as he looks to pull. Cloths it uppishly and Dayal nearly makes it stick with his left  .hand",Yash Dayal,Mhatre,1.0,0,0,1,1,1.0,0,,1
"2.4 
• 
Yash Dayal to Rasheed, no run 
follows the batter outside leg with a shortish ball. Rasheed is tucked up for room and 
chunks his pull into his body",2.4,0,0.0,"Yash Dayal to Rasheed, no run  .follows the batter outside leg with a shortish ball. Rasheed is tucked up for room and  .chunks his pull into his body",Yash Dayal,Rasheed,0.0,0,0,1,1,0.0,0,,0
"2.5 
4 
Yash Dayal to Rasheed, FOUR runs 
Rasheed with his first boundary and that will ease a few nerves! Short ball down leg. 
Perhaps designed to follow the batter again but that was so far down that Rasheed 
could help it fine of deep backward square leg!",2.5,4,4.0,"Yash Dayal to Rasheed, FOUR runs  .Rasheed with his first boundary and that will ease a few nerves! Short ball down leg.  .Perhaps designed to follow the batter again but that was so far down that Rasheed  .could help it fine of deep backward square leg!",Yash Dayal,Rasheed,4.0,1,0,1,1,4.0,0,,1
"2.6 
6 
Yash Dayal to Rasheed, SIX runs 
follows up the four with a six! Short again and on the hips, which makes this a tailor-
made ball for that pick-up pull behind square. Rasheed gets into position early and 
smashes it flat over the fine leg fence! 
end of over 312 runs  
CSK: 23/0CRR: 7.66 • RRR: 11.23 • Need 191 runs from 102b 
Shaik Rasheed13 (9b 1x4 1x6) 
Ayush Mhatre10 (9b 2x4) 
Yash Dayal 1-0-12-0 
Bhuvneshwar Kumar 1-0-5-0 
12 off that last over. CSK need a few more of these. Bhuvneshwar again",2.6,6,6.0,"Yash Dayal to Rasheed, SIX runs  .follows up the four with a six! Short again and on the hips, which makes this a tailor- .made ball for that pick-up pull behind square. Rasheed gets into position early and  .smashes it flat over the fine leg fence!",Yash Dayal,Rasheed,6.0,0,1,1,1,6.0,0,,1
"3.1 
4 
Bhuvneshwar to Mhatre, FOUR runs 
that is some shot! Hard length outside off. Mhatre stands up tall on his toes and bashes 
it over the bowler's head. Not the most well-timed, but quite brave!",3.1,4,4.0,"Bhuvneshwar to Mhatre, FOUR runs  .that is some shot! Hard length outside off. Mhatre stands up tall on his toes and bashes  .it over the bowler's head. Not the most well-timed, but quite brave!",Bhuvneshwar,Mhatre,4.0,1,0,1,1,4.0,0,,1
"3.2 
4 
Bhuvneshwar to Mhatre, FOUR runs 
four more! Bhuvneshwar looks for the off-stump yorker but errs on the shorter side. 
That makes it, more or less, a slot ball and Mhatre pumps it over the bowler's head!",3.2,4,4.0,"Bhuvneshwar to Mhatre, FOUR runs  .four more! Bhuvneshwar looks for the off-stump yorker but errs on the shorter side.  .That makes it, more or less, a slot ball and Mhatre pumps it over the bowler's head!",Bhuvneshwar,Mhatre,4.0,1,0,1,1,4.0,0,,1
"3.3 
4 
Bhuvneshwar to Mhatre, FOUR runs 
three fours in a row! Attempted slower yorker that ends up as a juicy full toss outside 
off. Mhatre picks it early and bulldozes it past mid on!",3.3,4,4.0,"Bhuvneshwar to Mhatre, FOUR runs  .three fours in a row! Attempted slower yorker that ends up as a juicy full toss outside  .off. Mhatre picks it early and bulldozes it past mid on!",Bhuvneshwar,Mhatre,4.0,1,0,1,1,4.0,0,,1
