raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bhuvneshwar to du Plessis, no run 
back of a length just outside off, swinging back into du Plessis. He gets behind the line 
and defends",0.1,0,0.0,"Bhuvneshwar to du Plessis, no run  .back of a length just outside off, swinging back into du Plessis. He gets behind the line  .and defends",Bhuvneshwar,du Plessis,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Bhuvneshwar to du Plessis, no run 
peach! Back of a length outside off and this leaves the batter late. du Plessis goes 
feeling for it and is beaten by the outward movement 
du Plessis pulls out of his stance very late. Not sure what distracted him",0.2,0,0.0,"Bhuvneshwar to du Plessis, no run  .peach! Back of a length outside off and this leaves the batter late. du Plessis goes  .feeling for it and is beaten by the outward movement  .du Plessis pulls out of his stance very late. Not sure what distracted him",Bhuvneshwar,du Plessis,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Bhuvneshwar to du Plessis, no run 
hard length, shaping back in towards off stump. du Plessis hangs back and meets the 
ball right under his eyes",0.3,0,0.0,"Bhuvneshwar to du Plessis, no run  .hard length, shaping back in towards off stump. du Plessis hangs back and meets the  .ball right under his eyes",Bhuvneshwar,du Plessis,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Bhuvneshwar to du Plessis, 1 run 
short and wide outside off. du Plessis jabs it towards extra cover and scampers across 
to the other end. A direct hit by Kohli though, and it would have been curtains for his 
former captain 
JFM on strike now. Bhuvneshwar might fancy his chances against him",0.4,1,1.0,"Bhuvneshwar to du Plessis, 1 run  .short and wide outside off. du Plessis jabs it towards extra cover and scampers across  .to the other end. A direct hit by Kohli though, and it would have been curtains for his  .former captain  .JFM on strike now. Bhuvneshwar might fancy his chances against him",Bhuvneshwar,du Plessis,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Bhuvneshwar to J Fraser-McGurk, no run 
in-swinging back of a length ball, finishing on off stump. JFM gets up on his toes and 
taps it into the off side",0.5,0,0.0,"Bhuvneshwar to J Fraser-McGurk, no run  .in-swinging back of a length ball, finishing on off stump. JFM gets up on his toes and  .taps it into the off side",Bhuvneshwar,J Fraser-McGurk,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Bhuvneshwar to J Fraser-McGurk, no run 
back of a length outside off. JFM rises with the bounce and punches it towards extra 
cover 
end of over 11 run  
DC: 1/0CRR: 1.00 • RRR: 8.57 • Need 163 runs from 114b 
Jake Fraser-McGurk0 (2b) 
Faf du Plessis1 (4b) 
Bhuvneshwar Kumar 1-0-1-0 
Gokul Pradeep V: ""Will Abhishek Porel come in as an impact sub ? "" -- Looks likely. In the 
meantime, here's Dayal from the other end",0.6,0,0.0,"Bhuvneshwar to J Fraser-McGurk, no run  .back of a length outside off. JFM rises with the bounce and punches it towards extra  .cover",Bhuvneshwar,J Fraser-McGurk,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Yash Dayal to du Plessis, 1 run 
back of a length just outside off. Moves away late and du Plessis plays with the swing 
towards backward point. Runs very gingerly to the other end",1.1,1,1.0,"Yash Dayal to du Plessis, 1 run  .back of a length just outside off. Moves away late and du Plessis plays with the swing  .towards backward point. Runs very gingerly to the other end",Yash Dayal,du Plessis,1.0,0,0,1,1,1.0,0,,1
"1.2 
4 
Yash Dayal to J Fraser-McGurk, FOUR runs 
shot! Back of a length outside off and JFM climbs into this. Gets on top of the bounce, 
shows the maker's name and threads it between extra cover and cover point!",1.2,4,4.0,"Yash Dayal to J Fraser-McGurk, FOUR runs  .shot! Back of a length outside off and JFM climbs into this. Gets on top of the bounce,  .shows the maker's name and threads it between extra cover and cover point!",Yash Dayal,J Fraser-McGurk,4.0,1,0,1,1,4.0,0,,1
"1.3 
2 
Yash Dayal to J Fraser-McGurk, 2 runs 
full and swinging into the pads. JFM flicks it between mid on and mid wicket and bags 
himself a brace",1.3,2,2.0,"Yash Dayal to J Fraser-McGurk, 2 runs  .full and swinging into the pads. JFM flicks it between mid on and mid wicket and bags  .himself a brace",Yash Dayal,J Fraser-McGurk,2.0,0,0,1,1,2.0,0,,1
"1.4 
1 
Yash Dayal to J Fraser-McGurk, 1 run 
length on leg stump. JFM presses half forward and pushes it towards mid on. du 
Plessis is not moving very freely 
Karthik: ""All eyes will be on Suyash given how brilliant the DC wrist-spinners were earlier 
this evening""",1.4,1,1.0,"Yash Dayal to J Fraser-McGurk, 1 run  .length on leg stump. JFM presses half forward and pushes it towards mid on. du  .Plessis is not moving very freely",Yash Dayal,J Fraser-McGurk,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
Yash Dayal to du Plessis, no run 
in the slot outside off. du Plessis gets his front foot out of the way and drills it towards 
mid off",1.5,0,0.0,"Yash Dayal to du Plessis, no run  .in the slot outside off. du Plessis gets his front foot out of the way and drills it towards  .mid off",Yash Dayal,du Plessis,0.0,0,0,1,1,0.0,0,,0
