raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bhuvneshwar to Arya, no run 
Interesting. Goes shortish first up, back of length around off, flicked to midwicket",0.1,0,0.0,"Bhuvneshwar to Arya, no run  .Interesting. Goes shortish first up, back of length around off, flicked to midwicket",Bhuvneshwar,Arya,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Bhuvneshwar to Arya, no run 
Tentative flick Priyansh started to close the bat face before straightening it to tap the 
stump-to-stump length ball back to the bowler 
Deep third moves to sweeper cover 
 
Prabhsimran Singh vs Bhuvneshwar Kumar 
BALLS 
30 
RUNS 
47 
OUTS 
4 
SR 
156.66 
4s/6s 
7/1",0.2,0,0.0,"Bhuvneshwar to Arya, no run  .Tentative flick Priyansh started to close the bat face before straightening it to tap the  .stump-to-stump length ball back to the bowler  .Deep third moves to sweeper cover  .  .Prabhsimran Singh vs Bhuvneshwar Kumar  .BALLS  .30  .RUNS  .47  .OUTS  .4  .SR  .156.66  .4s/6s  .7/1",Bhuvneshwar,Arya,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Bhuvneshwar to Arya, 1 run 
And Priyansh drives to that fielder's left. Slightly on the up, three-quarter length just 
outside off",0.3,1,1.0,"Bhuvneshwar to Arya, 1 run  .And Priyansh drives to that fielder's left. Slightly on the up, three-quarter length just  .outside off",Bhuvneshwar,Arya,1.0,0,0,1,1,1.0,0,,1
"0.4 
1 
Bhuvneshwar to Prabhsimran, 1 run 
Length on fourth, a bit of shape away, Prabhsimram opens the face and nudges it 
towards point 
Deep-backward square and midwicket out now",0.4,1,1.0,"Bhuvneshwar to Prabhsimran, 1 run  .Length on fourth, a bit of shape away, Prabhsimram opens the face and nudges it  .towards point  .Deep-backward square and midwicket out now",Bhuvneshwar,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Bhuvneshwar to Arya, no run 
The line is straighter. Shortish length, might've swung in. Beats the flick and hits him 
over the knee-roll",0.5,0,0.0,"Bhuvneshwar to Arya, no run  .The line is straighter. Shortish length, might've swung in. Beats the flick and hits him  .over the knee-roll",Bhuvneshwar,Arya,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Bhuvneshwar to Arya, no run 
Slower ball on a fullish length at leg stump, Priyansh had to check the flick. Touch 
uppish but goes safely to midwicket. Replays show it was a knuckle ball 
Bhuvi not bowling for swing, he's gone into the pitch and change of pace 
end of over 12 runs  
PBKS: 2/0CRR: 2.00  
Priyansh Arya1 (5b) 
Prabhsimran Singh1 (1b) 
Bhuvneshwar Kumar 1-0-2-0 
No slip for Dayal",0.6,0,0.0,"Bhuvneshwar to Arya, no run  .Slower ball on a fullish length at leg stump, Priyansh had to check the flick. Touch  .uppish but goes safely to midwicket. Replays show it was a knuckle ball  .Bhuvi not bowling for swing, he's gone into the pitch and change of pace",Bhuvneshwar,Arya,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Yash Dayal to Prabhsimran, FOUR runs 
Edged, ball goes wide of third. Three-quarter length, angling away through fourth, 
Prabhsimran wanted to drive down the ground",1.1,4,4.0,"Yash Dayal to Prabhsimran, FOUR runs  .Edged, ball goes wide of third. Three-quarter length, angling away through fourth,  .Prabhsimran wanted to drive down the ground",Yash Dayal,Prabhsimran,4.0,1,0,1,1,4.0,0,,1
"1.2 
1 
Yash Dayal to Prabhsimran, 1 run 
Touch fuller and straighter, 134ks, pushed defensively to cover point's right 
Tim David, on air, says the pitch is a touch slower",1.2,1,1.0,"Yash Dayal to Prabhsimran, 1 run  .Touch fuller and straighter, 134ks, pushed defensively to cover point's right  .Tim David, on air, says the pitch is a touch slower",Yash Dayal,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
"1.3 
6 
Yash Dayal to Arya, SIX runs 
Pick-up pull over forward square leg. 134ks touch back of length, slanting in towards 
middle, Priyansh stands still and swings across the hips",1.3,6,6.0,"Yash Dayal to Arya, SIX runs  .Pick-up pull over forward square leg. 134ks touch back of length, slanting in towards  .middle, Priyansh stands still and swings across the hips",Yash Dayal,Arya,6.0,0,1,1,1,6.0,0,,1
"1.4 
• 
Yash Dayal to Arya, no run 
Yorker on fourth, slanting in, Priyansh jams it towards cover. Fielder swoops in to deny 
the run",1.4,0,0.0,"Yash Dayal to Arya, no run  .Yorker on fourth, slanting in, Priyansh jams it towards cover. Fielder swoops in to deny  .the run",Yash Dayal,Arya,0.0,0,0,1,1,0.0,0,,0
