raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Deshpande to Mhatre, 1 run 
fullish length with some movement away from the right-hander outside off stump, 
Mhatre drives at it from the crease and gets an outside edge that falls short of the 
keeper, Samson dives to his right and gets glove on it to take the pace off the ball",0.1,1,1.0,"Deshpande to Mhatre, 1 run  .fullish length with some movement away from the right-hander outside off stump,  .Mhatre drives at it from the crease and gets an outside edge that falls short of the  .keeper, Samson dives to his right and gets glove on it to take the pace off the ball",Deshpande,Mhatre,1.0,0,0,1,1,1.0,0,,1
"0.2 
2 
Deshpande to Conway, 2 runs 
short of a length, pitching outside leg and ending up on the left-hander's hips, Conway 
tucks it behind square",0.2,2,2.0,"Deshpande to Conway, 2 runs  .short of a length, pitching outside leg and ending up on the left-hander's hips, Conway  .tucks it behind square",Deshpande,Conway,2.0,0,0,1,1,2.0,0,,1
"0.3 
4 
Deshpande to Conway, FOUR runs 
too full and straight, Conway presses forward and drives back past the bowler, perfect 
timing for the first boundary of the game",0.3,4,4.0,"Deshpande to Conway, FOUR runs  .too full and straight, Conway presses forward and drives back past the bowler, perfect  .timing for the first boundary of the game",Deshpande,Conway,4.0,1,0,1,1,4.0,0,,1
"0.4 
• 
Deshpande to Conway, no run 
short of a length on leg and middle, played from the crease towards midwicket",0.4,0,0.0,"Deshpande to Conway, no run  .short of a length on leg and middle, played from the crease towards midwicket",Deshpande,Conway,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Deshpande to Conway, no run 
angling across the left-hander from over the wicket, Conway has a swish at that short of 
a length ball and misses",0.5,0,0.0,"Deshpande to Conway, no run  .angling across the left-hander from over the wicket, Conway has a swish at that short of  .a length ball and misses",Deshpande,Conway,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Deshpande to Conway, no run 
tries to slash outside off again and misses again 
Kev: ""Hopefully we see Pretorius bat later, seen enough of Shubham. Seems 
Theekshana has been scapegoated for his dropped catch that cost them qualification, 
would´ve liked to see him used like Varun to maximise his overs. Could´ve been a 
straight swap for Farooqi"" 
end of over 17 runs  
CSK: 7/0CRR: 7.00  
Devon Conway6 (5b 1x4) 
Ayush Mhatre1 (1b) 
Tushar Deshpande 1-0-7-0 
Yudhvir Singh to bowl the second over. 
Ojas: ""Why did RR chose to bowl first even though their chasing has been in absolute 
shambles this year? Maybe since they are already eliminated anyways they want their 
middle order to re-learn the art of chasing before next season?"" 
 
Ayush Mhatre in IPL, 2025 
INNS 
6 
RUNS 
164 
SR 
180.21 
AVE 
32.80 
HS 
94",0.6,0,0.0,"Deshpande to Conway, no run  .tries to slash outside off again and misses again",Deshpande,Conway,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Yudhvir Singh to Mhatre, 1 run 
short and wide outside off at a gentle pace, Mhatre goes back and cuts towards deep 
third, he should have put that away for more",1.1,1,1.0,"Yudhvir Singh to Mhatre, 1 run  .short and wide outside off at a gentle pace, Mhatre goes back and cuts towards deep  .third, he should have put that away for more",Yudhvir Singh,Mhatre,1.0,0,0,1,1,1.0,0,,1
"1.2 
4 
Yudhvir Singh to Conway, FOUR runs 
short of a length with some lift outside off, Conway goes back and adjusts well to the 
bounce, cutting fine enough to beat the deep third 
Pitch looks pretty good to bat on.",1.2,4,4.0,"Yudhvir Singh to Conway, FOUR runs  .short of a length with some lift outside off, Conway goes back and adjusts well to the  .bounce, cutting fine enough to beat the deep third  .Pitch looks pretty good to bat on.",Yudhvir Singh,Conway,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
Yudhvir Singh to Conway, no run 
played off the front foot towards cover 
DS: ""RR could still finish bottom even if they win this can't they? CSK have an extra 
game so theoretically they both could be tied on 4 wins each."" Yes, but they will need to 
beat GT by a sizeable margin.",1.3,0,0.0,"Yudhvir Singh to Conway, no run  .played off the front foot towards cover",Yudhvir Singh,Conway,0.0,0,0,1,1,0.0,0,,0
"1.4 
W 
Yudhvir Singh to Conway, OUT 
pops a simple catch to mid-off! Conway came rushing down the pitch and was in an 
awkward position to play the short of a length ball at his body, he tried to chip it on the 
up and managed to only get it as far as Parag inside the circle 
Devon Conway c Parag b Yudhvir Singh 10 (8b 2x4 0x6 7m) SR: 125 
Urvil Patel at No. 3 ... he had a cracker of a cameo on his IPL debut.",1.4,W,0.0,"Yudhvir Singh to Conway, OUT  .pops a simple catch to mid-off! Conway came rushing down the pitch and was in an  .awkward position to play the short of a length ball at his body, he tried to chip it on the  .up and managed to only get it as far as Parag inside the circle  .Devon Conway c Parag b Yudhvir Singh 10 (8b 2x4 0x6 7m) SR: 125",Yudhvir Singh,Conway,0.0,0,0,1,1,0.0,1,c Parag b Yudhvir Singh,0
