raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Archer to B Sai Sudharsan, no run 
beaten first ball! Archer bangs it on a back of a length around middle, and gets it shape 
away to finish in the corridor outside off. Sudharsan has a jab, but misses the ball",0.1,0,0.0,"Archer to B Sai Sudharsan, no run  .beaten first ball! Archer bangs it on a back of a length around middle, and gets it shape  .away to finish in the corridor outside off. Sudharsan has a jab, but misses the ball",Archer,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Archer to B Sai Sudharsan, no run 
some extra bounce this time! Archer hits a short length at 139kph on middle and off, 
and again the ball moves away to end up wide-ish of off. Sudharsan was slashing at it, 
but was beaten again",0.2,0,0.0,"Archer to B Sai Sudharsan, no run  .some extra bounce this time! Archer hits a short length at 139kph on middle and off,  .and again the ball moves away to end up wide-ish of off. Sudharsan was slashing at it,  .but was beaten again",Archer,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Archer to B Sai Sudharsan, 1 run 
shorter side of a length on middle and off at 144kph, and dabbed towards point for a 
hurried single 
Gill facing his first ball",0.3,1,1.0,"Archer to B Sai Sudharsan, 1 run  .shorter side of a length on middle and off at 144kph, and dabbed towards point for a  .hurried single  .Gill facing his first ball",Archer,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"0.4 
1w 
Archer to Gill, 1 wide 
wide ball, but he has Gill on his toes! Bangs it on a back of a length on off, and gets it to 
finish outside leg, with Gill half-ducking at it 
One slip for Gill, by the way",0.4,1w,1.0,"Archer to Gill, 1 wide  .wide ball, but he has Gill on his toes! Bangs it on a back of a length on off, and gets it to  .finish outside leg, with Gill half-ducking at it  .One slip for Gill, by the way",Archer,Gill,0.0,0,0,0,0,1.0,0,,1
"0.4 
1 
Archer to Gill, 1 run 
back of a length again around off, and nudged towards midwicket to get off the mark",0.4,1,1.0,"Archer to Gill, 1 run  .back of a length again around off, and nudged towards midwicket to get off the mark",Archer,Gill,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Archer to B Sai Sudharsan, no run 
Archer appeals for lbw, but the umpire isn't convinced. Samson and co ponder a review, 
but don't go for it eventually. Replays show the ball was shortish, and pitching just 
outside leg, as Sudharsan looked to clip but was hit on his pads",0.5,0,0.0,"Archer to B Sai Sudharsan, no run  .Archer appeals for lbw, but the umpire isn't convinced. Samson and co ponder a review,  .but don't go for it eventually. Replays show the ball was shortish, and pitching just  .outside leg, as Sudharsan looked to clip but was hit on his pads",Archer,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Archer to B Sai Sudharsan, FOUR runs 
top edge, and four over the wicketkeeper's head! Archer touches 152kph, and decides to 
go short again. This one, though, pitches on middle, and sails over to end close to 
Sudharsan's head. The latter goes for the pull, and luckily, manages to get four despite 
not being in control 
end of over 17 runs  
GT: 7/0CRR: 7.00  
Sai Sudharsan5 (5b 1x4) 
Shubman Gill1 (1b) 
Jofra Archer 1-0-7-0 
Farooqi from the other end",0.6,4,4.0,"Archer to B Sai Sudharsan, FOUR runs  .top edge, and four over the wicketkeeper's head! Archer touches 152kph, and decides to  .go short again. This one, though, pitches on middle, and sails over to end close to  .Sudharsan's head. The latter goes for the pull, and luckily, manages to get four despite  .not being in control",Archer,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"1.1 
1 
Fazalhaq Farooqi to Gill, 1 run 
angles it across, and goes on the shorter side of a length around middle and leg. Gill 
pushes at it by making room, and gets an inside edge on to his pad",1.1,1,1.0,"Fazalhaq Farooqi to Gill, 1 run  .angles it across, and goes on the shorter side of a length around middle and leg. Gill  .pushes at it by making room, and gets an inside edge on to his pad",Fazalhaq Farooqi,Gill,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Fazalhaq Farooqi to B Sai Sudharsan, no run 
this swings in, and lands on a good length around middle and off. Tucked towards the 
man placed close in at midwicket",1.2,0,0.0,"Fazalhaq Farooqi to B Sai Sudharsan, no run  .this swings in, and lands on a good length around middle and off. Tucked towards the  .man placed close in at midwicket",Fazalhaq Farooqi,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Fazalhaq Farooqi to B Sai Sudharsan, no run 
sharp inswing for Farooqi! This ball is quite full, and finishes around middle and off, as 
Sudharsan ends up driving to mid-on",1.3,0,0.0,"Fazalhaq Farooqi to B Sai Sudharsan, no run  .sharp inswing for Farooqi! This ball is quite full, and finishes around middle and off, as  .Sudharsan ends up driving to mid-on",Fazalhaq Farooqi,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
